artist,title
"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast",we don't talk about bruno
adele,easy on me
glass animals,heat waves
the kid laroi & justin bieber,stay
kodak black,super gremlin
gayle,abcdefu
ed sheeran,shivers
jessica darrow,surface pressure
gunna & future featuring young thug,pushin p
doja cat,need to know
elton john & dua lipa,cold heart (pnau remix)
justin bieber,ghost
ed sheeran,bad habits
lil nas x & jack harlow,industry baby
lil nas x,thats what i want
silk sonic (bruno mars & anderson .paak),smokin out the window
dua lipa,levitating
muni long,hrs and hrs
the weeknd & ariana grande,save your tears
"stephanie beatriz, olga merediz & encanto cast",the family madrigal
adele,oh my god
post malone & the weeknd,one right now
olivia rodrigo,good 4 u
jordan davis featuring luke bryan,buy dirt
neiked x mae muller x polo g,better days
sza,i hate u
drake featuring 21 savage & project pat,knife talk
chris stapleton,you should probably leave
walker hayes,fancy like
ckay,love nwantiti (ah ah ah)
diane guerrero & stephanie beatriz,what else can i do?
lauren spencer-smith,fingers crossed
wizkid featuring justin bieber & tems,essence
latto,big energy
doja cat featuring sza,kiss me more
doja cat & the weeknd,you right
doja cat,woman
sebastian yatra,dos oruguitas
morgan wallen,sand in my boots
the weeknd,sacrifice
the anxiety: willow & tyler cole,meet me at our spot
jason aldean & carrie underwood,if i didn't love you
imagine dragons x jid,enemy
dustin lynch featuring lauren alaina or mackenzie porter,thinking 'bout you
cody johnson,'til you can't
jimmie allen & brad paisley,freedom was a highway
kane brown,one mississippi
parker mccollum,to be loved by you
charlie puth,light switch
stephanie beatriz,waiting on a miracle
gucci mane featuring lil durk,rumors
gunna featuring drake,p power
sam hunt,23
lil durk featuring morgan wallen,broadway girls
kelsea ballerini featuring kenny chesney,half of my hometown
walker hayes,aa
the chainsmokers,high
blxst & tyga featuring ty dolla $ign,chosen
"nardo wick featuring g herbo, lil durk & 21 savage",who want smoke??
eric church,heart on fire
taylor swift,message in a bottle (taylor's version) (from the vault)
rod wave,cold december
"dierks bentley, breland & hardy",beers on me
michael ray,whiskey and rain
giveon,for tonight
luke combs,doin' this
ari lennox,pressure
moneybagg yo,scorpio
cole swindell / lainey wilson,never say never
acraze featuring cherish,do it to it
the walters,i love you so
benny the butcher & j. cole,johnny p's caddy
rod wave,by your side
"stephanie beatriz, olga merediz, john leguizamo, adassa, maluma & encanto cast",all of you
taylor swift,all too well (taylor's version)
gunna & future,too easy
maren morris,circles around this town
"nardo wick, lil baby & future",me or sum
fireboy dml & ed sheeran,peru
yung bleu & kehlani,beautiful lies
doja cat,get into it (yuh)
miranda lambert,if i was a cowboy
youngboy never broke again,no switch
the weeknd,take my breath
blake shelton,come back as a country boy
nle choppa,shotta flow 6
chris brown,iffy
russell dickerson,home sweet
xxxtentacion,vice city
drake featuring travis scott,fair trade
em beihold,numb little bug
carly pearce & ashley mcbryde,never wanted to be that girl
ernest featuring morgan wallen,flower shops
jaymes young,infinity
tiesto & ava max,the motto
summer walker & sza,no love
megan thee stallion,megan's piano
the game & kanye west,eazy
youngboy never broke again,fish scale
carlos vives,"colombia, mi encanto"
