danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.814,0.377,2,-18.718,0,0.0407,0.00106,0.711,0.128,0.59,120.007,audio_features,51l7PA4wcyQMEJeuanHrbf,spotify:track:51l7PA4wcyQMEJeuanHrbf,https://api.spotify.com/v1/tracks/51l7PA4wcyQMEJeuanHrbf,https://api.spotify.com/v1/audio-analysis/51l7PA4wcyQMEJeuanHrbf,320500,4
0.683,0.488,9,-11.309,0,0.0321,0.00735,0.866,0.123,0.113,110.993,audio_features,61r7nhS0hlGJeQXDHy58pL,spotify:track:61r7nhS0hlGJeQXDHy58pL,https://api.spotify.com/v1/tracks/61r7nhS0hlGJeQXDHy58pL,https://api.spotify.com/v1/audio-analysis/61r7nhS0hlGJeQXDHy58pL,368586,4
0.747,0.67,9,-12.706,0,0.0412,0.0925,0.616,0.0866,0.188,112.031,audio_features,7f1eD0myp4ntwnVLA5jmIU,spotify:track:7f1eD0myp4ntwnVLA5jmIU,https://api.spotify.com/v1/tracks/7f1eD0myp4ntwnVLA5jmIU,https://api.spotify.com/v1/audio-analysis/7f1eD0myp4ntwnVLA5jmIU,448480,4
0.785,0.52,1,-10.747,1,0.046,0.125,0.105,0.11,0.128,120.015,audio_features,5IgoF2ep6PLLBW29V5Roue,spotify:track:5IgoF2ep6PLLBW29V5Roue,https://api.spotify.com/v1/tracks/5IgoF2ep6PLLBW29V5Roue,https://api.spotify.com/v1/audio-analysis/5IgoF2ep6PLLBW29V5Roue,287969,4
0.694,0.874,1,-8.164,0,0.035,0.0331,0.866,0.108,0.0742,124.004,audio_features,7nA4uczx7vIhEDoBCUBnT0,spotify:track:7nA4uczx7vIhEDoBCUBnT0,https://api.spotify.com/v1/tracks/7nA4uczx7vIhEDoBCUBnT0,https://api.spotify.com/v1/audio-analysis/7nA4uczx7vIhEDoBCUBnT0,220524,4
0.831,0.823,2,-8.193,1,0.0571,0.0295,0.773,0.0838,0.495,109.977,audio_features,3ov4vgaxgFhSJwejMCpZUY,spotify:track:3ov4vgaxgFhSJwejMCpZUY,https://api.spotify.com/v1/tracks/3ov4vgaxgFhSJwejMCpZUY,https://api.spotify.com/v1/audio-analysis/3ov4vgaxgFhSJwejMCpZUY,390371,4
0.708,0.749,9,-7.003,1,0.0406,0.000143,0.877,0.0838,0.17,123.997,audio_features,0fZ19tHX4FSslZn8EeKCpo,spotify:track:0fZ19tHX4FSslZn8EeKCpo,https://api.spotify.com/v1/tracks/0fZ19tHX4FSslZn8EeKCpo,https://api.spotify.com/v1/audio-analysis/0fZ19tHX4FSslZn8EeKCpo,313748,4
0.677,0.585,11,-7.845,1,0.047,0.00535,0.00141,0.329,0.345,94.974,audio_features,3KTkkZvSPmh3leXluyABBs,spotify:track:3KTkkZvSPmh3leXluyABBs,https://api.spotify.com/v1/tracks/3KTkkZvSPmh3leXluyABBs,https://api.spotify.com/v1/audio-analysis/3KTkkZvSPmh3leXluyABBs,357703,4
0.77,0.669,1,-8.897,1,0.0425,0.0164,0.82,0.0809,0.394,115.994,audio_features,6cUqwmaSHB6bzwAd3TNF2a,spotify:track:6cUqwmaSHB6bzwAd3TNF2a,https://api.spotify.com/v1/tracks/6cUqwmaSHB6bzwAd3TNF2a,https://api.spotify.com/v1/audio-analysis/6cUqwmaSHB6bzwAd3TNF2a,399466,4
0.713,0.811,1,-8.532,1,0.0367,0.00144,0.735,0.0822,0.113,122.991,audio_features,6YjQxa2wea38xj1ZUzjZR7,spotify:track:6YjQxa2wea38xj1ZUzjZR7,https://api.spotify.com/v1/tracks/6YjQxa2wea38xj1ZUzjZR7,https://api.spotify.com/v1/audio-analysis/6YjQxa2wea38xj1ZUzjZR7,442000,4
