danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.283,0.716,1,-9.632,0,0.0986,0.447,0.0,0.399,0.828,201.96,audio_features,3Um9toULmYFGCpvaIPFw7l,spotify:track:3Um9toULmYFGCpvaIPFw7l,https://api.spotify.com/v1/tracks/3Um9toULmYFGCpvaIPFw7l,https://api.spotify.com/v1/audio-analysis/3Um9toULmYFGCpvaIPFw7l,233000,4
0.756,0.397,7,-10.701,0,0.0522,0.57,0.0115,0.0542,0.507,101.985,audio_features,63xdwScd1Ai1GigAwQxE8y,spotify:track:63xdwScd1Ai1GigAwQxE8y,https://api.spotify.com/v1/tracks/63xdwScd1Ai1GigAwQxE8y,https://api.spotify.com/v1/audio-analysis/63xdwScd1Ai1GigAwQxE8y,199396,4
0.595,0.379,10,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,audio_features,7MF7QAodbGzNYav5ZfIhAY,spotify:track:7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/tracks/7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/audio-analysis/7MF7QAodbGzNYav5ZfIhAY,279333,4
0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,audio_features,0bRXwKfigvpKZUurwqAlEh,spotify:track:0bRXwKfigvpKZUurwqAlEh,https://api.spotify.com/v1/tracks/0bRXwKfigvpKZUurwqAlEh,https://api.spotify.com/v1/audio-analysis/0bRXwKfigvpKZUurwqAlEh,254560,4
0.75,0.78,4,-7.861,1,0.036,0.367,2.67e-06,0.153,0.738,94.864,audio_features,0NnyYBnyStcNKDu7PejLPF,spotify:track:0NnyYBnyStcNKDu7PejLPF,https://api.spotify.com/v1/tracks/0NnyYBnyStcNKDu7PejLPF,https://api.spotify.com/v1/audio-analysis/0NnyYBnyStcNKDu7PejLPF,223520,4
0.294,0.528,8,-10.01,1,0.0471,0.234,0.0,0.147,0.452,200.813,audio_features,6Ro2z4RtAUew9Kz2HZWZUi,spotify:track:6Ro2z4RtAUew9Kz2HZWZUi,https://api.spotify.com/v1/tracks/6Ro2z4RtAUew9Kz2HZWZUi,https://api.spotify.com/v1/audio-analysis/6Ro2z4RtAUew9Kz2HZWZUi,284907,3
0.373,0.856,8,-8.117,0,0.122,0.176,0.0,0.228,0.605,198.372,audio_features,5LuVBkfELaydohNZahwvNN,spotify:track:5LuVBkfELaydohNZahwvNN,https://api.spotify.com/v1/tracks/5LuVBkfELaydohNZahwvNN,https://api.spotify.com/v1/audio-analysis/5LuVBkfELaydohNZahwvNN,192760,4
0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,audio_features,2M2WJ7gBlcKNxdhyfPp9zY,spotify:track:2M2WJ7gBlcKNxdhyfPp9zY,https://api.spotify.com/v1/tracks/2M2WJ7gBlcKNxdhyfPp9zY,https://api.spotify.com/v1/audio-analysis/2M2WJ7gBlcKNxdhyfPp9zY,220560,4
0.498,0.634,6,-12.16,0,0.0475,0.328,0.748,0.0962,0.515,93.161,audio_features,3IDc87lrpEHWFBASmgTgFV,spotify:track:3IDc87lrpEHWFBASmgTgFV,https://api.spotify.com/v1/tracks/3IDc87lrpEHWFBASmgTgFV,https://api.spotify.com/v1/audio-analysis/3IDc87lrpEHWFBASmgTgFV,193573,4
0.565,0.644,6,-8.116,1,0.0696,0.426,0.0,0.264,0.633,97.716,audio_features,5kQ2ZEav7TgUoLSLrm7h8S,spotify:track:5kQ2ZEav7TgUoLSLrm7h8S,https://api.spotify.com/v1/tracks/5kQ2ZEav7TgUoLSLrm7h8S,https://api.spotify.com/v1/audio-analysis/5kQ2ZEav7TgUoLSLrm7h8S,452773,4
