danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.722,0.875,10,-8.111,1,0.0367,0.0103,0.179,0.0906,0.172,127.988,audio_features,60XMrQr1Q54t9F7obw4cul,spotify:track:60XMrQr1Q54t9F7obw4cul,https://api.spotify.com/v1/tracks/60XMrQr1Q54t9F7obw4cul,https://api.spotify.com/v1/audio-analysis/60XMrQr1Q54t9F7obw4cul,307508,3
0.764,0.766,6,-9.148,0,0.0402,0.0233,0.575,0.112,0.414,121.995,audio_features,3R3OYD2T8IR3BAYfCpBgdP,spotify:track:3R3OYD2T8IR3BAYfCpBgdP,https://api.spotify.com/v1/tracks/3R3OYD2T8IR3BAYfCpBgdP,https://api.spotify.com/v1/audio-analysis/3R3OYD2T8IR3BAYfCpBgdP,366025,4
0.784,0.941,5,-10.859,0,0.0474,0.000428,0.85,0.109,0.0331,126.031,audio_features,6KnYwwqn1RzjVoeiizR7ET,spotify:track:6KnYwwqn1RzjVoeiizR7ET,https://api.spotify.com/v1/tracks/6KnYwwqn1RzjVoeiizR7ET,https://api.spotify.com/v1/audio-analysis/6KnYwwqn1RzjVoeiizR7ET,432787,4
0.809,0.867,1,-8.176,1,0.0661,0.0243,0.866,0.671,0.753,123.014,audio_features,2gOvWkgY153efoAcywh7pi,spotify:track:2gOvWkgY153efoAcywh7pi,https://api.spotify.com/v1/tracks/2gOvWkgY153efoAcywh7pi,https://api.spotify.com/v1/audio-analysis/2gOvWkgY153efoAcywh7pi,407419,4
0.792,0.832,1,-11.084,1,0.0497,0.00566,0.792,0.0917,0.125,123.998,audio_features,4k2XhQNH68LpS0YxQDTcov,spotify:track:4k2XhQNH68LpS0YxQDTcov,https://api.spotify.com/v1/tracks/4k2XhQNH68LpS0YxQDTcov,https://api.spotify.com/v1/audio-analysis/4k2XhQNH68LpS0YxQDTcov,402198,4
0.784,0.786,8,-11.075,1,0.0548,0.0116,0.903,0.105,0.0352,124.005,audio_features,2sMjP9i4XVbg7GHXprQIuo,spotify:track:2sMjP9i4XVbg7GHXprQIuo,https://api.spotify.com/v1/tracks/2sMjP9i4XVbg7GHXprQIuo,https://api.spotify.com/v1/audio-analysis/2sMjP9i4XVbg7GHXprQIuo,381259,4
0.824,0.714,1,-7.567,1,0.0534,0.000137,0.82,0.965,0.118,124.983,audio_features,3rbG1qQlzkijc5tfGvjNJC,spotify:track:3rbG1qQlzkijc5tfGvjNJC,https://api.spotify.com/v1/tracks/3rbG1qQlzkijc5tfGvjNJC,https://api.spotify.com/v1/audio-analysis/3rbG1qQlzkijc5tfGvjNJC,226772,4
0.729,0.623,11,-10.728,1,0.0526,0.373,0.86,0.116,0.875,129.989,audio_features,6oa8rEFHMIrYpHh3AmsaMa,spotify:track:6oa8rEFHMIrYpHh3AmsaMa,https://api.spotify.com/v1/tracks/6oa8rEFHMIrYpHh3AmsaMa,https://api.spotify.com/v1/audio-analysis/6oa8rEFHMIrYpHh3AmsaMa,320229,4
0.679,0.707,2,-11.453,1,0.04,0.00634,0.855,0.18,0.258,120.007,audio_features,4Np4NOxEBsYvPNBZ8W0BDu,spotify:track:4Np4NOxEBsYvPNBZ8W0BDu,https://api.spotify.com/v1/tracks/4Np4NOxEBsYvPNBZ8W0BDu,https://api.spotify.com/v1/audio-analysis/4Np4NOxEBsYvPNBZ8W0BDu,221091,4
0.75,0.681,7,-10.772,0,0.0522,0.0996,0.882,0.092,0.219,120.003,audio_features,4cxqdHogoLPsaBdB5xgOyf,spotify:track:4cxqdHogoLPsaBdB5xgOyf,https://api.spotify.com/v1/tracks/4cxqdHogoLPsaBdB5xgOyf,https://api.spotify.com/v1/audio-analysis/4cxqdHogoLPsaBdB5xgOyf,384052,4
