danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.879,0.626,7,-6.344,1,0.0604,0.205,6.07e-05,0.056,0.968,110.864,audio_features,4yKZACkuudvfd600H2dQie,spotify:track:4yKZACkuudvfd600H2dQie,https://api.spotify.com/v1/tracks/4yKZACkuudvfd600H2dQie,https://api.spotify.com/v1/audio-analysis/4yKZACkuudvfd600H2dQie,212907,4
0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,audio_features,0bRXwKfigvpKZUurwqAlEh,spotify:track:0bRXwKfigvpKZUurwqAlEh,https://api.spotify.com/v1/tracks/0bRXwKfigvpKZUurwqAlEh,https://api.spotify.com/v1/audio-analysis/0bRXwKfigvpKZUurwqAlEh,254560,4
0.786,0.418,9,-11.115,1,0.0432,0.218,0.000158,0.134,0.94,119.101,audio_features,62r1CS9zL1FL5Ilb7hLX7n,spotify:track:62r1CS9zL1FL5Ilb7hLX7n,https://api.spotify.com/v1/tracks/62r1CS9zL1FL5Ilb7hLX7n,https://api.spotify.com/v1/audio-analysis/62r1CS9zL1FL5Ilb7hLX7n,225373,4
0.666,0.55,10,-8.672,1,0.0612,0.573,1.84e-06,0.122,0.961,95.552,audio_features,7FXuCkl1kfxwS5icDjTwbM,spotify:track:7FXuCkl1kfxwS5icDjTwbM,https://api.spotify.com/v1/tracks/7FXuCkl1kfxwS5icDjTwbM,https://api.spotify.com/v1/audio-analysis/7FXuCkl1kfxwS5icDjTwbM,141000,4
0.674,0.909,10,-3.369,0,0.0464,0.469,0.0131,0.105,0.969,103.942,audio_features,113bLFbp3F9MVN0w2KJ1ma,spotify:track:113bLFbp3F9MVN0w2KJ1ma,https://api.spotify.com/v1/tracks/113bLFbp3F9MVN0w2KJ1ma,https://api.spotify.com/v1/audio-analysis/113bLFbp3F9MVN0w2KJ1ma,243760,4
0.513,0.826,8,-8.407,0,0.0574,0.555,3.48e-05,0.366,0.539,94.582,audio_features,0OwvrdjaJOypNsNQHyBWE5,spotify:track:0OwvrdjaJOypNsNQHyBWE5,https://api.spotify.com/v1/tracks/0OwvrdjaJOypNsNQHyBWE5,https://api.spotify.com/v1/audio-analysis/0OwvrdjaJOypNsNQHyBWE5,177227,4
0.283,0.716,1,-9.632,0,0.0986,0.447,0.0,0.399,0.828,201.96,audio_features,3Um9toULmYFGCpvaIPFw7l,spotify:track:3Um9toULmYFGCpvaIPFw7l,https://api.spotify.com/v1/tracks/3Um9toULmYFGCpvaIPFw7l,https://api.spotify.com/v1/audio-analysis/3Um9toULmYFGCpvaIPFw7l,233000,4
0.634,0.677,2,-7.19,1,0.0448,0.318,0.0,0.0902,0.939,95.792,audio_features,5qyq1H5OPMlfuvZQ1wQNo7,spotify:track:5qyq1H5OPMlfuvZQ1wQNo7,https://api.spotify.com/v1/tracks/5qyq1H5OPMlfuvZQ1wQNo7,https://api.spotify.com/v1/audio-analysis/5qyq1H5OPMlfuvZQ1wQNo7,179120,4
0.843,0.48,11,-11.574,0,0.0492,0.28,0.000782,0.108,0.762,101.993,audio_features,2BydLQAh7CUIFvSEqAMc4x,spotify:track:2BydLQAh7CUIFvSEqAMc4x,https://api.spotify.com/v1/tracks/2BydLQAh7CUIFvSEqAMc4x,https://api.spotify.com/v1/audio-analysis/2BydLQAh7CUIFvSEqAMc4x,180493,4
0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,audio_features,3zBhihYUHBmGd2bcQIobrF,spotify:track:3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/tracks/3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/audio-analysis/3zBhihYUHBmGd2bcQIobrF,163756,4
0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.952,106.938,audio_features,4pNiE4LCVV74vfIBaUHm1b,spotify:track:4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/tracks/4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/audio-analysis/4pNiE4LCVV74vfIBaUHm1b,232760,4
