danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.474,0.801,8,-5.978,0,0.375,0.102,0.0,0.322,0.497,147.356,audio_features,4huBDGP4I3S0pYI0EaRN1c,spotify:track:4huBDGP4I3S0pYI0EaRN1c,https://api.spotify.com/v1/tracks/4huBDGP4I3S0pYI0EaRN1c,https://api.spotify.com/v1/audio-analysis/4huBDGP4I3S0pYI0EaRN1c,256000,4
0.69,0.949,10,-3.13,0,0.379,0.124,0.0,0.0429,0.757,163.954,audio_features,3BMG9dnjNymT1OGUXQTAXl,spotify:track:3BMG9dnjNymT1OGUXQTAXl,https://api.spotify.com/v1/tracks/3BMG9dnjNymT1OGUXQTAXl,https://api.spotify.com/v1/audio-analysis/3BMG9dnjNymT1OGUXQTAXl,179534,4
0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,audio_features,7Fege3yv4dvehB3NdRBGwI,spotify:track:7Fege3yv4dvehB3NdRBGwI,https://api.spotify.com/v1/tracks/7Fege3yv4dvehB3NdRBGwI,https://api.spotify.com/v1/audio-analysis/7Fege3yv4dvehB3NdRBGwI,200000,4
0.646,0.597,1,-6.045,1,0.401,0.11,0.0,0.0958,0.6,88.506,audio_features,70pwY1UfPmSVE3ybPjFy0p,spotify:track:70pwY1UfPmSVE3ybPjFy0p,https://api.spotify.com/v1/tracks/70pwY1UfPmSVE3ybPjFy0p,https://api.spotify.com/v1/audio-analysis/70pwY1UfPmSVE3ybPjFy0p,184893,4
0.842,0.505,1,-8.627,0,0.402,0.472,0.000322,0.117,0.538,119.993,audio_features,1PNs0uGru3TcrA94kpyGnc,spotify:track:1PNs0uGru3TcrA94kpyGnc,https://api.spotify.com/v1/tracks/1PNs0uGru3TcrA94kpyGnc,https://api.spotify.com/v1/audio-analysis/1PNs0uGru3TcrA94kpyGnc,207065,4
0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,audio_features,0lEjxUUlKqjqXrVlIHFduD,spotify:track:0lEjxUUlKqjqXrVlIHFduD,https://api.spotify.com/v1/tracks/0lEjxUUlKqjqXrVlIHFduD,https://api.spotify.com/v1/audio-analysis/0lEjxUUlKqjqXrVlIHFduD,193347,4
0.841,0.433,0,-7.699,0,0.175,0.0344,2.13e-06,0.121,0.332,115.868,audio_features,7z3rc7SCgjbAztt1cbXkVj,spotify:track:7z3rc7SCgjbAztt1cbXkVj,https://api.spotify.com/v1/tracks/7z3rc7SCgjbAztt1cbXkVj,https://api.spotify.com/v1/audio-analysis/7z3rc7SCgjbAztt1cbXkVj,182069,4
0.947,0.605,10,-8.621,0,0.346,0.0748,7.54e-06,0.0901,0.656,129.988,audio_features,6BczFLHW9aIf9aWn5NFuNL,spotify:track:6BczFLHW9aIf9aWn5NFuNL,https://api.spotify.com/v1/tracks/6BczFLHW9aIf9aWn5NFuNL,https://api.spotify.com/v1/audio-analysis/6BczFLHW9aIf9aWn5NFuNL,133613,4
0.893,0.699,11,-8.059,1,0.0517,0.0576,3.02e-06,0.128,0.747,139.972,audio_features,7lcI4X8RZxK4zIknJcwpBq,spotify:track:7lcI4X8RZxK4zIknJcwpBq,https://api.spotify.com/v1/tracks/7lcI4X8RZxK4zIknJcwpBq,https://api.spotify.com/v1/audio-analysis/7lcI4X8RZxK4zIknJcwpBq,136761,4
0.57,0.573,5,-6.935,1,0.476,0.156,0.0,0.256,0.517,76.006,audio_features,0cp97b37sFNsdIbQH6po3T,spotify:track:0cp97b37sFNsdIbQH6po3T,https://api.spotify.com/v1/tracks/0cp97b37sFNsdIbQH6po3T,https://api.spotify.com/v1/audio-analysis/0cp97b37sFNsdIbQH6po3T,229938,4
0.898,0.58,8,-7.632,0,0.26,0.0101,0.0,0.169,0.661,84.018,audio_features,4heBcjj4Lw3X2sQVFNbLbz,spotify:track:4heBcjj4Lw3X2sQVFNbLbz,https://api.spotify.com/v1/tracks/4heBcjj4Lw3X2sQVFNbLbz,https://api.spotify.com/v1/audio-analysis/4heBcjj4Lw3X2sQVFNbLbz,204286,4
0.635,0.589,10,-5.461,0,0.488,0.149,0.0,0.137,0.376,172.813,audio_features,3fgxFMXzKlZWOKOek53ZdZ,spotify:track:3fgxFMXzKlZWOKOek53ZdZ,https://api.spotify.com/v1/tracks/3fgxFMXzKlZWOKOek53ZdZ,https://api.spotify.com/v1/audio-analysis/3fgxFMXzKlZWOKOek53ZdZ,143999,4
0.688,0.842,2,-4.211,1,0.264,0.0499,0.0,0.241,0.416,159.897,audio_features,0P2P1AxcRYhiZvoF5MyRmM,spotify:track:0P2P1AxcRYhiZvoF5MyRmM,https://api.spotify.com/v1/tracks/0P2P1AxcRYhiZvoF5MyRmM,https://api.spotify.com/v1/audio-analysis/0P2P1AxcRYhiZvoF5MyRmM,185856,4
0.753,0.777,11,-5.701,0,0.32,0.0725,0.000714,0.125,0.669,157.148,audio_features,3zpGLSQ8QbbUnNjweWPLMD,spotify:track:3zpGLSQ8QbbUnNjweWPLMD,https://api.spotify.com/v1/tracks/3zpGLSQ8QbbUnNjweWPLMD,https://api.spotify.com/v1/audio-analysis/3zpGLSQ8QbbUnNjweWPLMD,171453,4
0.49,0.923,11,-3.99,0,0.304,0.0078,1.2e-05,0.11,0.72,79.675,audio_features,0bzX26mfmUi0djOLemE2b8,spotify:track:0bzX26mfmUi0djOLemE2b8,https://api.spotify.com/v1/tracks/0bzX26mfmUi0djOLemE2b8,https://api.spotify.com/v1/audio-analysis/0bzX26mfmUi0djOLemE2b8,237233,4
0.853,0.467,9,-6.843,0,0.195,0.00596,0.00171,0.203,0.329,87.023,audio_features,6MOst484piqXpzPPRRe8i5,spotify:track:6MOst484piqXpzPPRRe8i5,https://api.spotify.com/v1/tracks/6MOst484piqXpzPPRRe8i5,https://api.spotify.com/v1/audio-analysis/6MOst484piqXpzPPRRe8i5,220709,4
0.58,0.539,2,-6.757,1,0.424,0.0646,0.0,0.102,0.148,126.179,audio_features,64b14VPe2ScA1l9jEbFNqB,spotify:track:64b14VPe2ScA1l9jEbFNqB,https://api.spotify.com/v1/tracks/64b14VPe2ScA1l9jEbFNqB,https://api.spotify.com/v1/audio-analysis/64b14VPe2ScA1l9jEbFNqB,182487,5
