danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.797,0.782,1,-6.469,1,0.0308,0.0188,0.344,0.139,0.522,124.0,audio_features,5COxPQbNaVMsLEr3tuicvp,spotify:track:5COxPQbNaVMsLEr3tuicvp,https://api.spotify.com/v1/tracks/5COxPQbNaVMsLEr3tuicvp,https://api.spotify.com/v1/audio-analysis/5COxPQbNaVMsLEr3tuicvp,236101,4
0.734,0.955,0,-3.584,0,0.0609,0.154,0.524,0.371,0.566,115.989,audio_features,7tObHzA6FGINzdK7AQwa8m,spotify:track:7tObHzA6FGINzdK7AQwa8m,https://api.spotify.com/v1/tracks/7tObHzA6FGINzdK7AQwa8m,https://api.spotify.com/v1/audio-analysis/7tObHzA6FGINzdK7AQwa8m,314989,4
0.808,0.527,4,-13.697,0,0.143,0.0115,0.911,0.113,0.256,119.991,audio_features,7K26UrsK350imlN3iBoOLE,spotify:track:7K26UrsK350imlN3iBoOLE,https://api.spotify.com/v1/tracks/7K26UrsK350imlN3iBoOLE,https://api.spotify.com/v1/audio-analysis/7K26UrsK350imlN3iBoOLE,196408,4
0.737,0.568,5,-13.626,0,0.0396,0.00142,0.803,0.097,0.455,127.617,audio_features,1mktkGAooebBXhEVeNeGsY,spotify:track:1mktkGAooebBXhEVeNeGsY,https://api.spotify.com/v1/tracks/1mktkGAooebBXhEVeNeGsY,https://api.spotify.com/v1/audio-analysis/1mktkGAooebBXhEVeNeGsY,513250,4
0.797,0.737,1,-6.944,1,0.0531,0.0344,0.759,0.197,0.8,130.015,audio_features,3Xq4IKHyDrXcuKhKicuud1,spotify:track:3Xq4IKHyDrXcuKhKicuud1,https://api.spotify.com/v1/tracks/3Xq4IKHyDrXcuKhKicuud1,https://api.spotify.com/v1/audio-analysis/3Xq4IKHyDrXcuKhKicuud1,330089,4
0.514,0.899,11,-10.778,0,0.0529,0.00262,0.743,0.0965,0.177,134.999,audio_features,1UbcuHH23bXMoPmv6xCjXo,spotify:track:1UbcuHH23bXMoPmv6xCjXo,https://api.spotify.com/v1/tracks/1UbcuHH23bXMoPmv6xCjXo,https://api.spotify.com/v1/audio-analysis/1UbcuHH23bXMoPmv6xCjXo,298973,4
0.8,0.978,11,-8.041,0,0.0567,0.00426,0.846,0.0392,0.349,126.997,audio_features,20droT4qrvOsNlAhUpuI2r,spotify:track:20droT4qrvOsNlAhUpuI2r,https://api.spotify.com/v1/tracks/20droT4qrvOsNlAhUpuI2r,https://api.spotify.com/v1/audio-analysis/20droT4qrvOsNlAhUpuI2r,396584,4
0.739,0.699,7,-10.065,1,0.149,0.00142,0.00307,0.232,0.672,125.003,audio_features,7r6sKkTNsXrLC28tsR2tgb,spotify:track:7r6sKkTNsXrLC28tsR2tgb,https://api.spotify.com/v1/tracks/7r6sKkTNsXrLC28tsR2tgb,https://api.spotify.com/v1/audio-analysis/7r6sKkTNsXrLC28tsR2tgb,209386,4
0.527,0.963,11,-6.158,0,0.106,0.0426,0.932,0.0656,0.0945,126.995,audio_features,18Y9Nx6jzGCyO70IJMNIZU,spotify:track:18Y9Nx6jzGCyO70IJMNIZU,https://api.spotify.com/v1/tracks/18Y9Nx6jzGCyO70IJMNIZU,https://api.spotify.com/v1/audio-analysis/18Y9Nx6jzGCyO70IJMNIZU,270003,4
0.791,0.651,7,-10.008,1,0.0438,3.35e-05,0.917,0.107,0.341,129.003,audio_features,2lYCfrY6K50MyzBDruQsWE,spotify:track:2lYCfrY6K50MyzBDruQsWE,https://api.spotify.com/v1/tracks/2lYCfrY6K50MyzBDruQsWE,https://api.spotify.com/v1/audio-analysis/2lYCfrY6K50MyzBDruQsWE,583847,4
