danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.397,0.839,4,-6.674,1,0.102,0.00125,0.0,0.576,0.764,116.947,audio_features,7v9Ne4758aGFfFc5avh89h,spotify:track:7v9Ne4758aGFfFc5avh89h,https://api.spotify.com/v1/tracks/7v9Ne4758aGFfFc5avh89h,https://api.spotify.com/v1/audio-analysis/7v9Ne4758aGFfFc5avh89h,191293,4
0.41,0.803,7,-5.363,1,0.0623,0.239,0.0,0.103,0.814,153.315,audio_features,5xoUgPXbMNUmoHU0Enwtwq,spotify:track:5xoUgPXbMNUmoHU0Enwtwq,https://api.spotify.com/v1/tracks/5xoUgPXbMNUmoHU0Enwtwq,https://api.spotify.com/v1/audio-analysis/5xoUgPXbMNUmoHU0Enwtwq,169307,4
0.591,0.939,10,-4.911,0,0.0533,0.000156,0.0111,0.0882,0.856,150.249,audio_features,6U5hUX40OWY6l0HaPUWElZ,spotify:track:6U5hUX40OWY6l0HaPUWElZ,https://api.spotify.com/v1/tracks/6U5hUX40OWY6l0HaPUWElZ,https://api.spotify.com/v1/audio-analysis/6U5hUX40OWY6l0HaPUWElZ,200400,4
0.211,0.849,0,-3.994,0,0.116,0.00605,0.000436,0.263,0.59,175.616,audio_features,4KspXoCVJXGY1VrvEe1Hdm,spotify:track:4KspXoCVJXGY1VrvEe1Hdm,https://api.spotify.com/v1/tracks/4KspXoCVJXGY1VrvEe1Hdm,https://api.spotify.com/v1/audio-analysis/4KspXoCVJXGY1VrvEe1Hdm,180267,4
0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,audio_features,3DQVgcqaP3iSMbaKsd57l5,spotify:track:3DQVgcqaP3iSMbaKsd57l5,https://api.spotify.com/v1/tracks/3DQVgcqaP3iSMbaKsd57l5,https://api.spotify.com/v1/audio-analysis/3DQVgcqaP3iSMbaKsd57l5,173680,4
0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,audio_features,2DrGEaqoruCSn0FffWCf5O,spotify:track:2DrGEaqoruCSn0FffWCf5O,https://api.spotify.com/v1/tracks/2DrGEaqoruCSn0FffWCf5O,https://api.spotify.com/v1/audio-analysis/2DrGEaqoruCSn0FffWCf5O,137760,4
0.606,0.532,1,-4.173,0,0.0248,0.0956,1.27e-05,0.276,0.695,95.315,audio_features,13bEwk7dTy0RdOAY3ZNNBD,spotify:track:13bEwk7dTy0RdOAY3ZNNBD,https://api.spotify.com/v1/tracks/13bEwk7dTy0RdOAY3ZNNBD,https://api.spotify.com/v1/audio-analysis/13bEwk7dTy0RdOAY3ZNNBD,205213,4
0.542,0.531,9,-7.481,1,0.0301,0.0033,1.51e-06,0.338,0.671,105.97,audio_features,56NkIxSZZiMpFP5ZNSxtnT,spotify:track:56NkIxSZZiMpFP5ZNSxtnT,https://api.spotify.com/v1/tracks/56NkIxSZZiMpFP5ZNSxtnT,https://api.spotify.com/v1/audio-analysis/56NkIxSZZiMpFP5ZNSxtnT,183391,4
0.542,0.813,2,-6.89,1,0.0429,0.0765,0.252,0.116,0.305,129.09,audio_features,2PLi7OmleXPNBrGLon3sUy,spotify:track:2PLi7OmleXPNBrGLon3sUy,https://api.spotify.com/v1/tracks/2PLi7OmleXPNBrGLon3sUy,https://api.spotify.com/v1/audio-analysis/2PLi7OmleXPNBrGLon3sUy,234360,4
0.499,0.795,7,-5.285,1,0.0788,0.0438,0.00255,0.12,0.357,149.966,audio_features,3Ehxf88npHMLIBEIM7Klus,spotify:track:3Ehxf88npHMLIBEIM7Klus,https://api.spotify.com/v1/tracks/3Ehxf88npHMLIBEIM7Klus,https://api.spotify.com/v1/audio-analysis/3Ehxf88npHMLIBEIM7Klus,252853,4
