danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.651,0.709,4,-7.842,1,0.037,0.00461,0.00744,0.0771,0.126,121.02,audio_features,40tPP3K10yMZxwnT65REKj,spotify:track:40tPP3K10yMZxwnT65REKj,https://api.spotify.com/v1/tracks/40tPP3K10yMZxwnT65REKj,https://api.spotify.com/v1/audio-analysis/40tPP3K10yMZxwnT65REKj,257985,4
0.769,0.499,5,-12.845,0,0.0411,0.453,0.349,0.0958,0.145,125.028,audio_features,0z3hYtKH35ltEcPfeyBXj4,spotify:track:0z3hYtKH35ltEcPfeyBXj4,https://api.spotify.com/v1/tracks/0z3hYtKH35ltEcPfeyBXj4,https://api.spotify.com/v1/audio-analysis/0z3hYtKH35ltEcPfeyBXj4,218881,4
0.68,0.927,4,-6.27,0,0.0405,0.107,0.936,0.207,0.117,125.009,audio_features,49KOIOQPegsRJM9gYhfCw3,spotify:track:49KOIOQPegsRJM9gYhfCw3,https://api.spotify.com/v1/tracks/49KOIOQPegsRJM9gYhfCw3,https://api.spotify.com/v1/audio-analysis/49KOIOQPegsRJM9gYhfCw3,229440,4
0.552,0.837,5,-7.825,1,0.044,0.0356,0.434,0.0982,0.0795,121.99,audio_features,4l8fwDaGkOWJqvNacpcBTo,spotify:track:4l8fwDaGkOWJqvNacpcBTo,https://api.spotify.com/v1/tracks/4l8fwDaGkOWJqvNacpcBTo,https://api.spotify.com/v1/audio-analysis/4l8fwDaGkOWJqvNacpcBTo,262250,4
0.748,0.617,10,-10.125,0,0.0374,0.12,0.8,0.0898,0.11,127.01,audio_features,5NfgFRdfNQ4HFVPGRoVMU6,spotify:track:5NfgFRdfNQ4HFVPGRoVMU6,https://api.spotify.com/v1/tracks/5NfgFRdfNQ4HFVPGRoVMU6,https://api.spotify.com/v1/audio-analysis/5NfgFRdfNQ4HFVPGRoVMU6,260787,4
0.727,0.606,4,-9.031,1,0.0362,0.176,0.822,0.101,0.422,120.998,audio_features,5ZIcOUUEP2IaQG2ayxjLkH,spotify:track:5ZIcOUUEP2IaQG2ayxjLkH,https://api.spotify.com/v1/tracks/5ZIcOUUEP2IaQG2ayxjLkH,https://api.spotify.com/v1/audio-analysis/5ZIcOUUEP2IaQG2ayxjLkH,407000,4
0.716,0.461,7,-11.478,0,0.0324,0.589,0.0518,0.107,0.205,119.998,audio_features,3pMyZztzU35UqFtlUtbICr,spotify:track:3pMyZztzU35UqFtlUtbICr,https://api.spotify.com/v1/tracks/3pMyZztzU35UqFtlUtbICr,https://api.spotify.com/v1/audio-analysis/3pMyZztzU35UqFtlUtbICr,280000,4
0.578,0.639,3,-9.606,0,0.035,0.00258,0.353,0.128,0.214,122.01,audio_features,6gR1tZQ9cs1I6Ln7soMYLL,spotify:track:6gR1tZQ9cs1I6Ln7soMYLL,https://api.spotify.com/v1/tracks/6gR1tZQ9cs1I6Ln7soMYLL,https://api.spotify.com/v1/audio-analysis/6gR1tZQ9cs1I6Ln7soMYLL,257440,4
0.705,0.597,1,-8.817,0,0.0406,0.393,0.838,0.103,0.465,128.001,audio_features,2xUsXYIiK18wSnv2SXFGtj,spotify:track:2xUsXYIiK18wSnv2SXFGtj,https://api.spotify.com/v1/tracks/2xUsXYIiK18wSnv2SXFGtj,https://api.spotify.com/v1/audio-analysis/2xUsXYIiK18wSnv2SXFGtj,457037,4
0.677,0.878,2,-7.719,1,0.0445,0.0132,0.774,0.109,0.177,124.013,audio_features,0B4XSKCFYzkfLXdX5cHE41,spotify:track:0B4XSKCFYzkfLXdX5cHE41,https://api.spotify.com/v1/tracks/0B4XSKCFYzkfLXdX5cHE41,https://api.spotify.com/v1/audio-analysis/0B4XSKCFYzkfLXdX5cHE41,279127,4
