danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.806,0.7,0,-5.269,0,0.0752,0.00196,0.891,0.267,0.892,111.215,audio_features,0MyY4WcN7DIfbSmp5yej5z,spotify:track:0MyY4WcN7DIfbSmp5yej5z,https://api.spotify.com/v1/tracks/0MyY4WcN7DIfbSmp5yej5z,https://api.spotify.com/v1/audio-analysis/0MyY4WcN7DIfbSmp5yej5z,328680,4
0.759,0.849,10,-14.094,0,0.0663,0.0569,0.911,0.236,0.639,124.664,audio_features,1ENkpHz1LU2JlH0g3HnO2W,spotify:track:1ENkpHz1LU2JlH0g3HnO2W,https://api.spotify.com/v1/tracks/1ENkpHz1LU2JlH0g3HnO2W,https://api.spotify.com/v1/audio-analysis/1ENkpHz1LU2JlH0g3HnO2W,207960,4
0.649,0.702,2,-12.525,1,0.0414,0.693,0.893,0.074,0.451,125.061,audio_features,62b32TAMVvNNOEjw806SyQ,spotify:track:62b32TAMVvNNOEjw806SyQ,https://api.spotify.com/v1/tracks/62b32TAMVvNNOEjw806SyQ,https://api.spotify.com/v1/audio-analysis/62b32TAMVvNNOEjw806SyQ,432217,4
0.752,0.929,7,-5.574,1,0.0703,0.197,0.757,0.0363,0.406,125.9,audio_features,3j8MepYimsCw55JuRz7ZuD,spotify:track:3j8MepYimsCw55JuRz7ZuD,https://api.spotify.com/v1/tracks/3j8MepYimsCw55JuRz7ZuD,https://api.spotify.com/v1/audio-analysis/3j8MepYimsCw55JuRz7ZuD,377960,4
0.795,0.861,6,-16.921,1,0.0744,0.0308,0.914,0.113,0.537,120.44,audio_features,63eiF9VouGtmhiBKjm1LHU,spotify:track:63eiF9VouGtmhiBKjm1LHU,https://api.spotify.com/v1/tracks/63eiF9VouGtmhiBKjm1LHU,https://api.spotify.com/v1/audio-analysis/63eiF9VouGtmhiBKjm1LHU,739627,4
0.785,0.795,0,-10.853,1,0.0399,0.0472,0.865,0.101,0.562,119.992,audio_features,16qMkS25a2cS1xEV9S3wwC,spotify:track:16qMkS25a2cS1xEV9S3wwC,https://api.spotify.com/v1/tracks/16qMkS25a2cS1xEV9S3wwC,https://api.spotify.com/v1/audio-analysis/16qMkS25a2cS1xEV9S3wwC,590031,4
0.592,0.922,6,-7.479,1,0.057,0.00465,0.916,0.112,0.365,120.054,audio_features,2zxLPxHy1VCVfjayfTEV3u,spotify:track:2zxLPxHy1VCVfjayfTEV3u,https://api.spotify.com/v1/tracks/2zxLPxHy1VCVfjayfTEV3u,https://api.spotify.com/v1/audio-analysis/2zxLPxHy1VCVfjayfTEV3u,375014,4
0.804,0.872,6,-7.931,1,0.052,0.00595,0.521,0.211,0.856,110.409,audio_features,1LQmyPcWxfN7yih7FYUNXe,spotify:track:1LQmyPcWxfN7yih7FYUNXe,https://api.spotify.com/v1/tracks/1LQmyPcWxfN7yih7FYUNXe,https://api.spotify.com/v1/audio-analysis/1LQmyPcWxfN7yih7FYUNXe,259027,4
0.86,0.673,7,-5.865,0,0.0745,0.0926,2.1e-05,0.0893,0.827,118.515,audio_features,26qBSwDTiiydtbXibx6fuq,spotify:track:26qBSwDTiiydtbXibx6fuq,https://api.spotify.com/v1/tracks/26qBSwDTiiydtbXibx6fuq,https://api.spotify.com/v1/audio-analysis/26qBSwDTiiydtbXibx6fuq,435000,4
0.542,0.887,7,-11.199,1,0.0727,0.0308,0.88,0.0808,0.789,124.99,audio_features,2IQ61J0AFfjnxBm4lQEU0W,spotify:track:2IQ61J0AFfjnxBm4lQEU0W,https://api.spotify.com/v1/tracks/2IQ61J0AFfjnxBm4lQEU0W,https://api.spotify.com/v1/audio-analysis/2IQ61J0AFfjnxBm4lQEU0W,542940,3
