danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.615,0.757,10,-7.694,0,0.037,0.054,0.885,0.138,0.191,125.061,audio_features,3cUUVRG0w6BmUgd4Jvq7MZ,spotify:track:3cUUVRG0w6BmUgd4Jvq7MZ,https://api.spotify.com/v1/tracks/3cUUVRG0w6BmUgd4Jvq7MZ,https://api.spotify.com/v1/audio-analysis/3cUUVRG0w6BmUgd4Jvq7MZ,208356,4
0.279,0.542,1,-11.962,1,0.0494,0.47,0.601,0.0888,0.163,123.846,audio_features,1BbXlbs8pWeYI2yGpGhuzA,spotify:track:1BbXlbs8pWeYI2yGpGhuzA,https://api.spotify.com/v1/tracks/1BbXlbs8pWeYI2yGpGhuzA,https://api.spotify.com/v1/audio-analysis/1BbXlbs8pWeYI2yGpGhuzA,253240,4
0.776,0.342,6,-13.876,0,0.398,0.894,0.366,0.104,0.284,122.131,audio_features,2Zk9i8ayiwYLZIEJemuhl9,spotify:track:2Zk9i8ayiwYLZIEJemuhl9,https://api.spotify.com/v1/tracks/2Zk9i8ayiwYLZIEJemuhl9,https://api.spotify.com/v1/audio-analysis/2Zk9i8ayiwYLZIEJemuhl9,192848,4
0.748,0.617,10,-10.125,0,0.0374,0.12,0.8,0.0898,0.11,127.01,audio_features,5NfgFRdfNQ4HFVPGRoVMU6,spotify:track:5NfgFRdfNQ4HFVPGRoVMU6,https://api.spotify.com/v1/tracks/5NfgFRdfNQ4HFVPGRoVMU6,https://api.spotify.com/v1/audio-analysis/5NfgFRdfNQ4HFVPGRoVMU6,260787,4
0.63,0.4,9,-16.113,0,0.0319,0.294,0.906,0.111,0.0516,120.019,audio_features,3kKhaaIjqGMcOVhl5r36Ap,spotify:track:3kKhaaIjqGMcOVhl5r36Ap,https://api.spotify.com/v1/tracks/3kKhaaIjqGMcOVhl5r36Ap,https://api.spotify.com/v1/audio-analysis/3kKhaaIjqGMcOVhl5r36Ap,231250,4
0.631,0.763,9,-9.774,0,0.0352,0.0824,0.299,0.0875,0.715,121.008,audio_features,6ymVxYG0UHqIjXmclbE1cu,spotify:track:6ymVxYG0UHqIjXmclbE1cu,https://api.spotify.com/v1/tracks/6ymVxYG0UHqIjXmclbE1cu,https://api.spotify.com/v1/audio-analysis/6ymVxYG0UHqIjXmclbE1cu,202501,4
0.794,0.307,3,-15.629,0,0.0486,0.674,0.935,0.0954,0.171,119.994,audio_features,4WyhOKXtCkNVcgfTBpYaxm,spotify:track:4WyhOKXtCkNVcgfTBpYaxm,https://api.spotify.com/v1/tracks/4WyhOKXtCkNVcgfTBpYaxm,https://api.spotify.com/v1/audio-analysis/4WyhOKXtCkNVcgfTBpYaxm,346587,4
0.719,0.743,10,-10.421,0,0.0345,0.166,0.962,0.123,0.35,121.998,audio_features,5NOroGtZSBsdCid7axlyXj,spotify:track:5NOroGtZSBsdCid7axlyXj,https://api.spotify.com/v1/tracks/5NOroGtZSBsdCid7axlyXj,https://api.spotify.com/v1/audio-analysis/5NOroGtZSBsdCid7axlyXj,349768,4
0.647,0.766,10,-8.941,1,0.0473,0.778,0.934,0.0805,0.333,124.929,audio_features,05rQuHa8lWk9PTpQUqcO31,spotify:track:05rQuHa8lWk9PTpQUqcO31,https://api.spotify.com/v1/tracks/05rQuHa8lWk9PTpQUqcO31,https://api.spotify.com/v1/audio-analysis/05rQuHa8lWk9PTpQUqcO31,236760,4
0.657,0.574,6,-9.303,1,0.0382,0.134,0.615,0.117,0.144,120.025,audio_features,6YzXlsjXVZTwUoKSwHZsuF,spotify:track:6YzXlsjXVZTwUoKSwHZsuF,https://api.spotify.com/v1/tracks/6YzXlsjXVZTwUoKSwHZsuF,https://api.spotify.com/v1/audio-analysis/6YzXlsjXVZTwUoKSwHZsuF,245750,4
