danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,audio_features,59CfNbkERJ3NoTXDvoURjj,spotify:track:59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/tracks/59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/audio-analysis/59CfNbkERJ3NoTXDvoURjj,153000,3
0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448,3
0.494,0.428,0,-7.239,0,0.203,0.233,0.0752,0.0816,0.441,87.723,audio_features,1ZdhOMWyFR8Iv9eylMGYg2,spotify:track:1ZdhOMWyFR8Iv9eylMGYg2,https://api.spotify.com/v1/tracks/1ZdhOMWyFR8Iv9eylMGYg2,https://api.spotify.com/v1/audio-analysis/1ZdhOMWyFR8Iv9eylMGYg2,157497,4
0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,audio_features,2K7xn816oNHJZ0aVqdQsha,spotify:track:2K7xn816oNHJZ0aVqdQsha,https://api.spotify.com/v1/tracks/2K7xn816oNHJZ0aVqdQsha,https://api.spotify.com/v1/audio-analysis/2K7xn816oNHJZ0aVqdQsha,206280,4
0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,audio_features,0sTlGEld0h8kIPZaKDYUf4,spotify:track:0sTlGEld0h8kIPZaKDYUf4,https://api.spotify.com/v1/tracks/0sTlGEld0h8kIPZaKDYUf4,https://api.spotify.com/v1/audio-analysis/0sTlGEld0h8kIPZaKDYUf4,195121,4
0.601,0.712,1,-9.433,1,0.0431,0.0848,0.0,0.479,0.386,114.998,audio_features,79nEEoEPY2w8EXj9hjn5oc,spotify:track:79nEEoEPY2w8EXj9hjn5oc,https://api.spotify.com/v1/tracks/79nEEoEPY2w8EXj9hjn5oc,https://api.spotify.com/v1/audio-analysis/79nEEoEPY2w8EXj9hjn5oc,154000,4
0.666,0.542,8,-6.429,1,0.0392,0.27,0.0,0.0765,0.0771,120.134,audio_features,3M0lSi5WW79CXQamgSBIjx,spotify:track:3M0lSi5WW79CXQamgSBIjx,https://api.spotify.com/v1/tracks/3M0lSi5WW79CXQamgSBIjx,https://api.spotify.com/v1/audio-analysis/3M0lSi5WW79CXQamgSBIjx,228787,4
0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,audio_features,0BxE4FqsDD1Ot4YuBXwAPp,spotify:track:0BxE4FqsDD1Ot4YuBXwAPp,https://api.spotify.com/v1/tracks/0BxE4FqsDD1Ot4YuBXwAPp,https://api.spotify.com/v1/audio-analysis/0BxE4FqsDD1Ot4YuBXwAPp,253587,4
0.6,0.939,7,-1.794,1,0.19,0.0666,6.18e-06,0.34,0.833,159.941,audio_features,4GRFzKI7jTZ3kbMfouc7bn,spotify:track:4GRFzKI7jTZ3kbMfouc7bn,https://api.spotify.com/v1/tracks/4GRFzKI7jTZ3kbMfouc7bn,https://api.spotify.com/v1/audio-analysis/4GRFzKI7jTZ3kbMfouc7bn,186840,4
0.698,0.642,7,-8.905,0,0.0288,0.463,0.176,0.101,0.703,125.994,audio_features,5sAYqcQTEQbTbxdcqI4b8v,spotify:track:5sAYqcQTEQbTbxdcqI4b8v,https://api.spotify.com/v1/tracks/5sAYqcQTEQbTbxdcqI4b8v,https://api.spotify.com/v1/audio-analysis/5sAYqcQTEQbTbxdcqI4b8v,202907,4
0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,audio_features,2vXKRlJBXyOcvZYTdNeckS,spotify:track:2vXKRlJBXyOcvZYTdNeckS,https://api.spotify.com/v1/tracks/2vXKRlJBXyOcvZYTdNeckS,https://api.spotify.com/v1/audio-analysis/2vXKRlJBXyOcvZYTdNeckS,202093,4
0.467,0.757,3,-5.093,1,0.033,0.0807,0.908,0.0876,0.433,82.282,audio_features,11iIikXxC6NP0Ma8vMD27x,spotify:track:11iIikXxC6NP0Ma8vMD27x,https://api.spotify.com/v1/tracks/11iIikXxC6NP0Ma8vMD27x,https://api.spotify.com/v1/audio-analysis/11iIikXxC6NP0Ma8vMD27x,155933,4
0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566,audio_features,0fv2KH6hac06J86hBUTcSf,spotify:track:0fv2KH6hac06J86hBUTcSf,https://api.spotify.com/v1/tracks/0fv2KH6hac06J86hBUTcSf,https://api.spotify.com/v1/audio-analysis/0fv2KH6hac06J86hBUTcSf,195320,4
0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,audio_features,0i5spxZKedPA2TgGuvJ3AL,spotify:track:0i5spxZKedPA2TgGuvJ3AL,https://api.spotify.com/v1/tracks/0i5spxZKedPA2TgGuvJ3AL,https://api.spotify.com/v1/audio-analysis/0i5spxZKedPA2TgGuvJ3AL,209386,4
0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625,audio_features,5Ts1DYOuouQLgzTaisxWYh,spotify:track:5Ts1DYOuouQLgzTaisxWYh,https://api.spotify.com/v1/tracks/5Ts1DYOuouQLgzTaisxWYh,https://api.spotify.com/v1/audio-analysis/5Ts1DYOuouQLgzTaisxWYh,174760,4
0.648,0.781,9,-8.736,0,0.0271,0.0332,0.013,0.305,0.822,133.417,audio_features,6RiiSy9GzSwiyDEJDiMuKe,spotify:track:6RiiSy9GzSwiyDEJDiMuKe,https://api.spotify.com/v1/tracks/6RiiSy9GzSwiyDEJDiMuKe,https://api.spotify.com/v1/audio-analysis/6RiiSy9GzSwiyDEJDiMuKe,153313,4
