danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894,audio_features,6wpGqhRvJGNNXwWlPmkMyO,spotify:track:6wpGqhRvJGNNXwWlPmkMyO,https://api.spotify.com/v1/tracks/6wpGqhRvJGNNXwWlPmkMyO,https://api.spotify.com/v1/audio-analysis/6wpGqhRvJGNNXwWlPmkMyO,277477,4
0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,audio_features,1JSTJqkT5qHq8MDJnJbRE1,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/tracks/1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/audio-analysis/1JSTJqkT5qHq8MDJnJbRE1,253920,4
0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,audio_features,6zC0mpGYwbNTpk9SKwh08f,spotify:track:6zC0mpGYwbNTpk9SKwh08f,https://api.spotify.com/v1/tracks/6zC0mpGYwbNTpk9SKwh08f,https://api.spotify.com/v1/audio-analysis/6zC0mpGYwbNTpk9SKwh08f,225027,4
0.382,0.589,9,-7.315,0,0.0267,0.0465,0.0,0.122,0.335,140.059,audio_features,7Ewz6bJ97vUqk5HdkvguFQ,spotify:track:7Ewz6bJ97vUqk5HdkvguFQ,https://api.spotify.com/v1/tracks/7Ewz6bJ97vUqk5HdkvguFQ,https://api.spotify.com/v1/audio-analysis/7Ewz6bJ97vUqk5HdkvguFQ,243360,4
0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,audio_features,6PypGyiu0Y2lCDBN1XZEnP,spotify:track:6PypGyiu0Y2lCDBN1XZEnP,https://api.spotify.com/v1/tracks/6PypGyiu0Y2lCDBN1XZEnP,https://api.spotify.com/v1/audio-analysis/6PypGyiu0Y2lCDBN1XZEnP,320267,3
0.613,0.441,5,-11.999,1,0.0309,0.546,0.0132,0.0869,0.525,87.573,audio_features,0PNt5WTw092eED0ru9SuIp,spotify:track:0PNt5WTw092eED0ru9SuIp,https://api.spotify.com/v1/tracks/0PNt5WTw092eED0ru9SuIp,https://api.spotify.com/v1/audio-analysis/0PNt5WTw092eED0ru9SuIp,360667,4
0.651,0.516,0,-13.628,1,0.0277,0.00244,5.93e-05,0.0973,0.453,115.154,audio_features,1o53HbxmOy5TzThJdBaDZb,spotify:track:1o53HbxmOy5TzThJdBaDZb,https://api.spotify.com/v1/tracks/1o53HbxmOy5TzThJdBaDZb,https://api.spotify.com/v1/audio-analysis/1o53HbxmOy5TzThJdBaDZb,388800,4
0.451,0.752,8,-6.993,1,0.0412,0.00939,0.000202,0.0844,0.358,81.917,audio_features,56GbZVwxMdf1DENCluYS8A,spotify:track:56GbZVwxMdf1DENCluYS8A,https://api.spotify.com/v1/tracks/56GbZVwxMdf1DENCluYS8A,https://api.spotify.com/v1/audio-analysis/56GbZVwxMdf1DENCluYS8A,238173,4
0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,audio_features,6ADSaE87h8Y3lccZlBJdXH,spotify:track:6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/tracks/6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/audio-analysis/6ADSaE87h8Y3lccZlBJdXH,295516,4
0.719,0.556,9,-8.77,1,0.0248,0.477,0.00511,0.0935,0.511,96.9,audio_features,1o2QE6KUthclwKuEDweROU,spotify:track:1o2QE6KUthclwKuEDweROU,https://api.spotify.com/v1/tracks/1o2QE6KUthclwKuEDweROU,https://api.spotify.com/v1/audio-analysis/1o2QE6KUthclwKuEDweROU,234813,4
0.457,0.266,6,-14.465,1,0.0313,0.711,0.000261,0.124,0.372,120.459,audio_features,7D5n2kpYH2WSqIyEO9MeXf,spotify:track:7D5n2kpYH2WSqIyEO9MeXf,https://api.spotify.com/v1/tracks/7D5n2kpYH2WSqIyEO9MeXf,https://api.spotify.com/v1/audio-analysis/7D5n2kpYH2WSqIyEO9MeXf,354400,4
0.664,0.611,0,-7.834,1,0.0276,0.00382,0.000581,0.0888,0.18,96.604,audio_features,0P9M370uqlIjYcEiOGppAV,spotify:track:0P9M370uqlIjYcEiOGppAV,https://api.spotify.com/v1/tracks/0P9M370uqlIjYcEiOGppAV,https://api.spotify.com/v1/audio-analysis/0P9M370uqlIjYcEiOGppAV,186760,3
0.472,0.652,1,-10.171,0,0.0305,0.0131,1.12e-05,0.14,0.401,140.124,audio_features,0wokCRaKD0zPNhMRXAgVsr,spotify:track:0wokCRaKD0zPNhMRXAgVsr,https://api.spotify.com/v1/tracks/0wokCRaKD0zPNhMRXAgVsr,https://api.spotify.com/v1/audio-analysis/0wokCRaKD0zPNhMRXAgVsr,340200,4
0.773,0.543,0,-9.97,1,0.0292,0.093,5.63e-06,0.175,0.802,115.997,audio_features,5XE8c07vbpQBUriwybOHtd,spotify:track:5XE8c07vbpQBUriwybOHtd,https://api.spotify.com/v1/tracks/5XE8c07vbpQBUriwybOHtd,https://api.spotify.com/v1/audio-analysis/5XE8c07vbpQBUriwybOHtd,160000,4
0.383,0.662,2,-5.162,1,0.0333,0.165,0.0,0.248,0.138,121.154,audio_features,225xvV8r1yKMHErSWivnow,spotify:track:225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/audio-analysis/225xvV8r1yKMHErSWivnow,298760,4
0.392,0.534,0,-8.793,1,0.0369,0.245,0.00104,0.155,0.325,181.305,audio_features,3G69vJMWsX6ZohTykad2AU,spotify:track:3G69vJMWsX6ZohTykad2AU,https://api.spotify.com/v1/tracks/3G69vJMWsX6ZohTykad2AU,https://api.spotify.com/v1/audio-analysis/3G69vJMWsX6ZohTykad2AU,276187,4
0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,audio_features,612VcBshQcy4mpB2utGc3H,spotify:track:612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/tracks/612VcBshQcy4mpB2utGc3H,https://api.spotify.com/v1/audio-analysis/612VcBshQcy4mpB2utGc3H,280000,4
0.472,0.373,3,-12.98,1,0.0262,0.872,0.206,0.147,0.459,135.193,audio_features,2JWKzkQbYsNzx019WyGzaH,spotify:track:2JWKzkQbYsNzx019WyGzaH,https://api.spotify.com/v1/tracks/2JWKzkQbYsNzx019WyGzaH,https://api.spotify.com/v1/audio-analysis/2JWKzkQbYsNzx019WyGzaH,288267,4
0.527,0.429,8,-12.431,1,0.0321,0.655,0.0,0.0865,0.277,97.893,audio_features,4YBIuDWPsVy9pXLCUBORZN,spotify:track:4YBIuDWPsVy9pXLCUBORZN,https://api.spotify.com/v1/tracks/4YBIuDWPsVy9pXLCUBORZN,https://api.spotify.com/v1/audio-analysis/4YBIuDWPsVy9pXLCUBORZN,332333,4
0.688,0.375,4,-9.601,1,0.0535,0.286,0.0,0.133,0.45,83.635,audio_features,3Mmt6Xk0H6VR92PEp6x3hP,spotify:track:3Mmt6Xk0H6VR92PEp6x3hP,https://api.spotify.com/v1/tracks/3Mmt6Xk0H6VR92PEp6x3hP,https://api.spotify.com/v1/audio-analysis/3Mmt6Xk0H6VR92PEp6x3hP,210480,4
0.291,0.79,11,-5.683,0,0.0363,0.00133,5.61e-06,0.0811,0.513,155.667,audio_features,6vrUTGn5p8IrfTZ0J6sIVM,spotify:track:6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/tracks/6vrUTGn5p8IrfTZ0J6sIVM,https://api.spotify.com/v1/audio-analysis/6vrUTGn5p8IrfTZ0J6sIVM,289907,3
