danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.267,0.828,7,-4.592,1,0.0746,0.00956,0.409,0.143,0.203,117.886,audio_features,5GAB1X0AJq2EZjxXP9zMFt,spotify:track:5GAB1X0AJq2EZjxXP9zMFt,https://api.spotify.com/v1/tracks/5GAB1X0AJq2EZjxXP9zMFt,https://api.spotify.com/v1/audio-analysis/5GAB1X0AJq2EZjxXP9zMFt,196560,4
0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,audio_features,5xo8RrjJ9CVNrtRg2S3B1R,spotify:track:5xo8RrjJ9CVNrtRg2S3B1R,https://api.spotify.com/v1/tracks/5xo8RrjJ9CVNrtRg2S3B1R,https://api.spotify.com/v1/audio-analysis/5xo8RrjJ9CVNrtRg2S3B1R,229760,4
0.548,0.632,2,-5.569,1,0.145,0.0126,4.95e-06,0.0769,0.535,113.682,audio_features,7KdF7Zac5eC9jutk9Qret4,spotify:track:7KdF7Zac5eC9jutk9Qret4,https://api.spotify.com/v1/tracks/7KdF7Zac5eC9jutk9Qret4,https://api.spotify.com/v1/audio-analysis/7KdF7Zac5eC9jutk9Qret4,245800,4
0.689,0.617,4,-5.196,1,0.029,0.0918,2.08e-05,0.0816,0.682,121.062,audio_features,5ftdTvmQjjsL23t7jxADfI,spotify:track:5ftdTvmQjjsL23t7jxADfI,https://api.spotify.com/v1/tracks/5ftdTvmQjjsL23t7jxADfI,https://api.spotify.com/v1/audio-analysis/5ftdTvmQjjsL23t7jxADfI,252307,4
0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,audio_features,3NRql0A1Ef4RCvT473iqgD,spotify:track:3NRql0A1Ef4RCvT473iqgD,https://api.spotify.com/v1/tracks/3NRql0A1Ef4RCvT473iqgD,https://api.spotify.com/v1/audio-analysis/3NRql0A1Ef4RCvT473iqgD,213573,4
0.602,0.595,2,-10.784,1,0.0366,0.342,0.853,0.0611,0.456,94.994,audio_features,7hP3tO4G8r2KnUvdosudEU,spotify:track:7hP3tO4G8r2KnUvdosudEU,https://api.spotify.com/v1/tracks/7hP3tO4G8r2KnUvdosudEU,https://api.spotify.com/v1/audio-analysis/7hP3tO4G8r2KnUvdosudEU,269640,4
0.596,0.807,1,-7.893,0,0.028,0.000132,0.264,0.312,0.288,117.016,audio_features,3nClCcBmn9NnrRQkQTkx1J,spotify:track:3nClCcBmn9NnrRQkQTkx1J,https://api.spotify.com/v1/tracks/3nClCcBmn9NnrRQkQTkx1J,https://api.spotify.com/v1/audio-analysis/3nClCcBmn9NnrRQkQTkx1J,219893,4
0.604,0.789,5,-6.259,1,0.0273,0.0011,0.828,0.368,0.348,122.032,audio_features,1LomCMl5wD3MPVlC6smUHe,spotify:track:1LomCMl5wD3MPVlC6smUHe,https://api.spotify.com/v1/tracks/1LomCMl5wD3MPVlC6smUHe,https://api.spotify.com/v1/audio-analysis/1LomCMl5wD3MPVlC6smUHe,275227,4
0.803,0.431,8,-10.817,1,0.0335,0.691,0.000699,0.106,0.212,103.948,audio_features,5Y42u37PlyQXegnuI1Hpo1,spotify:track:5Y42u37PlyQXegnuI1Hpo1,https://api.spotify.com/v1/tracks/5Y42u37PlyQXegnuI1Hpo1,https://api.spotify.com/v1/audio-analysis/5Y42u37PlyQXegnuI1Hpo1,219375,4
0.514,0.545,1,-7.96,0,0.224,0.35,0.0149,0.162,0.611,100.027,audio_features,4O3ob7NxMcZLgJ8ucIahPS,spotify:track:4O3ob7NxMcZLgJ8ucIahPS,https://api.spotify.com/v1/tracks/4O3ob7NxMcZLgJ8ucIahPS,https://api.spotify.com/v1/audio-analysis/4O3ob7NxMcZLgJ8ucIahPS,205027,4
