danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.566,0.774,6,-9.427,0,0.0644,0.0284,0.896,0.0562,0.0288,124.988,audio_features,7LHqxlhat0OIf3gCOGnOGr,spotify:track:7LHqxlhat0OIf3gCOGnOGr,https://api.spotify.com/v1/tracks/7LHqxlhat0OIf3gCOGnOGr,https://api.spotify.com/v1/audio-analysis/7LHqxlhat0OIf3gCOGnOGr,445440,4
0.608,0.936,0,-8.102,0,0.0559,0.00611,0.419,0.192,0.101,134.974,audio_features,7B5NyuAKnhLj0aasbRpaIp,spotify:track:7B5NyuAKnhLj0aasbRpaIp,https://api.spotify.com/v1/tracks/7B5NyuAKnhLj0aasbRpaIp,https://api.spotify.com/v1/audio-analysis/7B5NyuAKnhLj0aasbRpaIp,225000,4
0.702,0.896,1,-8.573,1,0.0485,0.00154,0.887,0.25,0.408,144.047,audio_features,0JhWSndXoTT6SOVhHkMOj3,spotify:track:0JhWSndXoTT6SOVhHkMOj3,https://api.spotify.com/v1/tracks/0JhWSndXoTT6SOVhHkMOj3,https://api.spotify.com/v1/audio-analysis/0JhWSndXoTT6SOVhHkMOj3,367187,4
0.789,0.835,7,-10.216,1,0.0516,0.00912,0.896,0.107,0.239,133.992,audio_features,3CXLGRODlXbTkXUEvsi7Xu,spotify:track:3CXLGRODlXbTkXUEvsi7Xu,https://api.spotify.com/v1/tracks/3CXLGRODlXbTkXUEvsi7Xu,https://api.spotify.com/v1/audio-analysis/3CXLGRODlXbTkXUEvsi7Xu,330667,4
0.67,0.97,9,-7.441,0,0.0327,0.0175,0.784,0.0848,0.648,129.995,audio_features,2NXe89CbqXHJvbdDWjPPfx,spotify:track:2NXe89CbqXHJvbdDWjPPfx,https://api.spotify.com/v1/tracks/2NXe89CbqXHJvbdDWjPPfx,https://api.spotify.com/v1/audio-analysis/2NXe89CbqXHJvbdDWjPPfx,210462,4
0.744,0.697,10,-9.033,0,0.0575,0.00189,0.855,0.62,0.434,129.994,audio_features,2BfFW4C5SIgbp33539WAah,spotify:track:2BfFW4C5SIgbp33539WAah,https://api.spotify.com/v1/tracks/2BfFW4C5SIgbp33539WAah,https://api.spotify.com/v1/audio-analysis/2BfFW4C5SIgbp33539WAah,205696,4
0.733,0.723,0,-8.272,1,0.0484,0.000471,0.919,0.0915,0.519,127.999,audio_features,5rAVFbZJT9V9zBSUO7Ig4y,spotify:track:5rAVFbZJT9V9zBSUO7Ig4y,https://api.spotify.com/v1/tracks/5rAVFbZJT9V9zBSUO7Ig4y,https://api.spotify.com/v1/audio-analysis/5rAVFbZJT9V9zBSUO7Ig4y,213312,4
0.65,0.783,8,-8.607,1,0.0608,0.0418,0.735,0.621,0.702,138.0,audio_features,4k5LKHaDmjAT82BrFovDAE,spotify:track:4k5LKHaDmjAT82BrFovDAE,https://api.spotify.com/v1/tracks/4k5LKHaDmjAT82BrFovDAE,https://api.spotify.com/v1/audio-analysis/4k5LKHaDmjAT82BrFovDAE,282050,4
0.622,0.852,11,-10.3,0,0.0451,0.000464,0.885,0.0768,0.592,128.001,audio_features,2TEPMRBEN4rQQ3pjbQhX2i,spotify:track:2TEPMRBEN4rQQ3pjbQhX2i,https://api.spotify.com/v1/tracks/2TEPMRBEN4rQQ3pjbQhX2i,https://api.spotify.com/v1/audio-analysis/2TEPMRBEN4rQQ3pjbQhX2i,255000,4
0.483,0.953,2,-8.464,1,0.0507,0.00403,0.763,0.122,0.188,152.04,audio_features,7r8Q5lPGmMyYccWfUlyGDl,spotify:track:7r8Q5lPGmMyYccWfUlyGDl,https://api.spotify.com/v1/tracks/7r8Q5lPGmMyYccWfUlyGDl,https://api.spotify.com/v1/audio-analysis/7r8Q5lPGmMyYccWfUlyGDl,241436,4
