danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.809,0.777,6,-8.677,0,0.0498,0.016,0.83,0.0721,0.436,125.034,audio_features,74svMcorgPABViSTZka4yw,spotify:track:74svMcorgPABViSTZka4yw,https://api.spotify.com/v1/tracks/74svMcorgPABViSTZka4yw,https://api.spotify.com/v1/audio-analysis/74svMcorgPABViSTZka4yw,218880,4
0.809,0.953,1,-4.793,0,0.048,0.00439,0.312,0.312,0.873,125.008,audio_features,7Fbx8mVJy36dsVq9IYTRXu,spotify:track:7Fbx8mVJy36dsVq9IYTRXu,https://api.spotify.com/v1/tracks/7Fbx8mVJy36dsVq9IYTRXu,https://api.spotify.com/v1/audio-analysis/7Fbx8mVJy36dsVq9IYTRXu,153600,4
0.762,0.707,10,-7.306,0,0.0437,0.00251,0.00685,0.073,0.717,124.956,audio_features,3OZUrZBtQCiMmpoZquu0BS,spotify:track:3OZUrZBtQCiMmpoZquu0BS,https://api.spotify.com/v1/tracks/3OZUrZBtQCiMmpoZquu0BS,https://api.spotify.com/v1/audio-analysis/3OZUrZBtQCiMmpoZquu0BS,181801,4
0.691,0.849,1,-8.735,0,0.0456,0.0453,0.49,0.106,0.0345,123.978,audio_features,4gJMsAYnnwNBsrhqjLWbWi,spotify:track:4gJMsAYnnwNBsrhqjLWbWi,https://api.spotify.com/v1/tracks/4gJMsAYnnwNBsrhqjLWbWi,https://api.spotify.com/v1/audio-analysis/4gJMsAYnnwNBsrhqjLWbWi,282461,4
0.579,0.987,9,-4.069,0,0.0706,0.000243,0.744,0.129,0.343,125.021,audio_features,6EJuJAg1Ydjkoj9SCwMUyN,spotify:track:6EJuJAg1Ydjkoj9SCwMUyN,https://api.spotify.com/v1/tracks/6EJuJAg1Ydjkoj9SCwMUyN,https://api.spotify.com/v1/audio-analysis/6EJuJAg1Ydjkoj9SCwMUyN,174600,4
0.544,0.856,5,-6.84,0,0.0314,0.00162,0.818,0.0763,0.233,125.992,audio_features,4G4patpYxsF6ovHZOX9wgR,spotify:track:4G4patpYxsF6ovHZOX9wgR,https://api.spotify.com/v1/tracks/4G4patpYxsF6ovHZOX9wgR,https://api.spotify.com/v1/audio-analysis/4G4patpYxsF6ovHZOX9wgR,219048,4
0.803,0.932,0,-7.123,1,0.0912,0.0225,0.581,0.078,0.726,124.963,audio_features,3aLsMcZZTLgQqjpWgeWMMM,spotify:track:3aLsMcZZTLgQqjpWgeWMMM,https://api.spotify.com/v1/tracks/3aLsMcZZTLgQqjpWgeWMMM,https://api.spotify.com/v1/audio-analysis/3aLsMcZZTLgQqjpWgeWMMM,201869,4
0.829,0.631,11,-9.682,0,0.1,0.00316,0.0329,0.0884,0.539,129.979,audio_features,632paTWO6lWhhkpSPvlKiG,spotify:track:632paTWO6lWhhkpSPvlKiG,https://api.spotify.com/v1/tracks/632paTWO6lWhhkpSPvlKiG,https://api.spotify.com/v1/audio-analysis/632paTWO6lWhhkpSPvlKiG,199385,4
0.842,0.811,2,-6.476,1,0.109,0.00579,0.176,0.0702,0.594,125.995,audio_features,3MK2rvp7XjarzRKFrPGMOb,spotify:track:3MK2rvp7XjarzRKFrPGMOb,https://api.spotify.com/v1/tracks/3MK2rvp7XjarzRKFrPGMOb,https://api.spotify.com/v1/audio-analysis/3MK2rvp7XjarzRKFrPGMOb,194524,4
0.716,0.917,6,-5.091,1,0.0331,0.123,0.396,0.0628,0.751,124.032,audio_features,4O3APpGNhOldqDsPF8IaS5,spotify:track:4O3APpGNhOldqDsPF8IaS5,https://api.spotify.com/v1/tracks/4O3APpGNhOldqDsPF8IaS5,https://api.spotify.com/v1/audio-analysis/4O3APpGNhOldqDsPF8IaS5,160669,4
