danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.526,0.763,0,-12.663,0,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,audio_features,4QlzkaRHtU8gAdwqjWmO8n,spotify:track:4QlzkaRHtU8gAdwqjWmO8n,https://api.spotify.com/v1/tracks/4QlzkaRHtU8gAdwqjWmO8n,https://api.spotify.com/v1/audio-analysis/4QlzkaRHtU8gAdwqjWmO8n,215160,4
0.314,0.797,0,-9.026,1,0.038,0.0057,5.59e-05,0.0718,0.569,145.393,audio_features,2fXKyAyPrEa24c6PJyqznF,spotify:track:2fXKyAyPrEa24c6PJyqznF,https://api.spotify.com/v1/tracks/2fXKyAyPrEa24c6PJyqznF,https://api.spotify.com/v1/audio-analysis/2fXKyAyPrEa24c6PJyqznF,351627,4
0.356,0.609,7,-14.697,1,0.0514,1.09e-05,0.878,0.1,0.0952,128.432,audio_features,5CXokdWISVHIcq4BsKwDvJ,spotify:track:5CXokdWISVHIcq4BsKwDvJ,https://api.spotify.com/v1/tracks/5CXokdWISVHIcq4BsKwDvJ,https://api.spotify.com/v1/audio-analysis/5CXokdWISVHIcq4BsKwDvJ,319160,4
0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,audio_features,4c6vZqYHFur11FbWATIJ9P,spotify:track:4c6vZqYHFur11FbWATIJ9P,https://api.spotify.com/v1/tracks/4c6vZqYHFur11FbWATIJ9P,https://api.spotify.com/v1/audio-analysis/4c6vZqYHFur11FbWATIJ9P,162187,4
0.587,0.566,9,-9.932,1,0.0276,0.47,0.0,0.0644,0.529,76.054,audio_features,42cxPm9jgbaxIVN77XA1m6,spotify:track:42cxPm9jgbaxIVN77XA1m6,https://api.spotify.com/v1/tracks/42cxPm9jgbaxIVN77XA1m6,https://api.spotify.com/v1/audio-analysis/42cxPm9jgbaxIVN77XA1m6,461947,4
0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,audio_features,5QLHGv0DfpeXLNFo7SFEy1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/audio-analysis/5QLHGv0DfpeXLNFo7SFEy1,266200,4
0.522,0.801,4,-3.641,1,0.0301,8.2e-06,0.0685,0.174,0.197,112.445,audio_features,5ibELGcXGqX5x9TWFeNPxY,spotify:track:5ibELGcXGqX5x9TWFeNPxY,https://api.spotify.com/v1/tracks/5ibELGcXGqX5x9TWFeNPxY,https://api.spotify.com/v1/audio-analysis/5ibELGcXGqX5x9TWFeNPxY,305707,4
0.435,0.88,2,-8.451,1,0.0448,0.00265,0.0014,0.436,0.593,91.116,audio_features,6JvEXmRh3l2acBzvqavgT9,spotify:track:6JvEXmRh3l2acBzvqavgT9,https://api.spotify.com/v1/tracks/6JvEXmRh3l2acBzvqavgT9,https://api.spotify.com/v1/audio-analysis/6JvEXmRh3l2acBzvqavgT9,347093,4
0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,audio_features,2CdS3DRqWR5LAhy4hM5X9W,spotify:track:2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/tracks/2CdS3DRqWR5LAhy4hM5X9W,https://api.spotify.com/v1/audio-analysis/2CdS3DRqWR5LAhy4hM5X9W,156667,4
0.577,0.828,7,-9.805,1,0.0556,0.358,0.013,0.0683,0.706,142.365,audio_features,5GPPI3rnZDptLYRN4vTUoZ,spotify:track:5GPPI3rnZDptLYRN4vTUoZ,https://api.spotify.com/v1/tracks/5GPPI3rnZDptLYRN4vTUoZ,https://api.spotify.com/v1/audio-analysis/5GPPI3rnZDptLYRN4vTUoZ,314067,4
0.302,0.854,2,-6.619,1,0.0757,0.102,1.45e-06,0.0835,0.589,156.278,audio_features,4j3obTRIyR7QzvdeQz9vaO,spotify:track:4j3obTRIyR7QzvdeQz9vaO,https://api.spotify.com/v1/tracks/4j3obTRIyR7QzvdeQz9vaO,https://api.spotify.com/v1/audio-analysis/4j3obTRIyR7QzvdeQz9vaO,244827,4
0.286,0.822,9,-3.366,0,0.0381,2.31e-05,1.31e-05,0.353,0.19,90.96,audio_features,6TlQ5fbojNRuG0hPQMbxeW,spotify:track:6TlQ5fbojNRuG0hPQMbxeW,https://api.spotify.com/v1/tracks/6TlQ5fbojNRuG0hPQMbxeW,https://api.spotify.com/v1/audio-analysis/6TlQ5fbojNRuG0hPQMbxeW,276667,4
0.667,0.699,7,-7.574,1,0.026,0.42,0.000442,0.201,0.655,118.567,audio_features,4jLv3tDBu8ww2R07DvL12s,spotify:track:4jLv3tDBu8ww2R07DvL12s,https://api.spotify.com/v1/tracks/4jLv3tDBu8ww2R07DvL12s,https://api.spotify.com/v1/audio-analysis/4jLv3tDBu8ww2R07DvL12s,314173,4
0.622,0.693,7,-8.619,1,0.0274,0.288,1.06e-06,0.136,0.843,109.055,audio_features,5gSHlT2SI0dtjeHrjj96A1,spotify:track:5gSHlT2SI0dtjeHrjj96A1,https://api.spotify.com/v1/tracks/5gSHlT2SI0dtjeHrjj96A1,https://api.spotify.com/v1/audio-analysis/5gSHlT2SI0dtjeHrjj96A1,230040,4
0.523,0.76,5,-12.437,1,0.0325,0.103,0.00068,0.0666,0.581,94.267,audio_features,67ncFJWaIbJdqZl1bpEppz,spotify:track:67ncFJWaIbJdqZl1bpEppz,https://api.spotify.com/v1/tracks/67ncFJWaIbJdqZl1bpEppz,https://api.spotify.com/v1/audio-analysis/67ncFJWaIbJdqZl1bpEppz,228267,4
0.615,0.616,6,-10.39,0,0.133,0.0399,0.000129,0.348,0.836,170.776,audio_features,5NTZM8YYeKM2YsGSffVIge,spotify:track:5NTZM8YYeKM2YsGSffVIge,https://api.spotify.com/v1/tracks/5NTZM8YYeKM2YsGSffVIge,https://api.spotify.com/v1/audio-analysis/5NTZM8YYeKM2YsGSffVIge,235000,4
0.547,0.764,5,-12.552,1,0.0419,0.000523,1.79e-05,0.285,0.722,117.722,audio_features,2ItPID4dgSL1t1ZbZCrg5S,spotify:track:2ItPID4dgSL1t1ZbZCrg5S,https://api.spotify.com/v1/tracks/2ItPID4dgSL1t1ZbZCrg5S,https://api.spotify.com/v1/audio-analysis/2ItPID4dgSL1t1ZbZCrg5S,239493,4
0.565,0.902,7,-7.579,0,0.0725,0.0132,0.0,0.0561,0.544,133.11,audio_features,2aC8wwfrM0YeTAzzk8hxqC,spotify:track:2aC8wwfrM0YeTAzzk8hxqC,https://api.spotify.com/v1/tracks/2aC8wwfrM0YeTAzzk8hxqC,https://api.spotify.com/v1/audio-analysis/2aC8wwfrM0YeTAzzk8hxqC,273573,4
0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117,audio_features,6txWz9UapYHVxEd7dDIHXT,spotify:track:6txWz9UapYHVxEd7dDIHXT,https://api.spotify.com/v1/tracks/6txWz9UapYHVxEd7dDIHXT,https://api.spotify.com/v1/audio-analysis/6txWz9UapYHVxEd7dDIHXT,217107,4
0.426,0.878,2,-8.274,1,0.0388,0.0237,0.000118,0.173,0.65,102.818,audio_features,3ATIyi8OsM5ciO0CDd2iCs,spotify:track:3ATIyi8OsM5ciO0CDd2iCs,https://api.spotify.com/v1/tracks/3ATIyi8OsM5ciO0CDd2iCs,https://api.spotify.com/v1/audio-analysis/3ATIyi8OsM5ciO0CDd2iCs,200413,4
0.317,0.571,9,-7.669,1,0.0283,0.158,2.95e-06,0.0848,0.234,163.036,audio_features,0qmCWYu7hOvriyuqXfPw7I,spotify:track:0qmCWYu7hOvriyuqXfPw7I,https://api.spotify.com/v1/tracks/0qmCWYu7hOvriyuqXfPw7I,https://api.spotify.com/v1/audio-analysis/0qmCWYu7hOvriyuqXfPw7I,240120,3
0.252,0.872,8,-3.752,1,0.0777,0.00912,8.79e-06,0.109,0.399,126.938,audio_features,3m1JFLpKLYgMi1jf6Bu16P,spotify:track:3m1JFLpKLYgMi1jf6Bu16P,https://api.spotify.com/v1/tracks/3m1JFLpKLYgMi1jf6Bu16P,https://api.spotify.com/v1/audio-analysis/3m1JFLpKLYgMi1jf6Bu16P,236360,4
0.494,0.936,11,-7.195,0,0.0398,0.0112,0.000693,0.276,0.834,107.543,audio_features,5EugXICXL06waHgP4iTI58,spotify:track:5EugXICXL06waHgP4iTI58,https://api.spotify.com/v1/tracks/5EugXICXL06waHgP4iTI58,https://api.spotify.com/v1/audio-analysis/5EugXICXL06waHgP4iTI58,224480,4
0.521,0.727,2,-6.193,1,0.0388,0.0876,0.0,0.237,0.566,88.983,audio_features,5bWLIVKl5UrbQ2xEGfAXOK,spotify:track:5bWLIVKl5UrbQ2xEGfAXOK,https://api.spotify.com/v1/tracks/5bWLIVKl5UrbQ2xEGfAXOK,https://api.spotify.com/v1/audio-analysis/5bWLIVKl5UrbQ2xEGfAXOK,191640,4
0.247,0.764,9,-7.718,1,0.0472,0.00542,0.0,0.16,0.503,154.707,audio_features,1mppNVGh4ipsxIWUUA0QiH,spotify:track:1mppNVGh4ipsxIWUUA0QiH,https://api.spotify.com/v1/tracks/1mppNVGh4ipsxIWUUA0QiH,https://api.spotify.com/v1/audio-analysis/1mppNVGh4ipsxIWUUA0QiH,210200,4
0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,audio_features,0gEyKnHvgkrkBM6fbeHdwK,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/tracks/0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/audio-analysis/0gEyKnHvgkrkBM6fbeHdwK,274707,4
0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,audio_features,3mwvKOyMmG77zZRunnxp9E,spotify:track:3mwvKOyMmG77zZRunnxp9E,https://api.spotify.com/v1/tracks/3mwvKOyMmG77zZRunnxp9E,https://api.spotify.com/v1/audio-analysis/3mwvKOyMmG77zZRunnxp9E,159227,4
0.528,0.904,2,-5.854,1,0.0343,0.000833,0.0,0.174,0.678,122.372,audio_features,5bVOX6eyHsML2sB4aMlZEi,spotify:track:5bVOX6eyHsML2sB4aMlZEi,https://api.spotify.com/v1/tracks/5bVOX6eyHsML2sB4aMlZEi,https://api.spotify.com/v1/audio-analysis/5bVOX6eyHsML2sB4aMlZEi,230040,4
0.34,0.74,6,-5.664,1,0.0614,0.112,9.56e-06,0.303,0.256,125.47,audio_features,0dgAsKrq63WrtPjReh3jNk,spotify:track:0dgAsKrq63WrtPjReh3jNk,https://api.spotify.com/v1/tracks/0dgAsKrq63WrtPjReh3jNk,https://api.spotify.com/v1/audio-analysis/0dgAsKrq63WrtPjReh3jNk,349973,4
0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,audio_features,63OQupATfueTdZMWTxW03A,spotify:track:63OQupATfueTdZMWTxW03A,https://api.spotify.com/v1/tracks/63OQupATfueTdZMWTxW03A,https://api.spotify.com/v1/audio-analysis/63OQupATfueTdZMWTxW03A,264067,4
0.542,0.626,0,-7.105,1,0.0242,0.0789,0.000508,0.277,0.813,89.734,audio_features,4OHVCeQYPncEwZOtNAJZZx,spotify:track:4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/tracks/4OHVCeQYPncEwZOtNAJZZx,https://api.spotify.com/v1/audio-analysis/4OHVCeQYPncEwZOtNAJZZx,305213,4
0.404,0.902,7,-5.685,0,0.0468,0.0431,0.0,0.119,0.231,131.894,audio_features,0txLC5NA64M8siGn3mnET0,spotify:track:0txLC5NA64M8siGn3mnET0,https://api.spotify.com/v1/tracks/0txLC5NA64M8siGn3mnET0,https://api.spotify.com/v1/audio-analysis/0txLC5NA64M8siGn3mnET0,262827,4
0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,audio_features,2EoOZnxNgtmZaD8uUmz2nD,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD,https://api.spotify.com/v1/audio-analysis/2EoOZnxNgtmZaD8uUmz2nD,318587,4
0.267,0.81,0,-6.189,1,0.0418,0.00019,0.018,0.084,0.267,127.673,audio_features,2VmyLy2HQlkevZYboXHM5O,spotify:track:2VmyLy2HQlkevZYboXHM5O,https://api.spotify.com/v1/tracks/2VmyLy2HQlkevZYboXHM5O,https://api.spotify.com/v1/audio-analysis/2VmyLy2HQlkevZYboXHM5O,290960,5
0.593,0.693,4,-8.576,1,0.0305,0.0283,0.084,0.172,0.749,150.489,audio_features,3soLwFvqNYT90pZHSZhmK2,spotify:track:3soLwFvqNYT90pZHSZhmK2,https://api.spotify.com/v1/tracks/3soLwFvqNYT90pZHSZhmK2,https://api.spotify.com/v1/audio-analysis/3soLwFvqNYT90pZHSZhmK2,363538,4
0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,audio_features,7wCmS9TTVUcIhRalDYFgPy,spotify:track:7wCmS9TTVUcIhRalDYFgPy,https://api.spotify.com/v1/tracks/7wCmS9TTVUcIhRalDYFgPy,https://api.spotify.com/v1/audio-analysis/7wCmS9TTVUcIhRalDYFgPy,234973,4
0.478,0.862,11,-5.513,0,0.0269,0.00942,1.28e-05,0.0756,0.608,106.295,audio_features,1oPg2EYKf2hbS7aDyE8j3S,spotify:track:1oPg2EYKf2hbS7aDyE8j3S,https://api.spotify.com/v1/tracks/1oPg2EYKf2hbS7aDyE8j3S,https://api.spotify.com/v1/audio-analysis/1oPg2EYKf2hbS7aDyE8j3S,298640,3
0.452,0.909,9,-3.977,1,0.0366,0.0313,0.0603,0.23,0.805,124.623,audio_features,1v2zyAJrChw5JnfafSkwkJ,spotify:track:1v2zyAJrChw5JnfafSkwkJ,https://api.spotify.com/v1/tracks/1v2zyAJrChw5JnfafSkwkJ,https://api.spotify.com/v1/audio-analysis/1v2zyAJrChw5JnfafSkwkJ,225787,4
0.546,0.867,11,-4.235,0,0.0354,0.0256,0.000229,0.221,0.189,127.988,audio_features,64SIlhd3BaHCCMSfajXG7l,spotify:track:64SIlhd3BaHCCMSfajXG7l,https://api.spotify.com/v1/tracks/64SIlhd3BaHCCMSfajXG7l,https://api.spotify.com/v1/audio-analysis/64SIlhd3BaHCCMSfajXG7l,322040,4
0.291,0.767,7,-6.913,0,0.0862,0.000401,0.012,0.0763,0.359,175.702,audio_features,1dyTcli07c77mtQK3ahUZR,spotify:track:1dyTcli07c77mtQK3ahUZR,https://api.spotify.com/v1/tracks/1dyTcli07c77mtQK3ahUZR,https://api.spotify.com/v1/audio-analysis/1dyTcli07c77mtQK3ahUZR,234800,4
0.409,0.717,6,-7.75,1,0.0395,0.000578,0.0632,0.0827,0.311,169.212,audio_features,4uPi47C1WcnhIbvCx4zCu6,spotify:track:4uPi47C1WcnhIbvCx4zCu6,https://api.spotify.com/v1/tracks/4uPi47C1WcnhIbvCx4zCu6,https://api.spotify.com/v1/audio-analysis/4uPi47C1WcnhIbvCx4zCu6,188693,4
