danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.528,0.309,0,-7.398,1,0.0329,0.924,2.1e-06,0.282,0.307,133.83,audio_features,6N1K5OVVCopBjGViHs2IvP,spotify:track:6N1K5OVVCopBjGViHs2IvP,https://api.spotify.com/v1/tracks/6N1K5OVVCopBjGViHs2IvP,https://api.spotify.com/v1/audio-analysis/6N1K5OVVCopBjGViHs2IvP,185422,4
0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036,audio_features,0IuVhCflrQPMGRrOyoY5RW,spotify:track:0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/tracks/0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/audio-analysis/0IuVhCflrQPMGRrOyoY5RW,206772,4
0.662,0.553,9,-8.205,1,0.0703,0.158,0.0,0.194,0.371,80.921,audio_features,3nEkblDKsOep9W5tjMOPti,spotify:track:3nEkblDKsOep9W5tjMOPti,https://api.spotify.com/v1/tracks/3nEkblDKsOep9W5tjMOPti,https://api.spotify.com/v1/audio-analysis/3nEkblDKsOep9W5tjMOPti,266899,4
0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069,audio_features,5r43qanLhUCdBj8HN3fa6B,spotify:track:5r43qanLhUCdBj8HN3fa6B,https://api.spotify.com/v1/tracks/5r43qanLhUCdBj8HN3fa6B,https://api.spotify.com/v1/audio-analysis/5r43qanLhUCdBj8HN3fa6B,163855,4
0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034,audio_features,5902W4uHWzhtOff1UK7the,spotify:track:5902W4uHWzhtOff1UK7the,https://api.spotify.com/v1/tracks/5902W4uHWzhtOff1UK7the,https://api.spotify.com/v1/audio-analysis/5902W4uHWzhtOff1UK7the,161267,4
0.492,0.791,11,-5.045,1,0.0703,0.00816,1.87e-05,0.11,0.585,144.363,audio_features,3tKggonCKJgCG7nroEH2np,spotify:track:3tKggonCKJgCG7nroEH2np,https://api.spotify.com/v1/tracks/3tKggonCKJgCG7nroEH2np,https://api.spotify.com/v1/audio-analysis/3tKggonCKJgCG7nroEH2np,218391,4
0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,audio_features,6JIC3hbC28JZKZ8AlAqX8h,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,https://api.spotify.com/v1/tracks/6JIC3hbC28JZKZ8AlAqX8h,https://api.spotify.com/v1/audio-analysis/6JIC3hbC28JZKZ8AlAqX8h,202735,4
0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,audio_features,18asYwWugKjjsihZ0YvRxO,spotify:track:18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/tracks/18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/audio-analysis/18asYwWugKjjsihZ0YvRxO,164819,4
0.644,0.488,5,-9.996,1,0.0313,0.242,3.41e-05,0.0938,0.21,100.006,audio_features,6OFXDyfd3QB3DhXGfSBZUY,spotify:track:6OFXDyfd3QB3DhXGfSBZUY,https://api.spotify.com/v1/tracks/6OFXDyfd3QB3DhXGfSBZUY,https://api.spotify.com/v1/audio-analysis/6OFXDyfd3QB3DhXGfSBZUY,192560,1
0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,audio_features,3o9kpgkIcffx0iSwxhuNI2,spotify:track:3o9kpgkIcffx0iSwxhuNI2,https://api.spotify.com/v1/tracks/3o9kpgkIcffx0iSwxhuNI2,https://api.spotify.com/v1/audio-analysis/3o9kpgkIcffx0iSwxhuNI2,169238,4
0.624,0.86,8,-3.012,1,0.124,0.0704,0.0,0.0819,0.816,100.897,audio_features,0fQfJFfngYfG26560HLMLN,spotify:track:0fQfJFfngYfG26560HLMLN,https://api.spotify.com/v1/tracks/0fQfJFfngYfG26560HLMLN,https://api.spotify.com/v1/audio-analysis/0fQfJFfngYfG26560HLMLN,212668,4
0.657,0.645,2,-5.33,0,0.0321,0.0657,8.8e-06,0.187,0.387,134.021,audio_features,3PmaqkHQLWpxKhSpo6yJip,spotify:track:3PmaqkHQLWpxKhSpo6yJip,https://api.spotify.com/v1/tracks/3PmaqkHQLWpxKhSpo6yJip,https://api.spotify.com/v1/audio-analysis/3PmaqkHQLWpxKhSpo6yJip,189515,4
0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,audio_features,5CSKbHjpqborGnlzagyaDo,spotify:track:5CSKbHjpqborGnlzagyaDo,https://api.spotify.com/v1/tracks/5CSKbHjpqborGnlzagyaDo,https://api.spotify.com/v1/audio-analysis/5CSKbHjpqborGnlzagyaDo,258004,4
