danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.7,0.725,4,-11.433,0,0.0492,0.0439,0.851,0.125,0.129,116.824,audio_features,0vryyKyxCFXT0gg670yNEw,spotify:track:0vryyKyxCFXT0gg670yNEw,https://api.spotify.com/v1/tracks/0vryyKyxCFXT0gg670yNEw,https://api.spotify.com/v1/audio-analysis/0vryyKyxCFXT0gg670yNEw,403706,4
0.714,0.878,2,-6.209,1,0.065,0.153,0.811,0.0871,0.509,128.103,audio_features,7N3FfUFMud1rjI6Vgw71mm,spotify:track:7N3FfUFMud1rjI6Vgw71mm,https://api.spotify.com/v1/tracks/7N3FfUFMud1rjI6Vgw71mm,https://api.spotify.com/v1/audio-analysis/7N3FfUFMud1rjI6Vgw71mm,362947,4
0.846,0.892,1,-8.103,1,0.0451,0.000115,0.0348,0.0798,0.831,128.045,audio_features,040feKzAD1CyH8asrYDfDp,spotify:track:040feKzAD1CyH8asrYDfDp,https://api.spotify.com/v1/tracks/040feKzAD1CyH8asrYDfDp,https://api.spotify.com/v1/audio-analysis/040feKzAD1CyH8asrYDfDp,323280,4
0.72,0.583,8,-8.333,1,0.0409,0.000766,0.649,0.354,0.403,122.825,audio_features,46ddej1ibGIgs58H0wakoK,spotify:track:46ddej1ibGIgs58H0wakoK,https://api.spotify.com/v1/tracks/46ddej1ibGIgs58H0wakoK,https://api.spotify.com/v1/audio-analysis/46ddej1ibGIgs58H0wakoK,350813,4
0.23,0.611,2,-15.684,1,0.0439,0.000119,0.0261,0.226,0.516,244.162,audio_features,5jqB1gA8c041hLvytgdfe2,spotify:track:5jqB1gA8c041hLvytgdfe2,https://api.spotify.com/v1/tracks/5jqB1gA8c041hLvytgdfe2,https://api.spotify.com/v1/audio-analysis/5jqB1gA8c041hLvytgdfe2,296040,4
0.725,0.537,8,-13.977,0,0.0448,0.000261,0.0296,0.404,0.784,123.057,audio_features,02ePVbyZRQs0LQB5XrofKa,spotify:track:02ePVbyZRQs0LQB5XrofKa,https://api.spotify.com/v1/tracks/02ePVbyZRQs0LQB5XrofKa,https://api.spotify.com/v1/audio-analysis/02ePVbyZRQs0LQB5XrofKa,299947,4
0.757,0.805,7,-11.558,1,0.0333,0.0999,0.911,0.112,0.772,119.493,audio_features,40JBwyos6icQnW7Gyv9OEn,spotify:track:40JBwyos6icQnW7Gyv9OEn,https://api.spotify.com/v1/tracks/40JBwyos6icQnW7Gyv9OEn,https://api.spotify.com/v1/audio-analysis/40JBwyos6icQnW7Gyv9OEn,152693,4
0.656,0.899,1,-5.095,1,0.0303,0.00201,0.0969,0.0991,0.544,124.451,audio_features,1625ER4xx3r4P8kBcOCVPY,spotify:track:1625ER4xx3r4P8kBcOCVPY,https://api.spotify.com/v1/tracks/1625ER4xx3r4P8kBcOCVPY,https://api.spotify.com/v1/audio-analysis/1625ER4xx3r4P8kBcOCVPY,477333,4
0.786,0.819,9,-11.397,0,0.101,0.0317,0.000143,0.0296,0.76,125.705,audio_features,4ECiSO5OmUy41ifKknjsf4,spotify:track:4ECiSO5OmUy41ifKknjsf4,https://api.spotify.com/v1/tracks/4ECiSO5OmUy41ifKknjsf4,https://api.spotify.com/v1/audio-analysis/4ECiSO5OmUy41ifKknjsf4,206400,4
0.776,0.777,2,-16.38,1,0.176,0.00161,0.92,0.105,0.718,122.351,audio_features,4V5Hap0FGupSWoz67VWTwH,spotify:track:4V5Hap0FGupSWoz67VWTwH,https://api.spotify.com/v1/tracks/4V5Hap0FGupSWoz67VWTwH,https://api.spotify.com/v1/audio-analysis/4V5Hap0FGupSWoz67VWTwH,360467,3
0.633,0.789,1,-10.482,1,0.038,0.00554,0.808,0.107,0.228,123.233,audio_features,60nOSJvQcCm11cj6bWX561,spotify:track:60nOSJvQcCm11cj6bWX561,https://api.spotify.com/v1/tracks/60nOSJvQcCm11cj6bWX561,https://api.spotify.com/v1/audio-analysis/60nOSJvQcCm11cj6bWX561,300853,4
0.814,0.814,0,-8.219,1,0.156,0.0246,0.0,0.189,0.837,123.274,audio_features,51GEHfWZuwIg5XHY50XSyS,spotify:track:51GEHfWZuwIg5XHY50XSyS,https://api.spotify.com/v1/tracks/51GEHfWZuwIg5XHY50XSyS,https://api.spotify.com/v1/audio-analysis/51GEHfWZuwIg5XHY50XSyS,297168,4
0.549,0.609,10,-15.151,0,0.262,0.0148,0.124,0.269,0.961,121.815,audio_features,0qD3sHqLrmKDcRX3MKvsFX,spotify:track:0qD3sHqLrmKDcRX3MKvsFX,https://api.spotify.com/v1/tracks/0qD3sHqLrmKDcRX3MKvsFX,https://api.spotify.com/v1/audio-analysis/0qD3sHqLrmKDcRX3MKvsFX,413000,4
0.742,0.95,8,-7.877,0,0.109,0.000723,0.851,0.0843,0.978,114.908,audio_features,6yeq9TXrOcczL1ryPHkbFF,spotify:track:6yeq9TXrOcczL1ryPHkbFF,https://api.spotify.com/v1/tracks/6yeq9TXrOcczL1ryPHkbFF,https://api.spotify.com/v1/audio-analysis/6yeq9TXrOcczL1ryPHkbFF,313267,4
0.684,0.968,5,-7.936,0,0.0431,0.000643,0.911,0.119,0.966,124.722,audio_features,5Oe5EZOuQvbxT05KQzb3RS,spotify:track:5Oe5EZOuQvbxT05KQzb3RS,https://api.spotify.com/v1/tracks/5Oe5EZOuQvbxT05KQzb3RS,https://api.spotify.com/v1/audio-analysis/5Oe5EZOuQvbxT05KQzb3RS,300173,4
