danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,audio_features,503OTo2dSqe7qk76rgsbep,spotify:track:503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587,4
0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,audio_features,7FwBtcecmlpc1sLySPXeGE,spotify:track:7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/tracks/7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/audio-analysis/7FwBtcecmlpc1sLySPXeGE,241307,4
0.235,0.246,11,-20.041,0,0.0415,0.774,0.94,0.0922,0.0315,178.47,audio_features,2N76APK48NUmuOCZVrEmUy,spotify:track:2N76APK48NUmuOCZVrEmUy,https://api.spotify.com/v1/tracks/2N76APK48NUmuOCZVrEmUy,https://api.spotify.com/v1/audio-analysis/2N76APK48NUmuOCZVrEmUy,373333,3
0.745,0.389,10,-15.983,1,0.0392,0.641,0.00311,0.0997,0.778,94.515,audio_features,7A2lr0HB8A2QXZdB3AonvH,spotify:track:7A2lr0HB8A2QXZdB3AonvH,https://api.spotify.com/v1/tracks/7A2lr0HB8A2QXZdB3AonvH,https://api.spotify.com/v1/audio-analysis/7A2lr0HB8A2QXZdB3AonvH,246227,4
0.777,0.736,0,-10.082,1,0.037,0.00755,0.0136,0.302,0.835,116.375,audio_features,5f22DmcDGpsaG5RbUzVRow,spotify:track:5f22DmcDGpsaG5RbUzVRow,https://api.spotify.com/v1/tracks/5f22DmcDGpsaG5RbUzVRow,https://api.spotify.com/v1/audio-analysis/5f22DmcDGpsaG5RbUzVRow,481813,4
0.794,0.757,6,-6.644,0,0.123,0.0267,0.000306,0.0621,0.615,107.99,audio_features,41SwdQIX8Hy2u6fuEDgvWr,spotify:track:41SwdQIX8Hy2u6fuEDgvWr,https://api.spotify.com/v1/tracks/41SwdQIX8Hy2u6fuEDgvWr,https://api.spotify.com/v1/audio-analysis/41SwdQIX8Hy2u6fuEDgvWr,186680,4
0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,audio_features,5FVd6KXrgO9B3JPmC8OPst,spotify:track:5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/tracks/5FVd6KXrgO9B3JPmC8OPst,https://api.spotify.com/v1/audio-analysis/5FVd6KXrgO9B3JPmC8OPst,272394,4
0.891,0.428,2,-8.766,0,0.0598,0.0316,0.0373,0.0974,0.322,143.987,audio_features,5BMg8D9Wl4yvPqzTq7rWRC,spotify:track:5BMg8D9Wl4yvPqzTq7rWRC,https://api.spotify.com/v1/tracks/5BMg8D9Wl4yvPqzTq7rWRC,https://api.spotify.com/v1/audio-analysis/5BMg8D9Wl4yvPqzTq7rWRC,181500,4
0.691,0.82,11,-5.077,0,0.0915,0.0956,0.00025,0.108,0.707,108.074,audio_features,7HxWZggiHyGWT9ZSmWzcxu,spotify:track:7HxWZggiHyGWT9ZSmWzcxu,https://api.spotify.com/v1/tracks/7HxWZggiHyGWT9ZSmWzcxu,https://api.spotify.com/v1/audio-analysis/7HxWZggiHyGWT9ZSmWzcxu,195704,4
0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,audio_features,0bRXwKfigvpKZUurwqAlEh,spotify:track:0bRXwKfigvpKZUurwqAlEh,https://api.spotify.com/v1/tracks/0bRXwKfigvpKZUurwqAlEh,https://api.spotify.com/v1/audio-analysis/0bRXwKfigvpKZUurwqAlEh,254560,4
0.525,0.943,0,-5.652,0,0.0631,0.0029,7.37e-05,0.0698,0.184,108.972,audio_features,3TBZsSXbRhHQZeZPGjboiS,spotify:track:3TBZsSXbRhHQZeZPGjboiS,https://api.spotify.com/v1/tracks/3TBZsSXbRhHQZeZPGjboiS,https://api.spotify.com/v1/audio-analysis/3TBZsSXbRhHQZeZPGjboiS,266500,4
0.425,0.638,1,-3.184,0,0.0759,0.426,0.0,0.177,0.45,81.396,audio_features,3590AAEoqH50z4UmhMIY85,spotify:track:3590AAEoqH50z4UmhMIY85,https://api.spotify.com/v1/tracks/3590AAEoqH50z4UmhMIY85,https://api.spotify.com/v1/audio-analysis/3590AAEoqH50z4UmhMIY85,230667,4
0.877,0.422,10,-14.933,0,0.0546,0.04,0.000406,0.182,0.97,131.103,audio_features,5EAgXGJ8Kw5QAfhQkZXYqT,spotify:track:5EAgXGJ8Kw5QAfhQkZXYqT,https://api.spotify.com/v1/tracks/5EAgXGJ8Kw5QAfhQkZXYqT,https://api.spotify.com/v1/audio-analysis/5EAgXGJ8Kw5QAfhQkZXYqT,307933,4
0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,audio_features,4JiEyzf0Md7KEFFGWDDdCr,spotify:track:4JiEyzf0Md7KEFFGWDDdCr,https://api.spotify.com/v1/tracks/4JiEyzf0Md7KEFFGWDDdCr,https://api.spotify.com/v1/audio-analysis/4JiEyzf0Md7KEFFGWDDdCr,336000,4
0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,audio_features,5p3JunprHCxClJjOmcLV8G,spotify:track:5p3JunprHCxClJjOmcLV8G,https://api.spotify.com/v1/tracks/5p3JunprHCxClJjOmcLV8G,https://api.spotify.com/v1/audio-analysis/5p3JunprHCxClJjOmcLV8G,254173,4
