danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,audio_features,1kPBT8S2wJFNAyBMnGVZgL,spotify:track:1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/tracks/1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/audio-analysis/1kPBT8S2wJFNAyBMnGVZgL,156653,3
0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,audio_features,1qDrWA6lyx8cLECdZE7TV7,spotify:track:1qDrWA6lyx8cLECdZE7TV7,https://api.spotify.com/v1/tracks/1qDrWA6lyx8cLECdZE7TV7,https://api.spotify.com/v1/audio-analysis/1qDrWA6lyx8cLECdZE7TV7,244885,4
0.332,0.214,4,-12.518,1,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,audio_features,4eHbdreAnSOrDDsFfc4Fpm,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/tracks/4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/audio-analysis/4eHbdreAnSOrDDsFfc4Fpm,271093,4
0.511,0.346,5,-14.28,1,0.0388,0.685,0.000124,0.294,0.599,140.29,audio_features,3QgSJ9CqgLPk9B4xLdwLrS,spotify:track:3QgSJ9CqgLPk9B4xLdwLrS,https://api.spotify.com/v1/tracks/3QgSJ9CqgLPk9B4xLdwLrS,https://api.spotify.com/v1/audio-analysis/3QgSJ9CqgLPk9B4xLdwLrS,264267,4
0.34,0.402,11,-12.943,1,0.0743,0.855,0.00939,0.945,0.57,94.506,audio_features,7GzisMgxLZgCi0Ed3yTw9y,spotify:track:7GzisMgxLZgCi0Ed3yTw9y,https://api.spotify.com/v1/tracks/7GzisMgxLZgCi0Ed3yTw9y,https://api.spotify.com/v1/audio-analysis/7GzisMgxLZgCi0Ed3yTw9y,424227,4
0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,audio_features,3bNv3VuUOKgrf5hu3YcuRo,spotify:track:3bNv3VuUOKgrf5hu3YcuRo,https://api.spotify.com/v1/tracks/3bNv3VuUOKgrf5hu3YcuRo,https://api.spotify.com/v1/audio-analysis/3bNv3VuUOKgrf5hu3YcuRo,285240,4
0.403,0.422,7,-13.964,0,0.0373,0.134,2.05e-05,0.0861,0.378,122.728,audio_features,3FAclTFfvUuQYnEsptbK8w,spotify:track:3FAclTFfvUuQYnEsptbK8w,https://api.spotify.com/v1/tracks/3FAclTFfvUuQYnEsptbK8w,https://api.spotify.com/v1/audio-analysis/3FAclTFfvUuQYnEsptbK8w,241293,4
0.502,0.333,7,-10.914,1,0.0264,0.699,0.0,0.222,0.729,96.982,audio_features,6QyQmdvQ1ywNccYa0pwLNQ,spotify:track:6QyQmdvQ1ywNccYa0pwLNQ,https://api.spotify.com/v1/tracks/6QyQmdvQ1ywNccYa0pwLNQ,https://api.spotify.com/v1/audio-analysis/6QyQmdvQ1ywNccYa0pwLNQ,174360,4
0.593,0.619,3,-9.003,0,0.0976,0.118,0.0,0.484,0.668,80.02,audio_features,2VjXGuPVVxyhMgER3Uz2Fe,spotify:track:2VjXGuPVVxyhMgER3Uz2Fe,https://api.spotify.com/v1/tracks/2VjXGuPVVxyhMgER3Uz2Fe,https://api.spotify.com/v1/audio-analysis/2VjXGuPVVxyhMgER3Uz2Fe,326533,4
0.665,0.834,4,-7.737,1,0.0576,0.21,0.0,0.452,0.411,105.292,audio_features,3jS7bB0oXVOwGFZn3aE5NV,spotify:track:3jS7bB0oXVOwGFZn3aE5NV,https://api.spotify.com/v1/tracks/3jS7bB0oXVOwGFZn3aE5NV,https://api.spotify.com/v1/audio-analysis/3jS7bB0oXVOwGFZn3aE5NV,249493,4
