danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.511,0.574,5,-7.016,1,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,audio_features,3nvuPQTw2zuFAVuLsC9IYQ,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,https://api.spotify.com/v1/tracks/3nvuPQTw2zuFAVuLsC9IYQ,https://api.spotify.com/v1/audio-analysis/3nvuPQTw2zuFAVuLsC9IYQ,280040,4
0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,audio_features,28cnXtME493VX9NOw9cIUh,spotify:track:28cnXtME493VX9NOw9cIUh,https://api.spotify.com/v1/tracks/28cnXtME493VX9NOw9cIUh,https://api.spotify.com/v1/audio-analysis/28cnXtME493VX9NOw9cIUh,216533,4
0.596,0.885,2,-5.906,1,0.0345,2.94e-05,0.56,0.179,0.707,102.385,audio_features,2YawqESvdpHBZoafDP6i6U,spotify:track:2YawqESvdpHBZoafDP6i6U,https://api.spotify.com/v1/tracks/2YawqESvdpHBZoafDP6i6U,https://api.spotify.com/v1/audio-analysis/2YawqESvdpHBZoafDP6i6U,269223,4
0.615,0.419,11,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,audio_features,67Hna13dNDkZvBpTXRIaOJ,spotify:track:67Hna13dNDkZvBpTXRIaOJ,https://api.spotify.com/v1/tracks/67Hna13dNDkZvBpTXRIaOJ,https://api.spotify.com/v1/audio-analysis/67Hna13dNDkZvBpTXRIaOJ,330773,4
0.407,0.424,0,-10.583,1,0.0318,0.0847,0.0,0.234,0.404,113.311,audio_features,3M2bD9SMYnJIPdrTKUnBd3,spotify:track:3M2bD9SMYnJIPdrTKUnBd3,https://api.spotify.com/v1/tracks/3M2bD9SMYnJIPdrTKUnBd3,https://api.spotify.com/v1/audio-analysis/3M2bD9SMYnJIPdrTKUnBd3,349187,3
0.419,0.208,7,-14.751,1,0.0339,0.722,0.0318,0.108,0.108,148.07,audio_features,0SaRvx9eYudSCQYNjuCQKX,spotify:track:0SaRvx9eYudSCQYNjuCQKX,https://api.spotify.com/v1/tracks/0SaRvx9eYudSCQYNjuCQKX,https://api.spotify.com/v1/audio-analysis/0SaRvx9eYudSCQYNjuCQKX,208267,3
0.439,0.488,11,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017,audio_features,76TZCvJ8GitQ2FA1q5dKu0,spotify:track:76TZCvJ8GitQ2FA1q5dKu0,https://api.spotify.com/v1/tracks/76TZCvJ8GitQ2FA1q5dKu0,https://api.spotify.com/v1/audio-analysis/76TZCvJ8GitQ2FA1q5dKu0,308520,4
0.852,0.666,11,-6.923,0,0.184,0.135,0.0,0.798,0.726,91.046,audio_features,0AtP8EkGPn6SwxKDaUuXec,spotify:track:0AtP8EkGPn6SwxKDaUuXec,https://api.spotify.com/v1/tracks/0AtP8EkGPn6SwxKDaUuXec,https://api.spotify.com/v1/audio-analysis/0AtP8EkGPn6SwxKDaUuXec,207760,4
0.302,0.275,5,-12.81,1,0.0317,0.799,6.52e-06,0.172,0.328,134.698,audio_features,71vyz1pfzmj1MQvJYOsPlb,spotify:track:71vyz1pfzmj1MQvJYOsPlb,https://api.spotify.com/v1/tracks/71vyz1pfzmj1MQvJYOsPlb,https://api.spotify.com/v1/audio-analysis/71vyz1pfzmj1MQvJYOsPlb,398693,4
0.916,0.476,7,-8.852,1,0.321,0.115,2.13e-05,0.0992,0.545,103.997,audio_features,4wvnXoQqjIOoEis5eyTbCl,spotify:track:4wvnXoQqjIOoEis5eyTbCl,https://api.spotify.com/v1/tracks/4wvnXoQqjIOoEis5eyTbCl,https://api.spotify.com/v1/audio-analysis/4wvnXoQqjIOoEis5eyTbCl,204373,4
