danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.814,0.377,2,-18.718,0,0.0407,0.00106,0.711,0.128,0.59,120.007,audio_features,51l7PA4wcyQMEJeuanHrbf,spotify:track:51l7PA4wcyQMEJeuanHrbf,https://api.spotify.com/v1/tracks/51l7PA4wcyQMEJeuanHrbf,https://api.spotify.com/v1/audio-analysis/51l7PA4wcyQMEJeuanHrbf,320500,4
0.683,0.488,9,-11.309,0,0.0321,0.00735,0.866,0.123,0.113,110.993,audio_features,61r7nhS0hlGJeQXDHy58pL,spotify:track:61r7nhS0hlGJeQXDHy58pL,https://api.spotify.com/v1/tracks/61r7nhS0hlGJeQXDHy58pL,https://api.spotify.com/v1/audio-analysis/61r7nhS0hlGJeQXDHy58pL,368586,4
0.747,0.67,9,-12.706,0,0.0412,0.0925,0.616,0.0866,0.188,112.031,audio_features,7f1eD0myp4ntwnVLA5jmIU,spotify:track:7f1eD0myp4ntwnVLA5jmIU,https://api.spotify.com/v1/tracks/7f1eD0myp4ntwnVLA5jmIU,https://api.spotify.com/v1/audio-analysis/7f1eD0myp4ntwnVLA5jmIU,448480,4
0.785,0.52,1,-10.747,1,0.046,0.125,0.105,0.11,0.128,120.015,audio_features,5IgoF2ep6PLLBW29V5Roue,spotify:track:5IgoF2ep6PLLBW29V5Roue,https://api.spotify.com/v1/tracks/5IgoF2ep6PLLBW29V5Roue,https://api.spotify.com/v1/audio-analysis/5IgoF2ep6PLLBW29V5Roue,287969,4
0.694,0.874,1,-8.164,0,0.035,0.0331,0.866,0.108,0.0742,124.004,audio_features,7nA4uczx7vIhEDoBCUBnT0,spotify:track:7nA4uczx7vIhEDoBCUBnT0,https://api.spotify.com/v1/tracks/7nA4uczx7vIhEDoBCUBnT0,https://api.spotify.com/v1/audio-analysis/7nA4uczx7vIhEDoBCUBnT0,220524,4
0.748,0.808,11,-10.563,1,0.0666,0.0235,0.848,0.397,0.17,100.015,audio_features,0dToBfE0aBXSWOUsWUFhYN,spotify:track:0dToBfE0aBXSWOUsWUFhYN,https://api.spotify.com/v1/tracks/0dToBfE0aBXSWOUsWUFhYN,https://api.spotify.com/v1/audio-analysis/0dToBfE0aBXSWOUsWUFhYN,268251,4
0.831,0.823,2,-8.193,1,0.0571,0.0295,0.773,0.0838,0.495,109.977,audio_features,3ov4vgaxgFhSJwejMCpZUY,spotify:track:3ov4vgaxgFhSJwejMCpZUY,https://api.spotify.com/v1/tracks/3ov4vgaxgFhSJwejMCpZUY,https://api.spotify.com/v1/audio-analysis/3ov4vgaxgFhSJwejMCpZUY,390371,4
0.739,0.646,1,-10.847,1,0.0497,0.00502,0.83,0.108,0.0739,108.014,audio_features,2H3YKzC8C18Iz2iq5VhgL3,spotify:track:2H3YKzC8C18Iz2iq5VhgL3,https://api.spotify.com/v1/tracks/2H3YKzC8C18Iz2iq5VhgL3,https://api.spotify.com/v1/audio-analysis/2H3YKzC8C18Iz2iq5VhgL3,364544,4
0.673,0.711,4,-10.09,0,0.0576,0.0105,0.514,0.219,0.0722,130.964,audio_features,4wDxRdyO9zXTDHwRQFUVVM,spotify:track:4wDxRdyO9zXTDHwRQFUVVM,https://api.spotify.com/v1/tracks/4wDxRdyO9zXTDHwRQFUVVM,https://api.spotify.com/v1/audio-analysis/4wDxRdyO9zXTDHwRQFUVVM,405734,4
0.802,0.808,7,-9.75,1,0.059,0.000671,0.892,0.0981,0.0382,121.006,audio_features,5YxzZmFlp26X55pdTmiPFa,spotify:track:5YxzZmFlp26X55pdTmiPFa,https://api.spotify.com/v1/tracks/5YxzZmFlp26X55pdTmiPFa,https://api.spotify.com/v1/audio-analysis/5YxzZmFlp26X55pdTmiPFa,353051,4
