danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.543,0.767,11,-8.346,0,0.117,0.0353,0.0326,0.0895,0.812,167.734,audio_features,70mhhyvvy8q86cr2qIAmWj,spotify:track:70mhhyvvy8q86cr2qIAmWj,https://api.spotify.com/v1/tracks/70mhhyvvy8q86cr2qIAmWj,https://api.spotify.com/v1/audio-analysis/70mhhyvvy8q86cr2qIAmWj,170667,4
0.309,0.813,10,-7.744,0,0.131,0.000506,0.735,0.114,0.662,85.095,audio_features,2WEw8oFZiANQzWdGElO3Mf,spotify:track:2WEw8oFZiANQzWdGElO3Mf,https://api.spotify.com/v1/tracks/2WEw8oFZiANQzWdGElO3Mf,https://api.spotify.com/v1/audio-analysis/2WEw8oFZiANQzWdGElO3Mf,209760,4
0.387,0.732,9,-9.167,1,0.0591,0.0007,0.814,0.126,0.129,145.293,audio_features,74BIp1TJD5FFWgwE05e9So,spotify:track:74BIp1TJD5FFWgwE05e9So,https://api.spotify.com/v1/tracks/74BIp1TJD5FFWgwE05e9So,https://api.spotify.com/v1/audio-analysis/74BIp1TJD5FFWgwE05e9So,232440,4
0.314,0.654,2,-7.705,1,0.0457,0.00125,0.876,0.0826,0.313,79.284,audio_features,1mFEg96v1DYOYTfXcDVpd1,spotify:track:1mFEg96v1DYOYTfXcDVpd1,https://api.spotify.com/v1/tracks/1mFEg96v1DYOYTfXcDVpd1,https://api.spotify.com/v1/audio-analysis/1mFEg96v1DYOYTfXcDVpd1,287213,4
0.411,0.879,7,-6.302,1,0.0468,0.00487,0.0446,0.104,0.499,153.31,audio_features,69aXQyUnUC0BWgATlSWNB2,spotify:track:69aXQyUnUC0BWgATlSWNB2,https://api.spotify.com/v1/tracks/69aXQyUnUC0BWgATlSWNB2,https://api.spotify.com/v1/audio-analysis/69aXQyUnUC0BWgATlSWNB2,217200,4
0.565,0.467,6,-10.078,1,0.0303,0.165,0.284,0.0808,0.426,120.17,audio_features,0NBgmP6Yg5xZYsnIZ0pGdo,spotify:track:0NBgmP6Yg5xZYsnIZ0pGdo,https://api.spotify.com/v1/tracks/0NBgmP6Yg5xZYsnIZ0pGdo,https://api.spotify.com/v1/audio-analysis/0NBgmP6Yg5xZYsnIZ0pGdo,250413,4
0.434,0.936,5,-6.229,1,0.0865,0.0153,0.814,0.162,0.527,116.191,audio_features,5tIKR7hREMVBCLHLz0xvsQ,spotify:track:5tIKR7hREMVBCLHLz0xvsQ,https://api.spotify.com/v1/tracks/5tIKR7hREMVBCLHLz0xvsQ,https://api.spotify.com/v1/audio-analysis/5tIKR7hREMVBCLHLz0xvsQ,295506,4
0.769,0.656,9,-9.682,0,0.0972,0.00657,0.672,0.202,0.697,141.596,audio_features,7MK2c7qnXEUOl0lVFWEckq,spotify:track:7MK2c7qnXEUOl0lVFWEckq,https://api.spotify.com/v1/tracks/7MK2c7qnXEUOl0lVFWEckq,https://api.spotify.com/v1/audio-analysis/7MK2c7qnXEUOl0lVFWEckq,294573,4
0.443,0.956,2,-6.198,1,0.0511,5.24e-05,0.825,0.135,0.909,146.754,audio_features,2JO3HwMRPeya8bXbtbyPcf,spotify:track:2JO3HwMRPeya8bXbtbyPcf,https://api.spotify.com/v1/tracks/2JO3HwMRPeya8bXbtbyPcf,https://api.spotify.com/v1/audio-analysis/2JO3HwMRPeya8bXbtbyPcf,206867,4
0.616,0.911,2,-7.241,1,0.0647,0.00527,0.0878,0.148,0.727,156.161,audio_features,1zHGxRrFtetIYRmUoO1pxR,spotify:track:1zHGxRrFtetIYRmUoO1pxR,https://api.spotify.com/v1/tracks/1zHGxRrFtetIYRmUoO1pxR,https://api.spotify.com/v1/audio-analysis/1zHGxRrFtetIYRmUoO1pxR,208186,4
0.365,0.902,7,-6.895,1,0.0565,0.00321,0.382,0.0938,0.625,130.67,audio_features,378fXXEPNQkx27VOC0YI3x,spotify:track:378fXXEPNQkx27VOC0YI3x,https://api.spotify.com/v1/tracks/378fXXEPNQkx27VOC0YI3x,https://api.spotify.com/v1/audio-analysis/378fXXEPNQkx27VOC0YI3x,268120,4
0.616,0.674,0,-8.096,1,0.0294,0.0566,0.513,0.0757,0.736,149.809,audio_features,4fokGJSBrxFIvt01vz1Fbe,spotify:track:4fokGJSBrxFIvt01vz1Fbe,https://api.spotify.com/v1/tracks/4fokGJSBrxFIvt01vz1Fbe,https://api.spotify.com/v1/audio-analysis/4fokGJSBrxFIvt01vz1Fbe,350413,4
0.4,0.972,2,-6.175,1,0.0653,2.62e-05,0.792,0.0765,0.631,142.305,audio_features,1FQPnyeJkvryJka9RUXUn2,spotify:track:1FQPnyeJkvryJka9RUXUn2,https://api.spotify.com/v1/tracks/1FQPnyeJkvryJka9RUXUn2,https://api.spotify.com/v1/audio-analysis/1FQPnyeJkvryJka9RUXUn2,173013,4
0.542,0.845,0,-5.352,1,0.0712,0.0363,0.021,0.0803,0.714,151.566,audio_features,7EEkRkaPwOJDoMWWjUA2C7,spotify:track:7EEkRkaPwOJDoMWWjUA2C7,https://api.spotify.com/v1/tracks/7EEkRkaPwOJDoMWWjUA2C7,https://api.spotify.com/v1/audio-analysis/7EEkRkaPwOJDoMWWjUA2C7,173160,4
0.415,0.853,7,-11.098,1,0.038,0.0107,0.000499,0.536,0.302,148.494,audio_features,5Ng6UbryNd3eds2zQk9MUf,spotify:track:5Ng6UbryNd3eds2zQk9MUf,https://api.spotify.com/v1/tracks/5Ng6UbryNd3eds2zQk9MUf,https://api.spotify.com/v1/audio-analysis/5Ng6UbryNd3eds2zQk9MUf,197013,4
0.488,0.894,11,-7.943,0,0.054,0.175,0.0173,0.0792,0.795,172.19,audio_features,01V0Tau0s8AQkUm6ae1rEF,spotify:track:01V0Tau0s8AQkUm6ae1rEF,https://api.spotify.com/v1/tracks/01V0Tau0s8AQkUm6ae1rEF,https://api.spotify.com/v1/audio-analysis/01V0Tau0s8AQkUm6ae1rEF,253920,4
0.429,0.852,4,-7.666,0,0.0467,0.00144,0.0132,0.659,0.384,128.486,audio_features,2o1Deu2r99ZkkQwQ27LnZd,spotify:track:2o1Deu2r99ZkkQwQ27LnZd,https://api.spotify.com/v1/tracks/2o1Deu2r99ZkkQwQ27LnZd,https://api.spotify.com/v1/audio-analysis/2o1Deu2r99ZkkQwQ27LnZd,185947,4
0.223,0.91,7,-7.097,1,0.0801,0.0118,0.000518,0.212,0.364,171.766,audio_features,3lM9UdOYvDIs5PSY8aBEl2,spotify:track:3lM9UdOYvDIs5PSY8aBEl2,https://api.spotify.com/v1/tracks/3lM9UdOYvDIs5PSY8aBEl2,https://api.spotify.com/v1/audio-analysis/3lM9UdOYvDIs5PSY8aBEl2,221467,4
0.461,0.836,7,-6.518,1,0.035,0.407,3.31e-05,0.414,0.27,95.84,audio_features,1gnZ2VCdVUHSgiBKrzdeK8,spotify:track:1gnZ2VCdVUHSgiBKrzdeK8,https://api.spotify.com/v1/tracks/1gnZ2VCdVUHSgiBKrzdeK8,https://api.spotify.com/v1/audio-analysis/1gnZ2VCdVUHSgiBKrzdeK8,334667,4
