danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.283,0.716,1,-9.632,0,0.0986,0.447,0.0,0.399,0.828,201.96,audio_features,3Um9toULmYFGCpvaIPFw7l,spotify:track:3Um9toULmYFGCpvaIPFw7l,https://api.spotify.com/v1/tracks/3Um9toULmYFGCpvaIPFw7l,https://api.spotify.com/v1/audio-analysis/3Um9toULmYFGCpvaIPFw7l,233000,4
0.461,0.672,5,-10.699,0,0.0401,0.565,0.313,0.239,0.701,97.651,audio_features,4ihykcy9d9SSC5qxHIhPcf,spotify:track:4ihykcy9d9SSC5qxHIhPcf,https://api.spotify.com/v1/tracks/4ihykcy9d9SSC5qxHIhPcf,https://api.spotify.com/v1/audio-analysis/4ihykcy9d9SSC5qxHIhPcf,163680,4
0.383,0.417,7,-12.155,0,0.0316,0.83,0.00154,0.2,0.584,109.319,audio_features,0ycb2zVgjpzJU6PSXZGn34,spotify:track:0ycb2zVgjpzJU6PSXZGn34,https://api.spotify.com/v1/tracks/0ycb2zVgjpzJU6PSXZGn34,https://api.spotify.com/v1/audio-analysis/0ycb2zVgjpzJU6PSXZGn34,229573,4
0.306,0.574,9,-10.632,0,0.0426,0.694,0.000112,0.713,0.537,106.342,audio_features,1RpoUhwpD8ZtpJhq41EU9k,spotify:track:1RpoUhwpD8ZtpJhq41EU9k,https://api.spotify.com/v1/tracks/1RpoUhwpD8ZtpJhq41EU9k,https://api.spotify.com/v1/audio-analysis/1RpoUhwpD8ZtpJhq41EU9k,243040,3
0.551,0.815,0,-9.631,0,0.0681,0.763,0.0,0.729,0.789,99.092,audio_features,0osLiChas8MULX2V1Ak6Ji,spotify:track:0osLiChas8MULX2V1Ak6Ji,https://api.spotify.com/v1/tracks/0osLiChas8MULX2V1Ak6Ji,https://api.spotify.com/v1/audio-analysis/0osLiChas8MULX2V1Ak6Ji,101827,4
0.498,0.634,6,-12.16,0,0.0475,0.328,0.748,0.0962,0.515,93.161,audio_features,3IDc87lrpEHWFBASmgTgFV,spotify:track:3IDc87lrpEHWFBASmgTgFV,https://api.spotify.com/v1/tracks/3IDc87lrpEHWFBASmgTgFV,https://api.spotify.com/v1/audio-analysis/3IDc87lrpEHWFBASmgTgFV,193573,4
0.538,0.608,2,-11.069,0,0.0308,0.242,0.017,0.372,0.555,113.657,audio_features,3QSESroDjgnIp5dNGiBe6N,spotify:track:3QSESroDjgnIp5dNGiBe6N,https://api.spotify.com/v1/tracks/3QSESroDjgnIp5dNGiBe6N,https://api.spotify.com/v1/audio-analysis/3QSESroDjgnIp5dNGiBe6N,452360,4
0.235,0.255,0,-14.447,1,0.0353,0.267,1.2e-05,0.122,0.0966,71.93,audio_features,4KyyKvKDgVYiwoGJOa0xVd,spotify:track:4KyyKvKDgVYiwoGJOa0xVd,https://api.spotify.com/v1/tracks/4KyyKvKDgVYiwoGJOa0xVd,https://api.spotify.com/v1/audio-analysis/4KyyKvKDgVYiwoGJOa0xVd,187867,4
0.63,0.455,1,-13.667,1,0.0322,0.792,0.132,0.133,0.645,94.08,audio_features,5hReWjUHqPqkHi31G7izL4,spotify:track:5hReWjUHqPqkHi31G7izL4,https://api.spotify.com/v1/tracks/5hReWjUHqPqkHi31G7izL4,https://api.spotify.com/v1/audio-analysis/5hReWjUHqPqkHi31G7izL4,327707,4
0.756,0.397,7,-10.701,0,0.0522,0.57,0.0115,0.0542,0.507,101.985,audio_features,63xdwScd1Ai1GigAwQxE8y,spotify:track:63xdwScd1Ai1GigAwQxE8y,https://api.spotify.com/v1/tracks/63xdwScd1Ai1GigAwQxE8y,https://api.spotify.com/v1/audio-analysis/63xdwScd1Ai1GigAwQxE8y,199396,4
0.641,0.472,0,-7.666,1,0.0405,0.632,0.000622,0.141,0.474,143.477,audio_features,3eDmm6LfJCNGQUZSyevNya,spotify:track:3eDmm6LfJCNGQUZSyevNya,https://api.spotify.com/v1/tracks/3eDmm6LfJCNGQUZSyevNya,https://api.spotify.com/v1/audio-analysis/3eDmm6LfJCNGQUZSyevNya,210249,4
0.685,0.72,0,-6.3,1,0.0573,0.371,0.000708,0.0619,0.793,95.014,audio_features,1vQd35R9XQhmThJqwlLBTv,spotify:track:1vQd35R9XQhmThJqwlLBTv,https://api.spotify.com/v1/tracks/1vQd35R9XQhmThJqwlLBTv,https://api.spotify.com/v1/audio-analysis/1vQd35R9XQhmThJqwlLBTv,175929,4
0.574,0.563,0,-6.104,1,0.0469,0.402,0.00164,0.0826,0.818,138.362,audio_features,7FDx81jYxHRGR2rQ7yjdUP,spotify:track:7FDx81jYxHRGR2rQ7yjdUP,https://api.spotify.com/v1/tracks/7FDx81jYxHRGR2rQ7yjdUP,https://api.spotify.com/v1/audio-analysis/7FDx81jYxHRGR2rQ7yjdUP,222596,3
0.644,0.483,9,-6.2,1,0.0609,0.662,0.00545,0.134,0.468,75.856,audio_features,3VvXwiETzZ7nGRk11n1mTp,spotify:track:3VvXwiETzZ7nGRk11n1mTp,https://api.spotify.com/v1/tracks/3VvXwiETzZ7nGRk11n1mTp,https://api.spotify.com/v1/audio-analysis/3VvXwiETzZ7nGRk11n1mTp,198529,4
0.825,0.444,0,-6.01,1,0.0295,0.352,0.00337,0.293,0.905,94.973,audio_features,6aTTKGTp7E5QjjDdq1ZoOV,spotify:track:6aTTKGTp7E5QjjDdq1ZoOV,https://api.spotify.com/v1/tracks/6aTTKGTp7E5QjjDdq1ZoOV,https://api.spotify.com/v1/audio-analysis/6aTTKGTp7E5QjjDdq1ZoOV,220263,4
