danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.609,0.748,1,-9.304,1,0.029,0.00225,0.794,0.101,0.376,121.036,audio_features,7wYeW1L0s2iGi2gHcxGJ6e,spotify:track:7wYeW1L0s2iGi2gHcxGJ6e,https://api.spotify.com/v1/tracks/7wYeW1L0s2iGi2gHcxGJ6e,https://api.spotify.com/v1/audio-analysis/7wYeW1L0s2iGi2gHcxGJ6e,289603,4
0.722,0.875,10,-8.111,1,0.0367,0.0103,0.179,0.0906,0.172,127.988,audio_features,60XMrQr1Q54t9F7obw4cul,spotify:track:60XMrQr1Q54t9F7obw4cul,https://api.spotify.com/v1/tracks/60XMrQr1Q54t9F7obw4cul,https://api.spotify.com/v1/audio-analysis/60XMrQr1Q54t9F7obw4cul,307508,3
0.779,0.875,3,-9.0,0,0.0409,0.0124,0.831,0.059,0.66,127.992,audio_features,7DrL6BznPLDwKfUMcAovZy,spotify:track:7DrL6BznPLDwKfUMcAovZy,https://api.spotify.com/v1/tracks/7DrL6BznPLDwKfUMcAovZy,https://api.spotify.com/v1/audio-analysis/7DrL6BznPLDwKfUMcAovZy,333758,4
0.786,0.521,3,-8.624,0,0.0709,0.101,0.857,0.105,0.796,128.014,audio_features,4jqHbgEebLNhShdyVuVozW,spotify:track:4jqHbgEebLNhShdyVuVozW,https://api.spotify.com/v1/tracks/4jqHbgEebLNhShdyVuVozW,https://api.spotify.com/v1/audio-analysis/4jqHbgEebLNhShdyVuVozW,243758,4
0.616,0.637,6,-12.064,1,0.036,0.0607,0.318,0.11,0.0558,121.974,audio_features,6tGZ7nMTsCjyL5M8fdwMXJ,spotify:track:6tGZ7nMTsCjyL5M8fdwMXJ,https://api.spotify.com/v1/tracks/6tGZ7nMTsCjyL5M8fdwMXJ,https://api.spotify.com/v1/audio-analysis/6tGZ7nMTsCjyL5M8fdwMXJ,385574,4
0.791,0.69,1,-6.976,1,0.0631,0.405,0.836,0.102,0.593,125.008,audio_features,5pWzFeIDfvWV6TG9jLsYUp,spotify:track:5pWzFeIDfvWV6TG9jLsYUp,https://api.spotify.com/v1/tracks/5pWzFeIDfvWV6TG9jLsYUp,https://api.spotify.com/v1/audio-analysis/5pWzFeIDfvWV6TG9jLsYUp,233554,4
0.717,0.807,9,-8.038,0,0.0311,0.404,0.174,0.103,0.627,119.984,audio_features,5sS4svCxwZw2vPUJUdMw6z,spotify:track:5sS4svCxwZw2vPUJUdMw6z,https://api.spotify.com/v1/tracks/5sS4svCxwZw2vPUJUdMw6z,https://api.spotify.com/v1/audio-analysis/5sS4svCxwZw2vPUJUdMw6z,354365,4
0.639,0.456,4,-12.379,1,0.0307,0.107,0.46,0.111,0.321,122.982,audio_features,5BVrtxkfLKrhuBL38GcTJf,spotify:track:5BVrtxkfLKrhuBL38GcTJf,https://api.spotify.com/v1/tracks/5BVrtxkfLKrhuBL38GcTJf,https://api.spotify.com/v1/audio-analysis/5BVrtxkfLKrhuBL38GcTJf,382448,4
0.77,0.693,5,-8.934,0,0.0412,0.0987,0.742,0.121,0.461,125.011,audio_features,5DhcUBjJbFk2crXo2CgiKO,spotify:track:5DhcUBjJbFk2crXo2CgiKO,https://api.spotify.com/v1/tracks/5DhcUBjJbFk2crXo2CgiKO,https://api.spotify.com/v1/audio-analysis/5DhcUBjJbFk2crXo2CgiKO,329670,4
0.74,0.601,2,-9.393,0,0.032,0.00913,0.835,0.119,0.107,124.002,audio_features,3WQpRuY1P3W78Fbyr00Xo9,spotify:track:3WQpRuY1P3W78Fbyr00Xo9,https://api.spotify.com/v1/tracks/3WQpRuY1P3W78Fbyr00Xo9,https://api.spotify.com/v1/audio-analysis/3WQpRuY1P3W78Fbyr00Xo9,363889,4
