danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.829,0.839,1,-5.251,1,0.0443,0.0993,0.0201,0.0491,0.96,121.589,audio_features,0CUEc6T65lrU6rVW3HVYsl,spotify:track:0CUEc6T65lrU6rVW3HVYsl,https://api.spotify.com/v1/tracks/0CUEc6T65lrU6rVW3HVYsl,https://api.spotify.com/v1/audio-analysis/0CUEc6T65lrU6rVW3HVYsl,221093,4
0.879,0.626,7,-6.344,1,0.0604,0.205,6.07e-05,0.056,0.968,110.864,audio_features,4yKZACkuudvfd600H2dQie,spotify:track:4yKZACkuudvfd600H2dQie,https://api.spotify.com/v1/tracks/4yKZACkuudvfd600H2dQie,https://api.spotify.com/v1/audio-analysis/4yKZACkuudvfd600H2dQie,212907,4
0.846,0.49,11,-11.384,0,0.0333,0.013,0.051,0.031,0.926,117.733,audio_features,4nzDQbFM3LzBZomZ0BD85A,spotify:track:4nzDQbFM3LzBZomZ0BD85A,https://api.spotify.com/v1/tracks/4nzDQbFM3LzBZomZ0BD85A,https://api.spotify.com/v1/audio-analysis/4nzDQbFM3LzBZomZ0BD85A,228627,4
0.719,0.515,7,-11.168,0,0.113,0.362,1.95e-06,0.11,0.697,104.935,audio_features,1S3RMWe23mYX6h3fevsgDq,spotify:track:1S3RMWe23mYX6h3fevsgDq,https://api.spotify.com/v1/tracks/1S3RMWe23mYX6h3fevsgDq,https://api.spotify.com/v1/audio-analysis/1S3RMWe23mYX6h3fevsgDq,226827,4
0.749,0.712,1,-8.632,1,0.0384,0.33,0.0557,0.468,0.965,96.377,audio_features,58Omjh8UQKrup5Wu0itGfW,spotify:track:58Omjh8UQKrup5Wu0itGfW,https://api.spotify.com/v1/tracks/58Omjh8UQKrup5Wu0itGfW,https://api.spotify.com/v1/audio-analysis/58Omjh8UQKrup5Wu0itGfW,239293,4
0.929,0.474,11,-11.166,1,0.108,0.496,0.000298,0.0547,0.94,111.264,audio_features,7xHzUhuhDOJd9A6AvAPncb,spotify:track:7xHzUhuhDOJd9A6AvAPncb,https://api.spotify.com/v1/tracks/7xHzUhuhDOJd9A6AvAPncb,https://api.spotify.com/v1/audio-analysis/7xHzUhuhDOJd9A6AvAPncb,244507,4
0.737,0.913,5,-8.075,1,0.105,0.0627,0.0,0.42,0.655,107.571,audio_features,7M5YDvHq7WdxkoscdcoRLh,spotify:track:7M5YDvHq7WdxkoscdcoRLh,https://api.spotify.com/v1/tracks/7M5YDvHq7WdxkoscdcoRLh,https://api.spotify.com/v1/audio-analysis/7M5YDvHq7WdxkoscdcoRLh,183493,4
0.674,0.721,11,-8.495,1,0.151,0.225,3.48e-05,0.0445,0.923,111.815,audio_features,11Lt8PurPHYXmCYUJLUK7a,spotify:track:11Lt8PurPHYXmCYUJLUK7a,https://api.spotify.com/v1/tracks/11Lt8PurPHYXmCYUJLUK7a,https://api.spotify.com/v1/audio-analysis/11Lt8PurPHYXmCYUJLUK7a,208307,4
0.639,0.596,10,-8.145,0,0.0225,0.331,0.0,0.296,0.427,95.186,audio_features,7ktxXsACTciz3gAtuzd1uV,spotify:track:7ktxXsACTciz3gAtuzd1uV,https://api.spotify.com/v1/tracks/7ktxXsACTciz3gAtuzd1uV,https://api.spotify.com/v1/audio-analysis/7ktxXsACTciz3gAtuzd1uV,238933,4
0.726,0.955,11,-5.758,0,0.102,0.00352,0.0554,0.0817,0.584,101.745,audio_features,0ryDpC1LapJ7NU0a6XhsLF,spotify:track:0ryDpC1LapJ7NU0a6XhsLF,https://api.spotify.com/v1/tracks/0ryDpC1LapJ7NU0a6XhsLF,https://api.spotify.com/v1/audio-analysis/0ryDpC1LapJ7NU0a6XhsLF,181240,4
