danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.696,0.942,9,-5.232,1,0.13,0.214,0.0049,0.0518,0.481,117.541,audio_features,4SZhxF0sIS8nDvwhT0Tt2V,spotify:track:4SZhxF0sIS8nDvwhT0Tt2V,https://api.spotify.com/v1/tracks/4SZhxF0sIS8nDvwhT0Tt2V,https://api.spotify.com/v1/audio-analysis/4SZhxF0sIS8nDvwhT0Tt2V,176307,4
0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,audio_features,0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz,257800,4
0.654,0.336,6,-12.825,1,0.0379,0.858,0.385,0.0786,0.947,176.083,audio_features,19Shlms2uTnOjIUg50TXzd,spotify:track:19Shlms2uTnOjIUg50TXzd,https://api.spotify.com/v1/tracks/19Shlms2uTnOjIUg50TXzd,https://api.spotify.com/v1/audio-analysis/19Shlms2uTnOjIUg50TXzd,134400,4
0.672,0.72,9,-7.781,1,0.035,0.0373,9.38e-06,0.0371,0.828,118.731,audio_features,3CPeWqqaHR0hmyfsWhMJQs,spotify:track:3CPeWqqaHR0hmyfsWhMJQs,https://api.spotify.com/v1/tracks/3CPeWqqaHR0hmyfsWhMJQs,https://api.spotify.com/v1/audio-analysis/3CPeWqqaHR0hmyfsWhMJQs,193347,4
0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,audio_features,4xh7W7tlNMIczFhupCPniY,spotify:track:4xh7W7tlNMIczFhupCPniY,https://api.spotify.com/v1/tracks/4xh7W7tlNMIczFhupCPniY,https://api.spotify.com/v1/audio-analysis/4xh7W7tlNMIczFhupCPniY,223613,4
0.389,0.0851,5,-15.477,1,0.0346,0.982,0.00187,0.101,0.364,184.298,audio_features,6DrXZwTuhl5Ow4mcmSWjME,spotify:track:6DrXZwTuhl5Ow4mcmSWjME,https://api.spotify.com/v1/tracks/6DrXZwTuhl5Ow4mcmSWjME,https://api.spotify.com/v1/audio-analysis/6DrXZwTuhl5Ow4mcmSWjME,200813,4
0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,audio_features,5e9TFTbltYBg2xThimr0rU,spotify:track:5e9TFTbltYBg2xThimr0rU,https://api.spotify.com/v1/tracks/5e9TFTbltYBg2xThimr0rU,https://api.spotify.com/v1/audio-analysis/5e9TFTbltYBg2xThimr0rU,270213,4
0.62,0.604,7,-9.088,0,0.0261,0.0133,0.102,0.104,0.857,126.576,audio_features,55mQhobuwtY7lfLAXylg1k,spotify:track:55mQhobuwtY7lfLAXylg1k,https://api.spotify.com/v1/tracks/55mQhobuwtY7lfLAXylg1k,https://api.spotify.com/v1/audio-analysis/55mQhobuwtY7lfLAXylg1k,216627,4
0.722,0.697,11,-7.03,1,0.0278,0.0633,0.0103,0.0675,0.942,139.348,audio_features,3B1lK5gNppO22gQLozrxeA,spotify:track:3B1lK5gNppO22gQLozrxeA,https://api.spotify.com/v1/tracks/3B1lK5gNppO22gQLozrxeA,https://api.spotify.com/v1/audio-analysis/3B1lK5gNppO22gQLozrxeA,196853,4
0.585,0.338,2,-10.887,0,0.0335,0.505,0.000125,0.136,0.477,138.131,audio_features,2wmr2A1ixEx9qViaOMkkkW,spotify:track:2wmr2A1ixEx9qViaOMkkkW,https://api.spotify.com/v1/tracks/2wmr2A1ixEx9qViaOMkkkW,https://api.spotify.com/v1/audio-analysis/2wmr2A1ixEx9qViaOMkkkW,236240,4
0.666,0.599,7,-9.352,1,0.0305,0.259,0.000769,0.373,0.696,123.16,audio_features,2ssyECwAX5JxtcAUTFw7wI,spotify:track:2ssyECwAX5JxtcAUTFw7wI,https://api.spotify.com/v1/tracks/2ssyECwAX5JxtcAUTFw7wI,https://api.spotify.com/v1/audio-analysis/2ssyECwAX5JxtcAUTFw7wI,295627,4
0.348,0.576,0,-8.388,1,0.0289,0.00766,0.0462,0.276,0.428,179.014,audio_features,4nZi6XNe36Ut4Nij3IQ1yC,spotify:track:4nZi6XNe36Ut4Nij3IQ1yC,https://api.spotify.com/v1/tracks/4nZi6XNe36Ut4Nij3IQ1yC,https://api.spotify.com/v1/audio-analysis/4nZi6XNe36Ut4Nij3IQ1yC,288787,4
