danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.744,0.713,5,-8.059,0,0.0387,0.223,0.872,0.128,0.245,122.006,audio_features,0HoTj8CESKZYEtxzt2r1Ss,spotify:track:0HoTj8CESKZYEtxzt2r1Ss,https://api.spotify.com/v1/tracks/0HoTj8CESKZYEtxzt2r1Ss,https://api.spotify.com/v1/audio-analysis/0HoTj8CESKZYEtxzt2r1Ss,294470,4
0.797,0.782,1,-6.469,1,0.0308,0.0188,0.344,0.139,0.522,124.0,audio_features,5COxPQbNaVMsLEr3tuicvp,spotify:track:5COxPQbNaVMsLEr3tuicvp,https://api.spotify.com/v1/tracks/5COxPQbNaVMsLEr3tuicvp,https://api.spotify.com/v1/audio-analysis/5COxPQbNaVMsLEr3tuicvp,236101,4
0.597,0.963,11,-4.076,0,0.0377,0.0555,0.87,0.104,0.508,123.996,audio_features,2b5xmRxuDDygzLSSr9aZlO,spotify:track:2b5xmRxuDDygzLSSr9aZlO,https://api.spotify.com/v1/tracks/2b5xmRxuDDygzLSSr9aZlO,https://api.spotify.com/v1/audio-analysis/2b5xmRxuDDygzLSSr9aZlO,292361,4
0.669,0.884,6,-6.431,1,0.036,0.00619,0.821,0.0775,0.426,125.02,audio_features,0mogpLJRPJTCCdy5yV9qhl,spotify:track:0mogpLJRPJTCCdy5yV9qhl,https://api.spotify.com/v1/tracks/0mogpLJRPJTCCdy5yV9qhl,https://api.spotify.com/v1/audio-analysis/0mogpLJRPJTCCdy5yV9qhl,264698,4
0.485,0.7,10,-7.531,0,0.0366,0.253,0.00282,0.0983,0.299,121.979,audio_features,6m7aUlc02o3ucgT4XTCZiT,spotify:track:6m7aUlc02o3ucgT4XTCZiT,https://api.spotify.com/v1/tracks/6m7aUlc02o3ucgT4XTCZiT,https://api.spotify.com/v1/audio-analysis/6m7aUlc02o3ucgT4XTCZiT,274697,4
0.593,0.452,1,-17.98,1,0.0457,0.817,0.855,0.66,0.175,120.027,audio_features,4Om2YCCAQedz29TCRK2PwQ,spotify:track:4Om2YCCAQedz29TCRK2PwQ,https://api.spotify.com/v1/tracks/4Om2YCCAQedz29TCRK2PwQ,https://api.spotify.com/v1/audio-analysis/4Om2YCCAQedz29TCRK2PwQ,138403,4
0.78,0.911,10,-5.931,0,0.0449,0.0801,0.852,0.0359,0.505,121.996,audio_features,62wVX3kygCdOPPkdePi4pg,spotify:track:62wVX3kygCdOPPkdePi4pg,https://api.spotify.com/v1/tracks/62wVX3kygCdOPPkdePi4pg,https://api.spotify.com/v1/audio-analysis/62wVX3kygCdOPPkdePi4pg,247137,4
0.575,0.887,10,-8.089,0,0.0399,0.00162,0.551,0.0761,0.17,120.032,audio_features,0D2IiaFEahcFXFfDjt6Z64,spotify:track:0D2IiaFEahcFXFfDjt6Z64,https://api.spotify.com/v1/tracks/0D2IiaFEahcFXFfDjt6Z64,https://api.spotify.com/v1/audio-analysis/0D2IiaFEahcFXFfDjt6Z64,291864,4
0.658,0.749,1,-10.014,0,0.0352,0.109,0.867,0.0672,0.109,121.989,audio_features,7qK9QzWb1QJlrNB79Jmkqj,spotify:track:7qK9QzWb1QJlrNB79Jmkqj,https://api.spotify.com/v1/tracks/7qK9QzWb1QJlrNB79Jmkqj,https://api.spotify.com/v1/audio-analysis/7qK9QzWb1QJlrNB79Jmkqj,269112,4
0.362,0.757,7,-9.005,1,0.0403,0.0169,0.876,0.16,0.168,122.005,audio_features,4yT7E7tzc3h3W0M2Stwwpf,spotify:track:4yT7E7tzc3h3W0M2Stwwpf,https://api.spotify.com/v1/tracks/4yT7E7tzc3h3W0M2Stwwpf,https://api.spotify.com/v1/audio-analysis/4yT7E7tzc3h3W0M2Stwwpf,293100,3
0.687,0.644,3,-6.327,1,0.0395,0.298,0.836,0.0983,0.184,125.004,audio_features,0ZlacvDIHlKE1d6qzLjltK,spotify:track:0ZlacvDIHlKE1d6qzLjltK,https://api.spotify.com/v1/tracks/0ZlacvDIHlKE1d6qzLjltK,https://api.spotify.com/v1/audio-analysis/0ZlacvDIHlKE1d6qzLjltK,249985,4
0.258,0.229,9,-17.266,0,0.0365,0.702,0.918,0.112,0.0355,108.952,audio_features,1QIjboBJpiOXfmijVdG7Ng,spotify:track:1QIjboBJpiOXfmijVdG7Ng,https://api.spotify.com/v1/tracks/1QIjboBJpiOXfmijVdG7Ng,https://api.spotify.com/v1/audio-analysis/1QIjboBJpiOXfmijVdG7Ng,250917,4
0.721,0.631,3,-8.775,1,0.0451,0.277,0.902,0.0887,0.205,125.003,audio_features,38oN5tX2Mnf7SFAKcB9JAJ,spotify:track:38oN5tX2Mnf7SFAKcB9JAJ,https://api.spotify.com/v1/tracks/38oN5tX2Mnf7SFAKcB9JAJ,https://api.spotify.com/v1/audio-analysis/38oN5tX2Mnf7SFAKcB9JAJ,301167,4
0.802,0.916,10,-6.214,0,0.0471,0.0905,0.854,0.0258,0.532,122.007,audio_features,5MoOO5po21IAS06l84e2WT,spotify:track:5MoOO5po21IAS06l84e2WT,https://api.spotify.com/v1/tracks/5MoOO5po21IAS06l84e2WT,https://api.spotify.com/v1/audio-analysis/5MoOO5po21IAS06l84e2WT,277433,4
0.803,0.743,5,-6.404,0,0.0338,0.0164,0.308,0.0929,0.401,123.984,audio_features,1hS75jrAo7nkwZktlSm76y,spotify:track:1hS75jrAo7nkwZktlSm76y,https://api.spotify.com/v1/tracks/1hS75jrAo7nkwZktlSm76y,https://api.spotify.com/v1/audio-analysis/1hS75jrAo7nkwZktlSm76y,322562,4
0.421,0.797,5,-6.936,0,0.0596,0.714,0.919,0.662,0.0792,137.951,audio_features,4RVR0dVXcpIL3glnGvJUAp,spotify:track:4RVR0dVXcpIL3glnGvJUAp,https://api.spotify.com/v1/tracks/4RVR0dVXcpIL3glnGvJUAp,https://api.spotify.com/v1/audio-analysis/4RVR0dVXcpIL3glnGvJUAp,146000,4
0.753,0.94,6,-3.802,1,0.0542,0.00313,0.648,0.133,0.832,122.008,audio_features,4oLltCFliflOlf7o8dHEBK,spotify:track:4oLltCFliflOlf7o8dHEBK,https://api.spotify.com/v1/tracks/4oLltCFliflOlf7o8dHEBK,https://api.spotify.com/v1/audio-analysis/4oLltCFliflOlf7o8dHEBK,281085,4
0.771,0.947,5,-4.995,0,0.0374,0.0166,0.913,0.128,0.562,119.508,audio_features,7KORIh1TIkXZUCjtULei0f,spotify:track:7KORIh1TIkXZUCjtULei0f,https://api.spotify.com/v1/tracks/7KORIh1TIkXZUCjtULei0f,https://api.spotify.com/v1/audio-analysis/7KORIh1TIkXZUCjtULei0f,285504,4
0.805,0.879,6,-5.343,1,0.158,0.00248,1.45e-05,0.0771,0.712,116.992,audio_features,6qf4yXCDP2CrC4acG1BYjt,spotify:track:6qf4yXCDP2CrC4acG1BYjt,https://api.spotify.com/v1/tracks/6qf4yXCDP2CrC4acG1BYjt,https://api.spotify.com/v1/audio-analysis/6qf4yXCDP2CrC4acG1BYjt,207326,4
0.603,0.946,7,-5.929,1,0.0372,0.549,0.909,0.692,0.0503,113.951,audio_features,1Hqq3RC2I24FF7dBNJ6rqP,spotify:track:1Hqq3RC2I24FF7dBNJ6rqP,https://api.spotify.com/v1/tracks/1Hqq3RC2I24FF7dBNJ6rqP,https://api.spotify.com/v1/audio-analysis/1Hqq3RC2I24FF7dBNJ6rqP,186399,4
0.734,0.955,0,-3.584,0,0.0609,0.154,0.524,0.371,0.566,115.989,audio_features,7tObHzA6FGINzdK7AQwa8m,spotify:track:7tObHzA6FGINzdK7AQwa8m,https://api.spotify.com/v1/tracks/7tObHzA6FGINzdK7AQwa8m,https://api.spotify.com/v1/audio-analysis/7tObHzA6FGINzdK7AQwa8m,314989,4
0.797,0.988,1,-2.199,1,0.125,0.000229,0.824,0.0931,0.144,118.988,audio_features,3eKZPCg9Lz3Szwjs62iYxi,spotify:track:3eKZPCg9Lz3Szwjs62iYxi,https://api.spotify.com/v1/tracks/3eKZPCg9Lz3Szwjs62iYxi,https://api.spotify.com/v1/audio-analysis/3eKZPCg9Lz3Szwjs62iYxi,310183,4
0.939,0.945,6,-4.255,1,0.258,0.0819,0.797,0.141,0.157,125.106,audio_features,2x4Rn7jkj2O21HYgAG6OVO,spotify:track:2x4Rn7jkj2O21HYgAG6OVO,https://api.spotify.com/v1/tracks/2x4Rn7jkj2O21HYgAG6OVO,https://api.spotify.com/v1/audio-analysis/2x4Rn7jkj2O21HYgAG6OVO,340576,4
0.393,0.891,8,-8.55,1,0.0626,0.325,0.926,0.13,0.116,126.023,audio_features,4nwnLQVYrHxcnPkUm7uVLG,spotify:track:4nwnLQVYrHxcnPkUm7uVLG,https://api.spotify.com/v1/tracks/4nwnLQVYrHxcnPkUm7uVLG,https://api.spotify.com/v1/audio-analysis/4nwnLQVYrHxcnPkUm7uVLG,167772,4
0.762,0.972,7,-3.463,0,0.142,0.0162,0.669,0.361,0.623,117.023,audio_features,7uCfByxmBSuhy179culYbU,spotify:track:7uCfByxmBSuhy179culYbU,https://api.spotify.com/v1/tracks/7uCfByxmBSuhy179culYbU,https://api.spotify.com/v1/audio-analysis/7uCfByxmBSuhy179culYbU,219062,4
0.769,0.83,2,-8.324,0,0.0591,0.0145,0.905,0.0942,0.232,110.495,audio_features,7G22ue9StzioML9kiRaeIf,spotify:track:7G22ue9StzioML9kiRaeIf,https://api.spotify.com/v1/tracks/7G22ue9StzioML9kiRaeIf,https://api.spotify.com/v1/audio-analysis/7G22ue9StzioML9kiRaeIf,340229,3
0.344,0.693,6,-8.792,1,0.0455,0.458,0.958,0.288,0.0614,49.606,audio_features,0woHqqk0Ua5KjlEoQ7IcBL,spotify:track:0woHqqk0Ua5KjlEoQ7IcBL,https://api.spotify.com/v1/tracks/0woHqqk0Ua5KjlEoQ7IcBL,https://api.spotify.com/v1/audio-analysis/0woHqqk0Ua5KjlEoQ7IcBL,63395,3
0.394,0.905,0,-9.014,1,0.21,0.00175,0.752,0.25,0.374,81.746,audio_features,6PzoJbLfbl40UqxkRDJGRh,spotify:track:6PzoJbLfbl40UqxkRDJGRh,https://api.spotify.com/v1/tracks/6PzoJbLfbl40UqxkRDJGRh,https://api.spotify.com/v1/audio-analysis/6PzoJbLfbl40UqxkRDJGRh,302750,5
0.641,0.812,7,-9.436,1,0.0559,0.00187,0.853,0.171,0.125,139.974,audio_features,21cDTy1Wy51kaK7le0uRNr,spotify:track:21cDTy1Wy51kaK7le0uRNr,https://api.spotify.com/v1/tracks/21cDTy1Wy51kaK7le0uRNr,https://api.spotify.com/v1/audio-analysis/21cDTy1Wy51kaK7le0uRNr,301289,4
0.767,0.947,6,-9.951,0,0.0572,0.162,0.86,0.113,0.0906,137.978,audio_features,3RfAlMUpCiKvkby6TRWzSt,spotify:track:3RfAlMUpCiKvkby6TRWzSt,https://api.spotify.com/v1/tracks/3RfAlMUpCiKvkby6TRWzSt,https://api.spotify.com/v1/audio-analysis/3RfAlMUpCiKvkby6TRWzSt,480000,4
0.796,0.837,7,-8.808,1,0.0537,0.000521,0.879,0.0993,0.691,126.998,audio_features,33OwgQyEbS7RQHbFUYzsQa,spotify:track:33OwgQyEbS7RQHbFUYzsQa,https://api.spotify.com/v1/tracks/33OwgQyEbS7RQHbFUYzsQa,https://api.spotify.com/v1/audio-analysis/33OwgQyEbS7RQHbFUYzsQa,445984,4
0.685,0.642,8,-13.367,1,0.0462,0.189,0.755,0.117,0.658,131.979,audio_features,4oSLWhVuKfvCjxIBCQQLIF,spotify:track:4oSLWhVuKfvCjxIBCQQLIF,https://api.spotify.com/v1/tracks/4oSLWhVuKfvCjxIBCQQLIF,https://api.spotify.com/v1/audio-analysis/4oSLWhVuKfvCjxIBCQQLIF,293500,4
0.449,0.501,10,-13.766,1,0.0789,0.0611,6.48e-05,0.332,0.101,155.516,audio_features,2hStr3xoXqxFjVZBTg4a2c,spotify:track:2hStr3xoXqxFjVZBTg4a2c,https://api.spotify.com/v1/tracks/2hStr3xoXqxFjVZBTg4a2c,https://api.spotify.com/v1/audio-analysis/2hStr3xoXqxFjVZBTg4a2c,216151,4
0.808,0.527,4,-13.697,0,0.143,0.0115,0.911,0.113,0.256,119.991,audio_features,7K26UrsK350imlN3iBoOLE,spotify:track:7K26UrsK350imlN3iBoOLE,https://api.spotify.com/v1/tracks/7K26UrsK350imlN3iBoOLE,https://api.spotify.com/v1/audio-analysis/7K26UrsK350imlN3iBoOLE,196408,4
0.737,0.568,5,-13.626,0,0.0396,0.00142,0.803,0.097,0.455,127.617,audio_features,1mktkGAooebBXhEVeNeGsY,spotify:track:1mktkGAooebBXhEVeNeGsY,https://api.spotify.com/v1/tracks/1mktkGAooebBXhEVeNeGsY,https://api.spotify.com/v1/audio-analysis/1mktkGAooebBXhEVeNeGsY,513250,4
0.665,0.49,0,-14.208,1,0.0413,0.00765,0.0414,0.145,0.205,116.892,audio_features,0tEmQWHqvXLkwvGgUzUym3,spotify:track:0tEmQWHqvXLkwvGgUzUym3,https://api.spotify.com/v1/tracks/0tEmQWHqvXLkwvGgUzUym3,https://api.spotify.com/v1/audio-analysis/0tEmQWHqvXLkwvGgUzUym3,390437,4
0.569,0.58,1,-9.767,1,0.0792,0.00275,0.565,0.0699,0.292,125.025,audio_features,3hVXzLpUovw6zHUUjuKQyy,spotify:track:3hVXzLpUovw6zHUUjuKQyy,https://api.spotify.com/v1/tracks/3hVXzLpUovw6zHUUjuKQyy,https://api.spotify.com/v1/audio-analysis/3hVXzLpUovw6zHUUjuKQyy,342030,4
0.797,0.737,1,-6.944,1,0.0531,0.0344,0.759,0.197,0.8,130.015,audio_features,3Xq4IKHyDrXcuKhKicuud1,spotify:track:3Xq4IKHyDrXcuKhKicuud1,https://api.spotify.com/v1/tracks/3Xq4IKHyDrXcuKhKicuud1,https://api.spotify.com/v1/audio-analysis/3Xq4IKHyDrXcuKhKicuud1,330089,4
0.761,0.753,6,-8.673,0,0.0631,0.00509,0.767,0.121,0.388,133.955,audio_features,6P1jMcilHSx3GHpS7rmMIT,spotify:track:6P1jMcilHSx3GHpS7rmMIT,https://api.spotify.com/v1/tracks/6P1jMcilHSx3GHpS7rmMIT,https://api.spotify.com/v1/audio-analysis/6P1jMcilHSx3GHpS7rmMIT,355570,4
