danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.868,0.268,6,-16.397,1,0.331,0.783,0.0,0.443,0.758,96.369,audio_features,5mTnxQyVQlWPlfkZcThZz3,spotify:track:5mTnxQyVQlWPlfkZcThZz3,https://api.spotify.com/v1/tracks/5mTnxQyVQlWPlfkZcThZz3,https://api.spotify.com/v1/audio-analysis/5mTnxQyVQlWPlfkZcThZz3,69960,4
0.41,0.858,1,-5.295,0,0.0485,0.00347,0.0,0.0897,0.962,161.487,audio_features,1tF1J2fK1F9iQ8UUD1Iai5,spotify:track:1tF1J2fK1F9iQ8UUD1Iai5,https://api.spotify.com/v1/tracks/1tF1J2fK1F9iQ8UUD1Iai5,https://api.spotify.com/v1/audio-analysis/1tF1J2fK1F9iQ8UUD1Iai5,161560,4
0.252,0.886,9,-4.678,0,0.0714,2.93e-05,5.33e-06,0.256,0.498,161.939,audio_features,7GvkOFkNsM6Exnkyqeajqm,spotify:track:7GvkOFkNsM6Exnkyqeajqm,https://api.spotify.com/v1/tracks/7GvkOFkNsM6Exnkyqeajqm,https://api.spotify.com/v1/audio-analysis/7GvkOFkNsM6Exnkyqeajqm,210560,4
0.358,0.827,4,-5.921,1,0.0668,5.36e-05,0.0,0.248,0.545,150.713,audio_features,77ypIoaZoYhvZACf0cqPul,spotify:track:77ypIoaZoYhvZACf0cqPul,https://api.spotify.com/v1/tracks/77ypIoaZoYhvZACf0cqPul,https://api.spotify.com/v1/audio-analysis/77ypIoaZoYhvZACf0cqPul,186333,4
0.233,0.813,4,-7.467,1,0.0789,0.000492,1.5e-06,0.963,0.202,206.963,audio_features,654iibDwSHVwrh694nYeGL,spotify:track:654iibDwSHVwrh694nYeGL,https://api.spotify.com/v1/tracks/654iibDwSHVwrh694nYeGL,https://api.spotify.com/v1/audio-analysis/654iibDwSHVwrh694nYeGL,206613,3
0.258,0.895,3,-5.395,0,0.124,0.000116,0.0,0.0882,0.516,161.669,audio_features,0eCUlm2zhP9ZbAa17qc7jY,spotify:track:0eCUlm2zhP9ZbAa17qc7jY,https://api.spotify.com/v1/tracks/0eCUlm2zhP9ZbAa17qc7jY,https://api.spotify.com/v1/audio-analysis/0eCUlm2zhP9ZbAa17qc7jY,194000,4
0.36,0.712,2,-6.963,1,0.0453,0.00529,0.0,0.173,0.536,78.759,audio_features,4B8lHowyNr1hQzZKmLFdkk,spotify:track:4B8lHowyNr1hQzZKmLFdkk,https://api.spotify.com/v1/tracks/4B8lHowyNr1hQzZKmLFdkk,https://api.spotify.com/v1/audio-analysis/4B8lHowyNr1hQzZKmLFdkk,151293,4
0.397,0.839,4,-6.674,1,0.102,0.00125,0.0,0.576,0.764,116.947,audio_features,7v9Ne4758aGFfFc5avh89h,spotify:track:7v9Ne4758aGFfFc5avh89h,https://api.spotify.com/v1/tracks/7v9Ne4758aGFfFc5avh89h,https://api.spotify.com/v1/audio-analysis/7v9Ne4758aGFfFc5avh89h,191293,4
0.371,0.817,9,-5.381,1,0.0477,0.000524,6.41e-06,0.0896,0.632,161.853,audio_features,2mtIfYDMp6hcfJ0L5cQyXF,spotify:track:2mtIfYDMp6hcfJ0L5cQyXF,https://api.spotify.com/v1/tracks/2mtIfYDMp6hcfJ0L5cQyXF,https://api.spotify.com/v1/audio-analysis/2mtIfYDMp6hcfJ0L5cQyXF,192933,4
0.701,0.298,4,-11.924,1,0.0779,0.107,0.0,0.159,0.686,141.075,audio_features,485YnZYHWXpOLP5wUoerVB,spotify:track:485YnZYHWXpOLP5wUoerVB,https://api.spotify.com/v1/tracks/485YnZYHWXpOLP5wUoerVB,https://api.spotify.com/v1/audio-analysis/485YnZYHWXpOLP5wUoerVB,252360,4
0.406,0.833,2,-5.633,1,0.09,8.5e-05,3.46e-06,0.108,0.604,81.341,audio_features,1tZ2Yz853gz6Vs37kvoDqM,spotify:track:1tZ2Yz853gz6Vs37kvoDqM,https://api.spotify.com/v1/tracks/1tZ2Yz853gz6Vs37kvoDqM,https://api.spotify.com/v1/audio-analysis/1tZ2Yz853gz6Vs37kvoDqM,212467,4
0.268,0.809,9,-7.271,1,0.0671,0.00569,2.36e-06,0.118,0.328,151.561,audio_features,3lyOM9HHaKkWldjeBF5LSH,spotify:track:3lyOM9HHaKkWldjeBF5LSH,https://api.spotify.com/v1/tracks/3lyOM9HHaKkWldjeBF5LSH,https://api.spotify.com/v1/audio-analysis/3lyOM9HHaKkWldjeBF5LSH,241387,4
0.232,0.885,7,-6.805,1,0.178,0.000393,4.81e-06,0.333,0.342,161.025,audio_features,0gIF9i4Uy31o2Z1oZpYzWH,spotify:track:0gIF9i4Uy31o2Z1oZpYzWH,https://api.spotify.com/v1/tracks/0gIF9i4Uy31o2Z1oZpYzWH,https://api.spotify.com/v1/audio-analysis/0gIF9i4Uy31o2Z1oZpYzWH,274805,4
