danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.651,0.709,4,-7.842,1,0.037,0.00461,0.00744,0.0771,0.126,121.02,audio_features,40tPP3K10yMZxwnT65REKj,spotify:track:40tPP3K10yMZxwnT65REKj,https://api.spotify.com/v1/tracks/40tPP3K10yMZxwnT65REKj,https://api.spotify.com/v1/audio-analysis/40tPP3K10yMZxwnT65REKj,257985,4
0.769,0.499,5,-12.845,0,0.0411,0.453,0.349,0.0958,0.145,125.028,audio_features,0z3hYtKH35ltEcPfeyBXj4,spotify:track:0z3hYtKH35ltEcPfeyBXj4,https://api.spotify.com/v1/tracks/0z3hYtKH35ltEcPfeyBXj4,https://api.spotify.com/v1/audio-analysis/0z3hYtKH35ltEcPfeyBXj4,218881,4
0.68,0.927,4,-6.27,0,0.0405,0.107,0.936,0.207,0.117,125.009,audio_features,49KOIOQPegsRJM9gYhfCw3,spotify:track:49KOIOQPegsRJM9gYhfCw3,https://api.spotify.com/v1/tracks/49KOIOQPegsRJM9gYhfCw3,https://api.spotify.com/v1/audio-analysis/49KOIOQPegsRJM9gYhfCw3,229440,4
0.64,0.794,0,-7.605,1,0.0321,0.00311,0.878,0.111,0.0454,124.022,audio_features,1sI4qHDWREwWqSmbD6clrw,spotify:track:1sI4qHDWREwWqSmbD6clrw,https://api.spotify.com/v1/tracks/1sI4qHDWREwWqSmbD6clrw,https://api.spotify.com/v1/audio-analysis/1sI4qHDWREwWqSmbD6clrw,237581,4
0.552,0.837,5,-7.825,1,0.044,0.0356,0.434,0.0982,0.0795,121.99,audio_features,4l8fwDaGkOWJqvNacpcBTo,spotify:track:4l8fwDaGkOWJqvNacpcBTo,https://api.spotify.com/v1/tracks/4l8fwDaGkOWJqvNacpcBTo,https://api.spotify.com/v1/audio-analysis/4l8fwDaGkOWJqvNacpcBTo,262250,4
0.58,0.788,5,-8.61,1,0.0498,0.0622,0.567,0.441,0.0757,121.971,audio_features,7MaeDTjnd8zh4Dx0XpZmUQ,spotify:track:7MaeDTjnd8zh4Dx0XpZmUQ,https://api.spotify.com/v1/tracks/7MaeDTjnd8zh4Dx0XpZmUQ,https://api.spotify.com/v1/audio-analysis/7MaeDTjnd8zh4Dx0XpZmUQ,353750,4
0.748,0.617,10,-10.125,0,0.0374,0.12,0.8,0.0898,0.11,127.01,audio_features,5NfgFRdfNQ4HFVPGRoVMU6,spotify:track:5NfgFRdfNQ4HFVPGRoVMU6,https://api.spotify.com/v1/tracks/5NfgFRdfNQ4HFVPGRoVMU6,https://api.spotify.com/v1/audio-analysis/5NfgFRdfNQ4HFVPGRoVMU6,260787,4
0.727,0.606,4,-9.031,1,0.0362,0.176,0.822,0.101,0.422,120.998,audio_features,5ZIcOUUEP2IaQG2ayxjLkH,spotify:track:5ZIcOUUEP2IaQG2ayxjLkH,https://api.spotify.com/v1/tracks/5ZIcOUUEP2IaQG2ayxjLkH,https://api.spotify.com/v1/audio-analysis/5ZIcOUUEP2IaQG2ayxjLkH,407000,4
0.947,0.469,4,-12.382,0,0.183,0.357,0.903,0.109,0.256,121.0,audio_features,0SpgCmTsACMKHLTsE9XD0E,spotify:track:0SpgCmTsACMKHLTsE9XD0E,https://api.spotify.com/v1/tracks/0SpgCmTsACMKHLTsE9XD0E,https://api.spotify.com/v1/audio-analysis/0SpgCmTsACMKHLTsE9XD0E,415098,4
0.716,0.461,7,-11.478,0,0.0324,0.589,0.0518,0.107,0.205,119.998,audio_features,3pMyZztzU35UqFtlUtbICr,spotify:track:3pMyZztzU35UqFtlUtbICr,https://api.spotify.com/v1/tracks/3pMyZztzU35UqFtlUtbICr,https://api.spotify.com/v1/audio-analysis/3pMyZztzU35UqFtlUtbICr,280000,4
