danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.832,0.553,7,-13.705,1,0.0487,0.0422,0.00356,0.249,0.89,119.825,audio_features,6Lphpr9Z6H282Sguw0dUWa,spotify:track:6Lphpr9Z6H282Sguw0dUWa,https://api.spotify.com/v1/tracks/6Lphpr9Z6H282Sguw0dUWa,https://api.spotify.com/v1/audio-analysis/6Lphpr9Z6H282Sguw0dUWa,215693,4
0.736,0.498,9,-17.093,0,0.0393,0.118,0.00212,0.0963,0.897,113.934,audio_features,5ECpIfjbsWQsVa0kr8yPVE,spotify:track:5ECpIfjbsWQsVa0kr8yPVE,https://api.spotify.com/v1/tracks/5ECpIfjbsWQsVa0kr8yPVE,https://api.spotify.com/v1/audio-analysis/5ECpIfjbsWQsVa0kr8yPVE,211040,4
0.867,0.52,10,-15.043,0,0.0614,0.0227,0.0513,0.115,0.788,123.346,audio_features,0YnjpvsQGmPMgwMutsIT40,spotify:track:0YnjpvsQGmPMgwMutsIT40,https://api.spotify.com/v1/tracks/0YnjpvsQGmPMgwMutsIT40,https://api.spotify.com/v1/audio-analysis/0YnjpvsQGmPMgwMutsIT40,227107,4
0.76,0.595,0,-14.579,0,0.0913,0.0823,0.107,0.0671,0.891,128.584,audio_features,4ooEiUeM4AcN9bOXkWa6Bk,spotify:track:4ooEiUeM4AcN9bOXkWa6Bk,https://api.spotify.com/v1/tracks/4ooEiUeM4AcN9bOXkWa6Bk,https://api.spotify.com/v1/audio-analysis/4ooEiUeM4AcN9bOXkWa6Bk,510453,4
0.847,0.646,2,-16.801,1,0.182,0.00394,0.336,0.707,0.533,113.124,audio_features,79221jS8OxkwugpuWJZdB2,spotify:track:79221jS8OxkwugpuWJZdB2,https://api.spotify.com/v1/tracks/79221jS8OxkwugpuWJZdB2,https://api.spotify.com/v1/audio-analysis/79221jS8OxkwugpuWJZdB2,284427,4
0.869,0.452,2,-14.448,1,0.046,0.153,0.0115,0.0672,0.934,112.673,audio_features,23sFi9xR2uuskd1TWG94mo,spotify:track:23sFi9xR2uuskd1TWG94mo,https://api.spotify.com/v1/tracks/23sFi9xR2uuskd1TWG94mo,https://api.spotify.com/v1/audio-analysis/23sFi9xR2uuskd1TWG94mo,486867,4
0.839,0.569,2,-15.83,0,0.0484,0.191,0.00177,0.189,0.935,111.488,audio_features,6lN7JfjLdcIWKxP8ZfLvsP,spotify:track:6lN7JfjLdcIWKxP8ZfLvsP,https://api.spotify.com/v1/tracks/6lN7JfjLdcIWKxP8ZfLvsP,https://api.spotify.com/v1/audio-analysis/6lN7JfjLdcIWKxP8ZfLvsP,398533,4
0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,audio_features,5ubvP9oKmxLUVq506fgLhk,spotify:track:5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/tracks/5ubvP9oKmxLUVq506fgLhk,https://api.spotify.com/v1/audio-analysis/5ubvP9oKmxLUVq506fgLhk,285373,4
0.315,0.434,4,-6.313,1,0.0426,0.512,0.0,0.0856,0.215,205.772,audio_features,500p2JKoUouvNLorJtaHMH,spotify:track:500p2JKoUouvNLorJtaHMH,https://api.spotify.com/v1/tracks/500p2JKoUouvNLorJtaHMH,https://api.spotify.com/v1/audio-analysis/500p2JKoUouvNLorJtaHMH,236200,3
0.656,0.672,2,-6.342,1,0.0325,0.738,4.24e-05,0.252,0.719,122.721,audio_features,2CGRcsLboTCSBTV5s1VMEO,spotify:track:2CGRcsLboTCSBTV5s1VMEO,https://api.spotify.com/v1/tracks/2CGRcsLboTCSBTV5s1VMEO,https://api.spotify.com/v1/audio-analysis/2CGRcsLboTCSBTV5s1VMEO,171413,4
