danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.883,0.743,5,-8.418,0,0.162,0.00695,0.796,0.0936,0.336,111.019,audio_features,7fYIXtdOUl8WqXAqQGyIHQ,spotify:track:7fYIXtdOUl8WqXAqQGyIHQ,https://api.spotify.com/v1/tracks/7fYIXtdOUl8WqXAqQGyIHQ,https://api.spotify.com/v1/audio-analysis/7fYIXtdOUl8WqXAqQGyIHQ,164560,4
0.856,0.569,1,-5.916,1,0.206,0.00492,0.0353,0.474,0.919,110.943,audio_features,7dTWkvPOPgbGuMk4HDxNpY,spotify:track:7dTWkvPOPgbGuMk4HDxNpY,https://api.spotify.com/v1/tracks/7dTWkvPOPgbGuMk4HDxNpY,https://api.spotify.com/v1/audio-analysis/7dTWkvPOPgbGuMk4HDxNpY,28333,4
0.745,0.716,11,-7.918,1,0.136,0.0265,0.846,0.246,0.828,126.527,audio_features,5pgZpHqfv4TSomtkfGZGrG,spotify:track:5pgZpHqfv4TSomtkfGZGrG,https://api.spotify.com/v1/tracks/5pgZpHqfv4TSomtkfGZGrG,https://api.spotify.com/v1/audio-analysis/5pgZpHqfv4TSomtkfGZGrG,335027,4
0.806,0.7,0,-5.269,0,0.0752,0.00196,0.891,0.267,0.892,111.215,audio_features,0MyY4WcN7DIfbSmp5yej5z,spotify:track:0MyY4WcN7DIfbSmp5yej5z,https://api.spotify.com/v1/tracks/0MyY4WcN7DIfbSmp5yej5z,https://api.spotify.com/v1/audio-analysis/0MyY4WcN7DIfbSmp5yej5z,328680,4
0.804,0.719,7,-8.207,1,0.0835,1.91e-05,0.926,0.0847,0.569,126.874,audio_features,6nQy5XEEEJKu8FE1FS2Wbt,spotify:track:6nQy5XEEEJKu8FE1FS2Wbt,https://api.spotify.com/v1/tracks/6nQy5XEEEJKu8FE1FS2Wbt,https://api.spotify.com/v1/audio-analysis/6nQy5XEEEJKu8FE1FS2Wbt,297107,4
0.503,0.952,1,-9.308,1,0.572,0.268,0.272,0.875,0.174,126.345,audio_features,78H72MElkOY9cRnaudxZFY,spotify:track:78H72MElkOY9cRnaudxZFY,https://api.spotify.com/v1/tracks/78H72MElkOY9cRnaudxZFY,https://api.spotify.com/v1/audio-analysis/78H72MElkOY9cRnaudxZFY,244400,4
0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,audio_features,1pKYYY0dkg23sQQXi0Q5zN,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,https://api.spotify.com/v1/tracks/1pKYYY0dkg23sQQXi0Q5zN,https://api.spotify.com/v1/audio-analysis/1pKYYY0dkg23sQQXi0Q5zN,429533,4
0.822,0.791,1,-4.87,1,0.0414,0.00108,0.621,0.0567,0.21,130.059,audio_features,6hgBJPTHoDJyxydmtFWHKf,spotify:track:6hgBJPTHoDJyxydmtFWHKf,https://api.spotify.com/v1/tracks/6hgBJPTHoDJyxydmtFWHKf,https://api.spotify.com/v1/audio-analysis/6hgBJPTHoDJyxydmtFWHKf,448627,4
0.98,0.486,6,-7.31,1,0.251,0.03,0.823,0.0995,0.823,123.206,audio_features,4ZdjCuiWBv2weLftWPJ72c,spotify:track:4ZdjCuiWBv2weLftWPJ72c,https://api.spotify.com/v1/tracks/4ZdjCuiWBv2weLftWPJ72c,https://api.spotify.com/v1/audio-analysis/4ZdjCuiWBv2weLftWPJ72c,173493,4
0.799,0.66,11,-8.829,0,0.175,0.000996,0.446,0.313,0.391,125.909,audio_features,63ZAmhkAV6Kaw955ohbEsN,spotify:track:63ZAmhkAV6Kaw955ohbEsN,https://api.spotify.com/v1/tracks/63ZAmhkAV6Kaw955ohbEsN,https://api.spotify.com/v1/audio-analysis/63ZAmhkAV6Kaw955ohbEsN,362467,4
