danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.615,0.757,10,-7.694,0,0.037,0.054,0.885,0.138,0.191,125.061,audio_features,3cUUVRG0w6BmUgd4Jvq7MZ,spotify:track:3cUUVRG0w6BmUgd4Jvq7MZ,https://api.spotify.com/v1/tracks/3cUUVRG0w6BmUgd4Jvq7MZ,https://api.spotify.com/v1/audio-analysis/3cUUVRG0w6BmUgd4Jvq7MZ,208356,4
0.784,0.823,0,-8.853,0,0.042,0.613,0.894,0.118,0.378,130.99,audio_features,6zi1j0jI5G72j4eSBhEffo,spotify:track:6zi1j0jI5G72j4eSBhEffo,https://api.spotify.com/v1/tracks/6zi1j0jI5G72j4eSBhEffo,https://api.spotify.com/v1/audio-analysis/6zi1j0jI5G72j4eSBhEffo,274591,4
0.764,0.855,6,-8.691,0,0.0391,0.111,0.859,0.129,0.426,124.997,audio_features,3vYOncN0bfYV6EYVlSjwXr,spotify:track:3vYOncN0bfYV6EYVlSjwXr,https://api.spotify.com/v1/tracks/3vYOncN0bfYV6EYVlSjwXr,https://api.spotify.com/v1/audio-analysis/3vYOncN0bfYV6EYVlSjwXr,222320,4
0.658,0.669,5,-12.031,0,0.0436,0.428,0.81,0.0787,0.543,133.019,audio_features,1NDW8D3nNHeJFarOoiHDeh,spotify:track:1NDW8D3nNHeJFarOoiHDeh,https://api.spotify.com/v1/tracks/1NDW8D3nNHeJFarOoiHDeh,https://api.spotify.com/v1/audio-analysis/1NDW8D3nNHeJFarOoiHDeh,245044,4
0.734,0.75,8,-9.326,1,0.0402,0.00565,0.907,0.139,0.0637,121.008,audio_features,4ob3lu9AMhuYaE6wfu0hFH,spotify:track:4ob3lu9AMhuYaE6wfu0hFH,https://api.spotify.com/v1/tracks/4ob3lu9AMhuYaE6wfu0hFH,https://api.spotify.com/v1/audio-analysis/4ob3lu9AMhuYaE6wfu0hFH,289919,5
0.794,0.532,10,-11.264,0,0.0748,0.065,0.905,0.0805,0.103,128.017,audio_features,1qRdFvAlO00xTdCu1gZGSv,spotify:track:1qRdFvAlO00xTdCu1gZGSv,https://api.spotify.com/v1/tracks/1qRdFvAlO00xTdCu1gZGSv,https://api.spotify.com/v1/audio-analysis/1qRdFvAlO00xTdCu1gZGSv,463636,4
0.279,0.542,1,-11.962,1,0.0494,0.47,0.601,0.0888,0.163,123.846,audio_features,1BbXlbs8pWeYI2yGpGhuzA,spotify:track:1BbXlbs8pWeYI2yGpGhuzA,https://api.spotify.com/v1/tracks/1BbXlbs8pWeYI2yGpGhuzA,https://api.spotify.com/v1/audio-analysis/1BbXlbs8pWeYI2yGpGhuzA,253240,4
0.498,0.766,8,-9.397,1,0.0371,0.000585,0.142,0.235,0.271,124.01,audio_features,4Zej1cL8Hnqwa7AwZ1oo3z,spotify:track:4Zej1cL8Hnqwa7AwZ1oo3z,https://api.spotify.com/v1/tracks/4Zej1cL8Hnqwa7AwZ1oo3z,https://api.spotify.com/v1/audio-analysis/4Zej1cL8Hnqwa7AwZ1oo3z,235140,4
0.652,0.602,1,-13.98,1,0.0338,0.709,0.942,0.186,0.0399,124.012,audio_features,0USWLVq4JoUNF7gi28HBzr,spotify:track:0USWLVq4JoUNF7gi28HBzr,https://api.spotify.com/v1/tracks/0USWLVq4JoUNF7gi28HBzr,https://api.spotify.com/v1/audio-analysis/0USWLVq4JoUNF7gi28HBzr,313587,4
0.776,0.342,6,-13.876,0,0.398,0.894,0.366,0.104,0.284,122.131,audio_features,2Zk9i8ayiwYLZIEJemuhl9,spotify:track:2Zk9i8ayiwYLZIEJemuhl9,https://api.spotify.com/v1/tracks/2Zk9i8ayiwYLZIEJemuhl9,https://api.spotify.com/v1/audio-analysis/2Zk9i8ayiwYLZIEJemuhl9,192848,4
