danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773,audio_features,59CfNbkERJ3NoTXDvoURjj,spotify:track:59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/tracks/59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/audio-analysis/59CfNbkERJ3NoTXDvoURjj,153000,3
0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448,3
0.323,0.36,2,-10.97,1,0.0803,0.568,0.0,0.375,0.143,83.681,audio_features,6OvgR29yzwUQ0jNVj3unPc,spotify:track:6OvgR29yzwUQ0jNVj3unPc,https://api.spotify.com/v1/tracks/6OvgR29yzwUQ0jNVj3unPc,https://api.spotify.com/v1/audio-analysis/6OvgR29yzwUQ0jNVj3unPc,90000,4
0.736,0.694,11,-5.617,0,0.0837,0.0341,0.000288,0.176,0.659,125.016,audio_features,20kAL8tWcg7RHtemfkeF8g,spotify:track:20kAL8tWcg7RHtemfkeF8g,https://api.spotify.com/v1/tracks/20kAL8tWcg7RHtemfkeF8g,https://api.spotify.com/v1/audio-analysis/20kAL8tWcg7RHtemfkeF8g,193750,4
0.524,0.457,1,-6.729,0,0.0419,0.0156,0.0,0.71,0.26,77.165,audio_features,4JOV4ut0CIXkwVH0Vy4YQJ,spotify:track:4JOV4ut0CIXkwVH0Vy4YQJ,https://api.spotify.com/v1/tracks/4JOV4ut0CIXkwVH0Vy4YQJ,https://api.spotify.com/v1/audio-analysis/4JOV4ut0CIXkwVH0Vy4YQJ,229406,4
0.491,0.0825,9,-14.794,0,0.0607,0.95,9.86e-06,0.111,0.427,124.063,audio_features,62Xd4nmmcRaN7bx1apeuME,spotify:track:62Xd4nmmcRaN7bx1apeuME,https://api.spotify.com/v1/tracks/62Xd4nmmcRaN7bx1apeuME,https://api.spotify.com/v1/audio-analysis/62Xd4nmmcRaN7bx1apeuME,48054,3
0.673,0.461,7,-5.483,1,0.0724,0.00351,0.000978,0.265,0.604,170.975,audio_features,29AdnhLJ2FIhrUncv1DBnC,spotify:track:29AdnhLJ2FIhrUncv1DBnC,https://api.spotify.com/v1/tracks/29AdnhLJ2FIhrUncv1DBnC,https://api.spotify.com/v1/audio-analysis/29AdnhLJ2FIhrUncv1DBnC,182884,4
0.487,0.663,3,-6.652,1,0.0657,0.0112,0.00013,0.352,0.179,141.895,audio_features,0dSXFiK5FccucA4wo3ZVpe,spotify:track:0dSXFiK5FccucA4wo3ZVpe,https://api.spotify.com/v1/tracks/0dSXFiK5FccucA4wo3ZVpe,https://api.spotify.com/v1/audio-analysis/0dSXFiK5FccucA4wo3ZVpe,191710,4
0.68,0.553,4,-7.582,1,0.38,0.214,3.58e-06,0.39,0.437,68.459,audio_features,0j2hRG0vWQ5t7aWaLazbkP,spotify:track:0j2hRG0vWQ5t7aWaLazbkP,https://api.spotify.com/v1/tracks/0j2hRG0vWQ5t7aWaLazbkP,https://api.spotify.com/v1/audio-analysis/0j2hRG0vWQ5t7aWaLazbkP,163889,4
0.685,0.758,0,-5.715,1,0.108,0.0262,1.27e-05,0.0494,0.579,109.817,audio_features,5wjYNruCFPyg3EBW2sAVw2,spotify:track:5wjYNruCFPyg3EBW2sAVw2,https://api.spotify.com/v1/tracks/5wjYNruCFPyg3EBW2sAVw2,https://api.spotify.com/v1/audio-analysis/5wjYNruCFPyg3EBW2sAVw2,230000,4
0.455,0.0186,7,-17.939,0,0.175,0.956,0.00471,0.134,0.599,81.464,audio_features,0w9vl7icSjlCg0msjaAf0r,spotify:track:0w9vl7icSjlCg0msjaAf0r,https://api.spotify.com/v1/tracks/0w9vl7icSjlCg0msjaAf0r,https://api.spotify.com/v1/audio-analysis/0w9vl7icSjlCg0msjaAf0r,50000,4
0.892,0.552,9,-5.447,1,0.0857,0.108,0.0,0.196,0.534,119.971,audio_features,1VnN9uzaSsw2kA6JOWpMUE,spotify:track:1VnN9uzaSsw2kA6JOWpMUE,https://api.spotify.com/v1/tracks/1VnN9uzaSsw2kA6JOWpMUE,https://api.spotify.com/v1/audio-analysis/1VnN9uzaSsw2kA6JOWpMUE,140750,4
0.798,0.504,1,-5.91,0,0.141,0.243,0.00012,0.223,0.866,178.057,audio_features,1ph7yHAVYzeq1MdcYBfAA8,spotify:track:1ph7yHAVYzeq1MdcYBfAA8,https://api.spotify.com/v1/tracks/1ph7yHAVYzeq1MdcYBfAA8,https://api.spotify.com/v1/audio-analysis/1ph7yHAVYzeq1MdcYBfAA8,178000,4
0.609,0.522,0,-5.569,0,0.0655,0.109,1.06e-05,0.138,0.3,139.991,audio_features,1ooP2mxAp73HtHb4KJ8dtB,spotify:track:1ooP2mxAp73HtHb4KJ8dtB,https://api.spotify.com/v1/tracks/1ooP2mxAp73HtHb4KJ8dtB,https://api.spotify.com/v1/audio-analysis/1ooP2mxAp73HtHb4KJ8dtB,198402,4
0.494,0.428,0,-7.239,0,0.203,0.233,0.0752,0.0816,0.441,87.723,audio_features,1ZdhOMWyFR8Iv9eylMGYg2,spotify:track:1ZdhOMWyFR8Iv9eylMGYg2,https://api.spotify.com/v1/tracks/1ZdhOMWyFR8Iv9eylMGYg2,https://api.spotify.com/v1/audio-analysis/1ZdhOMWyFR8Iv9eylMGYg2,157497,4
0.664,0.24,3,-10.378,1,0.118,0.276,4.93e-05,0.152,0.569,32.494,audio_features,1iOtWNsADWwyixexOka8cm,spotify:track:1iOtWNsADWwyixexOka8cm,https://api.spotify.com/v1/tracks/1iOtWNsADWwyixexOka8cm,https://api.spotify.com/v1/audio-analysis/1iOtWNsADWwyixexOka8cm,27500,4
