danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.49,0.724,2,-9.581,1,0.0366,0.00976,0.0046,0.159,0.292,125.812,audio_features,4qgZs0RNjdzKAS22lP0QjY,spotify:track:4qgZs0RNjdzKAS22lP0QjY,https://api.spotify.com/v1/tracks/4qgZs0RNjdzKAS22lP0QjY,https://api.spotify.com/v1/audio-analysis/4qgZs0RNjdzKAS22lP0QjY,337506,4
0.564,0.774,1,-9.424,1,0.0368,0.0135,0.00191,0.0861,0.657,100.894,audio_features,6wpGqhRvJGNNXwWlPmkMyO,spotify:track:6wpGqhRvJGNNXwWlPmkMyO,https://api.spotify.com/v1/tracks/6wpGqhRvJGNNXwWlPmkMyO,https://api.spotify.com/v1/audio-analysis/6wpGqhRvJGNNXwWlPmkMyO,277477,4
0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,audio_features,6ADSaE87h8Y3lccZlBJdXH,spotify:track:6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/tracks/6ADSaE87h8Y3lccZlBJdXH,https://api.spotify.com/v1/audio-analysis/6ADSaE87h8Y3lccZlBJdXH,295516,4
0.364,0.638,8,-10.24,1,0.0441,0.00735,0.399,0.133,0.451,152.509,audio_features,12w7q5JN7tf22TzQtQiiBN,spotify:track:12w7q5JN7tf22TzQtQiiBN,https://api.spotify.com/v1/tracks/12w7q5JN7tf22TzQtQiiBN,https://api.spotify.com/v1/audio-analysis/12w7q5JN7tf22TzQtQiiBN,271547,4
0.537,0.199,2,-18.726,1,0.0287,0.861,0.0259,0.334,0.229,94.634,audio_features,4MLPCRYNhDIKcRjzS54ceu,spotify:track:4MLPCRYNhDIKcRjzS54ceu,https://api.spotify.com/v1/tracks/4MLPCRYNhDIKcRjzS54ceu,https://api.spotify.com/v1/audio-analysis/4MLPCRYNhDIKcRjzS54ceu,257366,4
0.335,0.68,0,-9.1,1,0.0343,0.153,0.00272,0.222,0.377,137.152,audio_features,2G4F5Fc0DUFkkODwhWnbmt,spotify:track:2G4F5Fc0DUFkkODwhWnbmt,https://api.spotify.com/v1/tracks/2G4F5Fc0DUFkkODwhWnbmt,https://api.spotify.com/v1/audio-analysis/2G4F5Fc0DUFkkODwhWnbmt,292846,4
0.497,0.704,2,-8.085,1,0.0324,0.0071,6.69e-05,0.783,0.607,125.919,audio_features,1AQYE6CcYKlzM8e9Df5i1g,spotify:track:1AQYE6CcYKlzM8e9Df5i1g,https://api.spotify.com/v1/tracks/1AQYE6CcYKlzM8e9Df5i1g,https://api.spotify.com/v1/audio-analysis/1AQYE6CcYKlzM8e9Df5i1g,176597,4
0.44,0.701,0,-7.69,1,0.0327,0.00142,0.00715,0.075,0.489,110.641,audio_features,6yXoCR2tdhuqClB4HyxzOq,spotify:track:6yXoCR2tdhuqClB4HyxzOq,https://api.spotify.com/v1/tracks/6yXoCR2tdhuqClB4HyxzOq,https://api.spotify.com/v1/audio-analysis/6yXoCR2tdhuqClB4HyxzOq,211813,3
0.596,0.581,5,-10.532,1,0.0365,0.23,0.107,0.142,0.248,123.213,audio_features,3w3qWhplVQcO5aGU6Ipdhq,spotify:track:3w3qWhplVQcO5aGU6Ipdhq,https://api.spotify.com/v1/tracks/3w3qWhplVQcO5aGU6Ipdhq,https://api.spotify.com/v1/audio-analysis/3w3qWhplVQcO5aGU6Ipdhq,322169,4
0.295,0.308,2,-15.332,1,0.041,0.0315,0.785,0.0906,0.0392,117.932,audio_features,5I5XfaTmAxWlJzg8Eynjby,spotify:track:5I5XfaTmAxWlJzg8Eynjby,https://api.spotify.com/v1/tracks/5I5XfaTmAxWlJzg8Eynjby,https://api.spotify.com/v1/audio-analysis/5I5XfaTmAxWlJzg8Eynjby,253029,4
