danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.33,0.947,8,-4.355,1,0.0724,0.0345,0.524,0.124,0.466,177.295,audio_features,0GBG7b2BuF336A6lk6spGw,spotify:track:0GBG7b2BuF336A6lk6spGw,https://api.spotify.com/v1/tracks/0GBG7b2BuF336A6lk6spGw,https://api.spotify.com/v1/audio-analysis/0GBG7b2BuF336A6lk6spGw,207640,4
0.267,0.828,7,-4.592,1,0.0746,0.00956,0.409,0.143,0.203,117.886,audio_features,5GAB1X0AJq2EZjxXP9zMFt,spotify:track:5GAB1X0AJq2EZjxXP9zMFt,https://api.spotify.com/v1/tracks/5GAB1X0AJq2EZjxXP9zMFt,https://api.spotify.com/v1/audio-analysis/5GAB1X0AJq2EZjxXP9zMFt,196560,4
0.49,0.649,2,-5.932,1,0.0335,0.458,0.89,0.0928,0.431,117.05,audio_features,08bHD16xTlOZmqPHo7r01d,spotify:track:08bHD16xTlOZmqPHo7r01d,https://api.spotify.com/v1/tracks/08bHD16xTlOZmqPHo7r01d,https://api.spotify.com/v1/audio-analysis/08bHD16xTlOZmqPHo7r01d,227240,4
0.332,0.894,9,-4.487,1,0.0483,0.363,0.767,0.26,0.614,160.897,audio_features,6ltwQhB1VYzr7QLpJYwwXn,spotify:track:6ltwQhB1VYzr7QLpJYwwXn,https://api.spotify.com/v1/tracks/6ltwQhB1VYzr7QLpJYwwXn,https://api.spotify.com/v1/audio-analysis/6ltwQhB1VYzr7QLpJYwwXn,228453,4
0.452,0.757,9,-4.192,1,0.0357,0.535,0.845,0.328,0.413,121.676,audio_features,594B8EVF8pxMZDtS3aytHX,spotify:track:594B8EVF8pxMZDtS3aytHX,https://api.spotify.com/v1/tracks/594B8EVF8pxMZDtS3aytHX,https://api.spotify.com/v1/audio-analysis/594B8EVF8pxMZDtS3aytHX,227720,4
0.389,0.81,0,-4.468,1,0.0403,0.217,0.819,0.118,0.463,115.85,audio_features,3djNMrHZkcDs3jeTCtE0vy,spotify:track:3djNMrHZkcDs3jeTCtE0vy,https://api.spotify.com/v1/tracks/3djNMrHZkcDs3jeTCtE0vy,https://api.spotify.com/v1/audio-analysis/3djNMrHZkcDs3jeTCtE0vy,271227,4
0.23,0.659,6,-4.908,1,0.0349,0.611,0.812,0.105,0.159,120.718,audio_features,3UVi58okVm2VsOeuSnqUOj,spotify:track:3UVi58okVm2VsOeuSnqUOj,https://api.spotify.com/v1/tracks/3UVi58okVm2VsOeuSnqUOj,https://api.spotify.com/v1/audio-analysis/3UVi58okVm2VsOeuSnqUOj,176627,3
0.283,0.834,4,-3.865,1,0.0526,0.334,0.49,0.356,0.439,167.438,audio_features,65mtOjEf0eYDb3YpdjrwMR,spotify:track:65mtOjEf0eYDb3YpdjrwMR,https://api.spotify.com/v1/tracks/65mtOjEf0eYDb3YpdjrwMR,https://api.spotify.com/v1/audio-analysis/65mtOjEf0eYDb3YpdjrwMR,199573,4
0.0962,0.46,4,-6.238,0,0.0365,0.0716,0.663,0.139,0.145,183.933,audio_features,1VBAlyNYofCEHAKBt8jWEy,spotify:track:1VBAlyNYofCEHAKBt8jWEy,https://api.spotify.com/v1/tracks/1VBAlyNYofCEHAKBt8jWEy,https://api.spotify.com/v1/audio-analysis/1VBAlyNYofCEHAKBt8jWEy,238760,4
0.265,0.237,10,-14.599,1,0.0351,0.945,0.000267,0.112,0.19,87.912,audio_features,5w52BJAqGkV1ewaCVLmjhi,spotify:track:5w52BJAqGkV1ewaCVLmjhi,https://api.spotify.com/v1/tracks/5w52BJAqGkV1ewaCVLmjhi,https://api.spotify.com/v1/audio-analysis/5w52BJAqGkV1ewaCVLmjhi,324773,1
