danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.429,0.59,2,-9.673,1,0.0403,0.0219,0.905,0.141,0.0503,134.255,audio_features,6ab52dV6RWDbdDb8xbQ8Uz,spotify:track:6ab52dV6RWDbdDb8xbQ8Uz,https://api.spotify.com/v1/tracks/6ab52dV6RWDbdDb8xbQ8Uz,https://api.spotify.com/v1/audio-analysis/6ab52dV6RWDbdDb8xbQ8Uz,219014,4
0.621,0.968,6,-7.625,0,0.0674,0.013,0.916,0.811,0.0315,125.0,audio_features,6jdaBz780wecXanS9elu68,spotify:track:6jdaBz780wecXanS9elu68,https://api.spotify.com/v1/tracks/6jdaBz780wecXanS9elu68,https://api.spotify.com/v1/audio-analysis/6jdaBz780wecXanS9elu68,278400,4
0.694,0.715,3,-12.338,0,0.0405,0.473,0.87,0.103,0.581,121.998,audio_features,2KPzCuzQYlgKL5nn07iF0L,spotify:track:2KPzCuzQYlgKL5nn07iF0L,https://api.spotify.com/v1/tracks/2KPzCuzQYlgKL5nn07iF0L,https://api.spotify.com/v1/audio-analysis/2KPzCuzQYlgKL5nn07iF0L,411148,4
0.693,0.671,6,-5.479,0,0.0429,0.000228,0.846,0.11,0.254,122.004,audio_features,0pgxwrWRAtps2CxYkon06B,spotify:track:0pgxwrWRAtps2CxYkon06B,https://api.spotify.com/v1/tracks/0pgxwrWRAtps2CxYkon06B,https://api.spotify.com/v1/audio-analysis/0pgxwrWRAtps2CxYkon06B,378672,4
0.569,0.687,10,-9.733,0,0.032,5.72e-05,0.94,0.102,0.375,122.008,audio_features,0cAarkhbKeI6z0YnpwjyLP,spotify:track:0cAarkhbKeI6z0YnpwjyLP,https://api.spotify.com/v1/tracks/0cAarkhbKeI6z0YnpwjyLP,https://api.spotify.com/v1/audio-analysis/0cAarkhbKeI6z0YnpwjyLP,448751,4
0.633,0.92,9,-2.812,1,0.0928,0.00764,0.00177,0.123,0.154,114.997,audio_features,4XeIiGpUBshIfs9yrBDVZC,spotify:track:4XeIiGpUBshIfs9yrBDVZC,https://api.spotify.com/v1/tracks/4XeIiGpUBshIfs9yrBDVZC,https://api.spotify.com/v1/audio-analysis/4XeIiGpUBshIfs9yrBDVZC,359126,4
0.675,0.759,6,-13.982,0,0.0543,0.516,0.934,0.372,0.129,127.991,audio_features,7dYjEwbLJ1B5reoz3lWra0,spotify:track:7dYjEwbLJ1B5reoz3lWra0,https://api.spotify.com/v1/tracks/7dYjEwbLJ1B5reoz3lWra0,https://api.spotify.com/v1/audio-analysis/7dYjEwbLJ1B5reoz3lWra0,342000,4
0.915,0.607,6,-13.917,0,0.24,0.681,0.85,0.118,0.474,117.458,audio_features,6zil6cE61Yo8fKkw9yxpz5,spotify:track:6zil6cE61Yo8fKkw9yxpz5,https://api.spotify.com/v1/tracks/6zil6cE61Yo8fKkw9yxpz5,https://api.spotify.com/v1/audio-analysis/6zil6cE61Yo8fKkw9yxpz5,560681,4
0.761,0.958,6,-4.939,0,0.141,0.00923,0.00867,0.098,0.49,134.033,audio_features,1447z3NQY5Dg6oik6Zh5rw,spotify:track:1447z3NQY5Dg6oik6Zh5rw,https://api.spotify.com/v1/tracks/1447z3NQY5Dg6oik6Zh5rw,https://api.spotify.com/v1/audio-analysis/1447z3NQY5Dg6oik6Zh5rw,385075,4
0.606,0.721,10,-8.464,0,0.0444,0.00695,0.925,0.0934,0.179,130.004,audio_features,7chz1SlXVtLKwassrRkA80,spotify:track:7chz1SlXVtLKwassrRkA80,https://api.spotify.com/v1/tracks/7chz1SlXVtLKwassrRkA80,https://api.spotify.com/v1/audio-analysis/7chz1SlXVtLKwassrRkA80,450462,4
0.675,0.876,11,-9.909,0,0.0887,0.000465,0.924,0.108,0.156,129.998,audio_features,33TjSRtZrVGxMNaOBwykHX,spotify:track:33TjSRtZrVGxMNaOBwykHX,https://api.spotify.com/v1/tracks/33TjSRtZrVGxMNaOBwykHX,https://api.spotify.com/v1/audio-analysis/33TjSRtZrVGxMNaOBwykHX,386538,4
0.717,0.608,7,-10.453,1,0.0506,0.00708,0.817,0.111,0.0684,127.999,audio_features,4NIyNBgxGk4BQg52zyCTxP,spotify:track:4NIyNBgxGk4BQg52zyCTxP,https://api.spotify.com/v1/tracks/4NIyNBgxGk4BQg52zyCTxP,https://api.spotify.com/v1/audio-analysis/4NIyNBgxGk4BQg52zyCTxP,370283,4
0.691,0.598,2,-10.627,1,0.0639,0.00013,0.761,0.0972,0.0705,133.005,audio_features,1lBd8Ku016UoqP5P7s1KIy,spotify:track:1lBd8Ku016UoqP5P7s1KIy,https://api.spotify.com/v1/tracks/1lBd8Ku016UoqP5P7s1KIy,https://api.spotify.com/v1/audio-analysis/1lBd8Ku016UoqP5P7s1KIy,409628,4
0.55,0.812,0,-7.714,1,0.0358,0.0191,0.89,0.107,0.0597,120.0,audio_features,4EFK1MdZxaQO6yoQI2AL2F,spotify:track:4EFK1MdZxaQO6yoQI2AL2F,https://api.spotify.com/v1/tracks/4EFK1MdZxaQO6yoQI2AL2F,https://api.spotify.com/v1/audio-analysis/4EFK1MdZxaQO6yoQI2AL2F,364591,3
0.789,0.61,1,-10.846,1,0.0631,0.0179,0.902,0.108,0.196,124.998,audio_features,5fd4byqaxsTam7lbq1ZCbk,spotify:track:5fd4byqaxsTam7lbq1ZCbk,https://api.spotify.com/v1/tracks/5fd4byqaxsTam7lbq1ZCbk,https://api.spotify.com/v1/audio-analysis/5fd4byqaxsTam7lbq1ZCbk,419355,3
0.591,0.678,5,-12.159,1,0.0375,0.236,0.897,0.109,0.11,123.993,audio_features,56mGMAQHrQgiUGcNcJhCI0,spotify:track:56mGMAQHrQgiUGcNcJhCI0,https://api.spotify.com/v1/tracks/56mGMAQHrQgiUGcNcJhCI0,https://api.spotify.com/v1/audio-analysis/56mGMAQHrQgiUGcNcJhCI0,671853,4
0.711,0.758,7,-8.843,1,0.0461,0.000706,0.91,0.15,0.329,121.015,audio_features,35pbgfiWCEZkufVkmM49dv,spotify:track:35pbgfiWCEZkufVkmM49dv,https://api.spotify.com/v1/tracks/35pbgfiWCEZkufVkmM49dv,https://api.spotify.com/v1/audio-analysis/35pbgfiWCEZkufVkmM49dv,335073,4
0.801,0.828,7,-8.277,1,0.077,0.23,0.9,0.104,0.343,119.994,audio_features,3UHl54qxijy1bWuTbjP0pd,spotify:track:3UHl54qxijy1bWuTbjP0pd,https://api.spotify.com/v1/tracks/3UHl54qxijy1bWuTbjP0pd,https://api.spotify.com/v1/audio-analysis/3UHl54qxijy1bWuTbjP0pd,320333,4
0.621,0.723,10,-7.368,0,0.107,0.0032,0.937,0.0677,0.509,123.024,audio_features,7Mud96Azc0VRcG0AvIvp7H,spotify:track:7Mud96Azc0VRcG0AvIvp7H,https://api.spotify.com/v1/tracks/7Mud96Azc0VRcG0AvIvp7H,https://api.spotify.com/v1/audio-analysis/7Mud96Azc0VRcG0AvIvp7H,285390,4
0.547,0.857,7,-7.494,1,0.0504,0.000837,0.663,0.0505,0.121,126.997,audio_features,6ILF9WnYyLfvZJzYwhUT5K,spotify:track:6ILF9WnYyLfvZJzYwhUT5K,https://api.spotify.com/v1/tracks/6ILF9WnYyLfvZJzYwhUT5K,https://api.spotify.com/v1/audio-analysis/6ILF9WnYyLfvZJzYwhUT5K,294803,4
0.852,0.673,6,-10.717,1,0.0613,0.00228,0.441,0.421,0.831,127.006,audio_features,3Q4dGPkUXbbCIiMHS0wYbz,spotify:track:3Q4dGPkUXbbCIiMHS0wYbz,https://api.spotify.com/v1/tracks/3Q4dGPkUXbbCIiMHS0wYbz,https://api.spotify.com/v1/audio-analysis/3Q4dGPkUXbbCIiMHS0wYbz,292913,4
0.651,0.941,10,-6.21,0,0.0348,0.00412,0.634,0.128,0.422,122.0,audio_features,5uSes1JmUzam7YOCv1dPy2,spotify:track:5uSes1JmUzam7YOCv1dPy2,https://api.spotify.com/v1/tracks/5uSes1JmUzam7YOCv1dPy2,https://api.spotify.com/v1/audio-analysis/5uSes1JmUzam7YOCv1dPy2,210492,4
0.627,0.69,10,-10.731,0,0.0411,0.0819,0.957,0.166,0.277,125.002,audio_features,2GBRDBk7T7S9HH2qnb7hGz,spotify:track:2GBRDBk7T7S9HH2qnb7hGz,https://api.spotify.com/v1/tracks/2GBRDBk7T7S9HH2qnb7hGz,https://api.spotify.com/v1/audio-analysis/2GBRDBk7T7S9HH2qnb7hGz,303000,4
0.677,0.526,1,-12.352,1,0.0563,0.0756,0.936,0.107,0.365,124.996,audio_features,7Au2RWOJeD4fnhkgd1aXV7,spotify:track:7Au2RWOJeD4fnhkgd1aXV7,https://api.spotify.com/v1/tracks/7Au2RWOJeD4fnhkgd1aXV7,https://api.spotify.com/v1/audio-analysis/7Au2RWOJeD4fnhkgd1aXV7,482000,4
0.709,0.642,2,-9.551,1,0.0527,0.0417,0.898,0.0727,0.178,125.979,audio_features,1EQNQoNTxAhzj62OJ6z4q9,spotify:track:1EQNQoNTxAhzj62OJ6z4q9,https://api.spotify.com/v1/tracks/1EQNQoNTxAhzj62OJ6z4q9,https://api.spotify.com/v1/audio-analysis/1EQNQoNTxAhzj62OJ6z4q9,255476,4
0.624,0.631,11,-8.045,0,0.0553,0.00392,0.755,0.107,0.22,121.99,audio_features,2euBWg0NcyhmKC51wfPDRY,spotify:track:2euBWg0NcyhmKC51wfPDRY,https://api.spotify.com/v1/tracks/2euBWg0NcyhmKC51wfPDRY,https://api.spotify.com/v1/audio-analysis/2euBWg0NcyhmKC51wfPDRY,402712,4
0.703,0.751,7,-7.68,0,0.066,0.0354,0.58,0.0892,0.179,137.995,audio_features,3DhGxSaArP9Kf57DwcwMPQ,spotify:track:3DhGxSaArP9Kf57DwcwMPQ,https://api.spotify.com/v1/tracks/3DhGxSaArP9Kf57DwcwMPQ,https://api.spotify.com/v1/audio-analysis/3DhGxSaArP9Kf57DwcwMPQ,284718,4
0.682,0.927,5,-6.129,0,0.0373,0.133,0.842,0.0918,0.113,122.998,audio_features,5QRhs05R9MOXHQC2OOn5bq,spotify:track:5QRhs05R9MOXHQC2OOn5bq,https://api.spotify.com/v1/tracks/5QRhs05R9MOXHQC2OOn5bq,https://api.spotify.com/v1/audio-analysis/5QRhs05R9MOXHQC2OOn5bq,439024,4
0.525,0.792,11,-8.764,0,0.0594,0.0317,0.846,0.0924,0.14,121.967,audio_features,76zC50pGjKLQrauWqoRkqO,spotify:track:76zC50pGjKLQrauWqoRkqO,https://api.spotify.com/v1/tracks/76zC50pGjKLQrauWqoRkqO,https://api.spotify.com/v1/audio-analysis/76zC50pGjKLQrauWqoRkqO,380504,4
0.605,0.882,6,-7.704,1,0.0457,0.00178,0.0772,0.312,0.253,128.986,audio_features,285RSaiXoWUu4aGmwpPVsC,spotify:track:285RSaiXoWUu4aGmwpPVsC,https://api.spotify.com/v1/tracks/285RSaiXoWUu4aGmwpPVsC,https://api.spotify.com/v1/audio-analysis/285RSaiXoWUu4aGmwpPVsC,249302,4
0.766,0.742,2,-8.47,1,0.0455,0.000155,0.836,0.0945,0.0395,122.997,audio_features,072Qm76a6d7h43UKUKNAsg,spotify:track:072Qm76a6d7h43UKUKNAsg,https://api.spotify.com/v1/tracks/072Qm76a6d7h43UKUKNAsg,https://api.spotify.com/v1/audio-analysis/072Qm76a6d7h43UKUKNAsg,386341,4
0.672,0.64,7,-6.801,0,0.0269,0.0135,0.0511,0.103,0.51,127.011,audio_features,08DprFlcwlc5zny9ErPkHG,spotify:track:08DprFlcwlc5zny9ErPkHG,https://api.spotify.com/v1/tracks/08DprFlcwlc5zny9ErPkHG,https://api.spotify.com/v1/audio-analysis/08DprFlcwlc5zny9ErPkHG,398663,4
0.656,0.655,7,-6.766,0,0.024,0.02,0.00816,0.103,0.555,127.001,audio_features,3I10tZ5MgEMo4WryCNJkZQ,spotify:track:3I10tZ5MgEMo4WryCNJkZQ,https://api.spotify.com/v1/tracks/3I10tZ5MgEMo4WryCNJkZQ,https://api.spotify.com/v1/audio-analysis/3I10tZ5MgEMo4WryCNJkZQ,230946,4
0.772,0.982,7,-5.881,1,0.0663,0.00029,0.812,0.101,0.0286,138.017,audio_features,1nSNWaZxuxum2a5nA7zdX6,spotify:track:1nSNWaZxuxum2a5nA7zdX6,https://api.spotify.com/v1/tracks/1nSNWaZxuxum2a5nA7zdX6,https://api.spotify.com/v1/audio-analysis/1nSNWaZxuxum2a5nA7zdX6,310727,4
0.735,0.951,1,-7.062,1,0.0642,0.000595,0.699,0.155,0.0462,139.001,audio_features,3FJvuQk96kGA6HC9YTueSn,spotify:track:3FJvuQk96kGA6HC9YTueSn,https://api.spotify.com/v1/tracks/3FJvuQk96kGA6HC9YTueSn,https://api.spotify.com/v1/audio-analysis/3FJvuQk96kGA6HC9YTueSn,374183,4
0.663,0.971,11,-6.307,0,0.0511,0.00339,0.911,0.26,0.0777,139.992,audio_features,6XyOgr46CtWkGMyjDJEYeJ,spotify:track:6XyOgr46CtWkGMyjDJEYeJ,https://api.spotify.com/v1/tracks/6XyOgr46CtWkGMyjDJEYeJ,https://api.spotify.com/v1/audio-analysis/6XyOgr46CtWkGMyjDJEYeJ,298240,4
0.741,0.905,0,-6.125,0,0.0558,0.086,0.883,0.0965,0.14,134.001,audio_features,4jqN3KRsKle122Y1mZu5Tz,spotify:track:4jqN3KRsKle122Y1mZu5Tz,https://api.spotify.com/v1/tracks/4jqN3KRsKle122Y1mZu5Tz,https://api.spotify.com/v1/audio-analysis/4jqN3KRsKle122Y1mZu5Tz,333374,4
0.771,0.76,9,-8.677,0,0.0536,0.00707,0.849,0.0606,0.742,128.996,audio_features,4OGZUfctkae6Bm4TRTrR3O,spotify:track:4OGZUfctkae6Bm4TRTrR3O,https://api.spotify.com/v1/tracks/4OGZUfctkae6Bm4TRTrR3O,https://api.spotify.com/v1/audio-analysis/4OGZUfctkae6Bm4TRTrR3O,328367,4
0.825,0.797,9,-8.717,0,0.0807,0.229,0.861,0.0531,0.615,128.995,audio_features,3Yz6qRP2KrLGm9iZXdancT,spotify:track:3Yz6qRP2KrLGm9iZXdancT,https://api.spotify.com/v1/tracks/3Yz6qRP2KrLGm9iZXdancT,https://api.spotify.com/v1/audio-analysis/3Yz6qRP2KrLGm9iZXdancT,327442,4
