danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.566,0.774,6,-9.427,0,0.0644,0.0284,0.896,0.0562,0.0288,124.988,audio_features,7LHqxlhat0OIf3gCOGnOGr,spotify:track:7LHqxlhat0OIf3gCOGnOGr,https://api.spotify.com/v1/tracks/7LHqxlhat0OIf3gCOGnOGr,https://api.spotify.com/v1/audio-analysis/7LHqxlhat0OIf3gCOGnOGr,445440,4
0.566,0.854,11,-10.297,0,0.0624,0.129,0.89,0.0641,0.0365,124.944,audio_features,6Tsu0E4Z7mGMKrpYVTePiu,spotify:track:6Tsu0E4Z7mGMKrpYVTePiu,https://api.spotify.com/v1/tracks/6Tsu0E4Z7mGMKrpYVTePiu,https://api.spotify.com/v1/audio-analysis/6Tsu0E4Z7mGMKrpYVTePiu,239850,4
0.542,0.753,6,-11.047,0,0.0561,0.0419,0.888,0.0882,0.0324,124.979,audio_features,2zwbp0RhMAt3ZpIzp0GTyv,spotify:track:2zwbp0RhMAt3ZpIzp0GTyv,https://api.spotify.com/v1/tracks/2zwbp0RhMAt3ZpIzp0GTyv,https://api.spotify.com/v1/audio-analysis/2zwbp0RhMAt3ZpIzp0GTyv,445360,4
0.608,0.936,0,-8.102,0,0.0559,0.00611,0.419,0.192,0.101,134.974,audio_features,7B5NyuAKnhLj0aasbRpaIp,spotify:track:7B5NyuAKnhLj0aasbRpaIp,https://api.spotify.com/v1/tracks/7B5NyuAKnhLj0aasbRpaIp,https://api.spotify.com/v1/audio-analysis/7B5NyuAKnhLj0aasbRpaIp,225000,4
0.702,0.896,1,-8.573,1,0.0485,0.00154,0.887,0.25,0.408,144.047,audio_features,0JhWSndXoTT6SOVhHkMOj3,spotify:track:0JhWSndXoTT6SOVhHkMOj3,https://api.spotify.com/v1/tracks/0JhWSndXoTT6SOVhHkMOj3,https://api.spotify.com/v1/audio-analysis/0JhWSndXoTT6SOVhHkMOj3,367187,4
0.789,0.835,7,-10.216,1,0.0516,0.00912,0.896,0.107,0.239,133.992,audio_features,3CXLGRODlXbTkXUEvsi7Xu,spotify:track:3CXLGRODlXbTkXUEvsi7Xu,https://api.spotify.com/v1/tracks/3CXLGRODlXbTkXUEvsi7Xu,https://api.spotify.com/v1/audio-analysis/3CXLGRODlXbTkXUEvsi7Xu,330667,4
0.788,0.792,9,-12.489,0,0.0719,0.0353,0.913,0.0706,0.306,137.044,audio_features,3FcHAwp0MF11vS8Qk9SnAk,spotify:track:3FcHAwp0MF11vS8Qk9SnAk,https://api.spotify.com/v1/tracks/3FcHAwp0MF11vS8Qk9SnAk,https://api.spotify.com/v1/audio-analysis/3FcHAwp0MF11vS8Qk9SnAk,308667,4
0.795,0.862,6,-12.195,0,0.0631,0.114,0.904,0.0915,0.473,133.989,audio_features,7Jc5bhVmS8ykGBDOSL3wSV,spotify:track:7Jc5bhVmS8ykGBDOSL3wSV,https://api.spotify.com/v1/tracks/7Jc5bhVmS8ykGBDOSL3wSV,https://api.spotify.com/v1/audio-analysis/7Jc5bhVmS8ykGBDOSL3wSV,286880,4
0.804,0.796,7,-12.995,1,0.123,0.000934,0.914,0.0577,0.638,134.99,audio_features,1qjCAUOluY23J6KpxCUBjI,spotify:track:1qjCAUOluY23J6KpxCUBjI,https://api.spotify.com/v1/tracks/1qjCAUOluY23J6KpxCUBjI,https://api.spotify.com/v1/audio-analysis/1qjCAUOluY23J6KpxCUBjI,356013,4
0.67,0.97,9,-7.441,0,0.0327,0.0175,0.784,0.0848,0.648,129.995,audio_features,2NXe89CbqXHJvbdDWjPPfx,spotify:track:2NXe89CbqXHJvbdDWjPPfx,https://api.spotify.com/v1/tracks/2NXe89CbqXHJvbdDWjPPfx,https://api.spotify.com/v1/audio-analysis/2NXe89CbqXHJvbdDWjPPfx,210462,4
0.791,0.854,0,-9.042,1,0.0477,0.00287,0.923,0.0765,0.54,127.996,audio_features,5suY9xtl49KZVHxu4mHHLt,spotify:track:5suY9xtl49KZVHxu4mHHLt,https://api.spotify.com/v1/tracks/5suY9xtl49KZVHxu4mHHLt,https://api.spotify.com/v1/audio-analysis/5suY9xtl49KZVHxu4mHHLt,206769,4
