danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.466,0.605,0,-7.062,1,0.0329,0.223,2.68e-05,0.195,0.767,132.088,audio_features,30w3WBQp3YvmUquhiHtEkO,spotify:track:30w3WBQp3YvmUquhiHtEkO,https://api.spotify.com/v1/tracks/30w3WBQp3YvmUquhiHtEkO,https://api.spotify.com/v1/audio-analysis/30w3WBQp3YvmUquhiHtEkO,216213,4
0.726,0.551,8,-7.983,1,0.0288,0.0869,0.000234,0.108,0.803,106.218,audio_features,5PPrN7zj104wLUtAofZvwb,spotify:track:5PPrN7zj104wLUtAofZvwb,https://api.spotify.com/v1/tracks/5PPrN7zj104wLUtAofZvwb,https://api.spotify.com/v1/audio-analysis/5PPrN7zj104wLUtAofZvwb,228000,4
0.522,0.817,0,-6.17,1,0.0512,0.329,1.6e-06,0.0807,0.562,151.106,audio_features,5SfM1f729pv1DdiEcyDiex,spotify:track:5SfM1f729pv1DdiEcyDiex,https://api.spotify.com/v1/tracks/5SfM1f729pv1DdiEcyDiex,https://api.spotify.com/v1/audio-analysis/5SfM1f729pv1DdiEcyDiex,204693,4
0.535,0.542,3,-5.666,1,0.0291,0.566,0.0,0.289,0.592,75.103,audio_features,0PC5y1u4BlITKAUzYzxNme,spotify:track:0PC5y1u4BlITKAUzYzxNme,https://api.spotify.com/v1/tracks/0PC5y1u4BlITKAUzYzxNme,https://api.spotify.com/v1/audio-analysis/0PC5y1u4BlITKAUzYzxNme,208693,4
0.425,0.444,11,-7.937,0,0.0295,0.553,4.48e-05,0.147,0.306,154.542,audio_features,3KLupX8h15o4JcZXHBzLI5,spotify:track:3KLupX8h15o4JcZXHBzLI5,https://api.spotify.com/v1/tracks/3KLupX8h15o4JcZXHBzLI5,https://api.spotify.com/v1/audio-analysis/3KLupX8h15o4JcZXHBzLI5,216360,3
0.623,0.546,11,-6.436,0,0.0254,0.212,8.2e-05,0.24,0.593,94.204,audio_features,1R4nFxIiipVTeUSFdOnVIy,spotify:track:1R4nFxIiipVTeUSFdOnVIy,https://api.spotify.com/v1/tracks/1R4nFxIiipVTeUSFdOnVIy,https://api.spotify.com/v1/audio-analysis/1R4nFxIiipVTeUSFdOnVIy,242640,4
0.568,0.441,9,-6.684,0,0.0907,0.183,0.0,0.15,0.752,185.705,audio_features,3037O2Oi0HUAjiSuyOCksg,spotify:track:3037O2Oi0HUAjiSuyOCksg,https://api.spotify.com/v1/tracks/3037O2Oi0HUAjiSuyOCksg,https://api.spotify.com/v1/audio-analysis/3037O2Oi0HUAjiSuyOCksg,226840,4
0.584,0.561,8,-7.092,1,0.044,0.448,0.00589,0.0987,0.79,147.208,audio_features,2iAzigOFf61dLLPaiEDAcZ,spotify:track:2iAzigOFf61dLLPaiEDAcZ,https://api.spotify.com/v1/tracks/2iAzigOFf61dLLPaiEDAcZ,https://api.spotify.com/v1/audio-analysis/2iAzigOFf61dLLPaiEDAcZ,248307,4
0.598,0.712,4,-5.664,1,0.0301,0.276,1.5e-06,0.196,0.463,123.853,audio_features,2bqjZsEUgZztphxSlNFwr9,spotify:track:2bqjZsEUgZztphxSlNFwr9,https://api.spotify.com/v1/tracks/2bqjZsEUgZztphxSlNFwr9,https://api.spotify.com/v1/audio-analysis/2bqjZsEUgZztphxSlNFwr9,231440,4
0.437,0.811,9,-4.83,1,0.0464,0.157,0.0,0.127,0.882,141.775,audio_features,50fdCmEnHFzXAvaNvqy7vH,spotify:track:50fdCmEnHFzXAvaNvqy7vH,https://api.spotify.com/v1/tracks/50fdCmEnHFzXAvaNvqy7vH,https://api.spotify.com/v1/audio-analysis/50fdCmEnHFzXAvaNvqy7vH,200240,4
