danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.809,0.777,6,-8.677,0,0.0498,0.016,0.83,0.0721,0.436,125.034,audio_features,74svMcorgPABViSTZka4yw,spotify:track:74svMcorgPABViSTZka4yw,https://api.spotify.com/v1/tracks/74svMcorgPABViSTZka4yw,https://api.spotify.com/v1/audio-analysis/74svMcorgPABViSTZka4yw,218880,4
0.809,0.953,1,-4.793,0,0.048,0.00439,0.312,0.312,0.873,125.008,audio_features,7Fbx8mVJy36dsVq9IYTRXu,spotify:track:7Fbx8mVJy36dsVq9IYTRXu,https://api.spotify.com/v1/tracks/7Fbx8mVJy36dsVq9IYTRXu,https://api.spotify.com/v1/audio-analysis/7Fbx8mVJy36dsVq9IYTRXu,153600,4
0.762,0.707,10,-7.306,0,0.0437,0.00251,0.00685,0.073,0.717,124.956,audio_features,3OZUrZBtQCiMmpoZquu0BS,spotify:track:3OZUrZBtQCiMmpoZquu0BS,https://api.spotify.com/v1/tracks/3OZUrZBtQCiMmpoZquu0BS,https://api.spotify.com/v1/audio-analysis/3OZUrZBtQCiMmpoZquu0BS,181801,4
0.735,0.718,10,-7.43,0,0.0351,0.000819,0.107,0.0283,0.648,124.986,audio_features,5jxTQAGvCAyJMzX4m75qdV,spotify:track:5jxTQAGvCAyJMzX4m75qdV,https://api.spotify.com/v1/tracks/5jxTQAGvCAyJMzX4m75qdV,https://api.spotify.com/v1/audio-analysis/5jxTQAGvCAyJMzX4m75qdV,373806,4
0.824,0.632,1,-8.974,1,0.221,0.0168,0.0101,0.0873,0.531,126.023,audio_features,2RGSxUmGuGCzSD8L42OsCm,spotify:track:2RGSxUmGuGCzSD8L42OsCm,https://api.spotify.com/v1/tracks/2RGSxUmGuGCzSD8L42OsCm,https://api.spotify.com/v1/audio-analysis/2RGSxUmGuGCzSD8L42OsCm,235068,4
0.505,0.825,1,-8.538,0,0.139,0.0108,0.00287,0.337,0.124,127.87,audio_features,3g6Exf4JDopOHaG3BSfq7R,spotify:track:3g6Exf4JDopOHaG3BSfq7R,https://api.spotify.com/v1/tracks/3g6Exf4JDopOHaG3BSfq7R,https://api.spotify.com/v1/audio-analysis/3g6Exf4JDopOHaG3BSfq7R,188013,4
0.841,0.824,10,-6.979,0,0.0385,0.00246,0.0424,0.0726,0.434,126.027,audio_features,2u6OIvYb4DJuRyach4wSds,spotify:track:2u6OIvYb4DJuRyach4wSds,https://api.spotify.com/v1/tracks/2u6OIvYb4DJuRyach4wSds,https://api.spotify.com/v1/audio-analysis/2u6OIvYb4DJuRyach4wSds,210474,4
0.691,0.849,1,-8.735,0,0.0456,0.0453,0.49,0.106,0.0345,123.978,audio_features,4gJMsAYnnwNBsrhqjLWbWi,spotify:track:4gJMsAYnnwNBsrhqjLWbWi,https://api.spotify.com/v1/tracks/4gJMsAYnnwNBsrhqjLWbWi,https://api.spotify.com/v1/audio-analysis/4gJMsAYnnwNBsrhqjLWbWi,282461,4
0.725,0.797,11,-6.023,0,0.03,0.00402,0.251,0.102,0.794,127.986,audio_features,743Z9dqcsvh0dSewQA2IH9,spotify:track:743Z9dqcsvh0dSewQA2IH9,https://api.spotify.com/v1/tracks/743Z9dqcsvh0dSewQA2IH9,https://api.spotify.com/v1/audio-analysis/743Z9dqcsvh0dSewQA2IH9,159375,4
0.579,0.987,9,-4.069,0,0.0706,0.000243,0.744,0.129,0.343,125.021,audio_features,6EJuJAg1Ydjkoj9SCwMUyN,spotify:track:6EJuJAg1Ydjkoj9SCwMUyN,https://api.spotify.com/v1/tracks/6EJuJAg1Ydjkoj9SCwMUyN,https://api.spotify.com/v1/audio-analysis/6EJuJAg1Ydjkoj9SCwMUyN,174600,4
