danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.479,0.793,7,-11.515,0,0.0481,0.031,0.398,0.0822,0.403,112.13,audio_features,21BxZ4jL908jasBK4t1HqU,spotify:track:21BxZ4jL908jasBK4t1HqU,https://api.spotify.com/v1/tracks/21BxZ4jL908jasBK4t1HqU,https://api.spotify.com/v1/audio-analysis/21BxZ4jL908jasBK4t1HqU,410360,4
0.626,0.718,11,-12.05,0,0.0305,0.0193,0.00102,0.0566,0.783,114.799,audio_features,1G5cCZhEI67suiGvSWAiZz,spotify:track:1G5cCZhEI67suiGvSWAiZz,https://api.spotify.com/v1/tracks/1G5cCZhEI67suiGvSWAiZz,https://api.spotify.com/v1/audio-analysis/1G5cCZhEI67suiGvSWAiZz,212840,4
0.549,0.425,9,-15.87,0,0.0292,0.404,0.337,0.362,0.507,82.101,audio_features,6g5yxNUBisdqOqBLHeWQFc,spotify:track:6g5yxNUBisdqOqBLHeWQFc,https://api.spotify.com/v1/tracks/6g5yxNUBisdqOqBLHeWQFc,https://api.spotify.com/v1/audio-analysis/6g5yxNUBisdqOqBLHeWQFc,393987,4
0.468,0.686,4,-10.579,0,0.0307,0.0134,0.000479,0.163,0.305,111.099,audio_features,5Pmpq3bZzrjT9HuYbvMviP,spotify:track:5Pmpq3bZzrjT9HuYbvMviP,https://api.spotify.com/v1/tracks/5Pmpq3bZzrjT9HuYbvMviP,https://api.spotify.com/v1/audio-analysis/5Pmpq3bZzrjT9HuYbvMviP,460293,4
0.572,0.61,2,-12.196,0,0.029,0.494,0.00523,0.31,0.632,108.205,audio_features,2ZruV6ScmYZOThthc9P8DU,spotify:track:2ZruV6ScmYZOThthc9P8DU,https://api.spotify.com/v1/tracks/2ZruV6ScmYZOThthc9P8DU,https://api.spotify.com/v1/audio-analysis/2ZruV6ScmYZOThthc9P8DU,310560,4
0.553,0.794,6,-12.635,0,0.0425,0.226,0.0378,0.0904,0.558,128.176,audio_features,5QhM82aoKuEdqbMHcI617o,spotify:track:5QhM82aoKuEdqbMHcI617o,https://api.spotify.com/v1/tracks/5QhM82aoKuEdqbMHcI617o,https://api.spotify.com/v1/audio-analysis/5QhM82aoKuEdqbMHcI617o,261960,4
0.526,0.763,0,-12.663,0,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,audio_features,4QlzkaRHtU8gAdwqjWmO8n,spotify:track:4QlzkaRHtU8gAdwqjWmO8n,https://api.spotify.com/v1/tracks/4QlzkaRHtU8gAdwqjWmO8n,https://api.spotify.com/v1/audio-analysis/4QlzkaRHtU8gAdwqjWmO8n,215160,4
0.385,0.364,5,-16.837,1,0.0309,0.28,0.441,0.164,0.299,150.285,audio_features,5nLm64g8n5cremnDIXQXhx,spotify:track:5nLm64g8n5cremnDIXQXhx,https://api.spotify.com/v1/tracks/5nLm64g8n5cremnDIXQXhx,https://api.spotify.com/v1/audio-analysis/5nLm64g8n5cremnDIXQXhx,330800,4
0.53,0.592,9,-13.444,1,0.0309,0.189,0.00174,0.198,0.795,150.224,audio_features,7mEGddVRDdESAibWOnbXoA,spotify:track:7mEGddVRDdESAibWOnbXoA,https://api.spotify.com/v1/tracks/7mEGddVRDdESAibWOnbXoA,https://api.spotify.com/v1/audio-analysis/7mEGddVRDdESAibWOnbXoA,312240,4
0.423,0.866,4,-10.836,0,0.0638,0.0399,0.0,0.529,0.479,134.105,audio_features,7zfWLBusOcdVFBb0LhNSH5,spotify:track:7zfWLBusOcdVFBb0LhNSH5,https://api.spotify.com/v1/tracks/7zfWLBusOcdVFBb0LhNSH5,https://api.spotify.com/v1/audio-analysis/7zfWLBusOcdVFBb0LhNSH5,349800,4
0.495,0.291,9,-19.429,1,0.0293,0.562,0.452,0.1,0.52,79.059,audio_features,69MyxFlOm2ennzuE2FqeM1,spotify:track:69MyxFlOm2ennzuE2FqeM1,https://api.spotify.com/v1/tracks/69MyxFlOm2ennzuE2FqeM1,https://api.spotify.com/v1/audio-analysis/69MyxFlOm2ennzuE2FqeM1,279827,4
0.268,0.758,5,-10.158,1,0.0461,0.00482,0.313,0.65,0.223,172.262,audio_features,5ELqecopclWlmb0nrEpAv8,spotify:track:5ELqecopclWlmb0nrEpAv8,https://api.spotify.com/v1/tracks/5ELqecopclWlmb0nrEpAv8,https://api.spotify.com/v1/audio-analysis/5ELqecopclWlmb0nrEpAv8,405107,4
0.32,0.871,2,-6.733,1,0.0606,0.0145,0.0,0.4,0.662,147.56,audio_features,7IgHTB9VMPwziPobbBbgfq,spotify:track:7IgHTB9VMPwziPobbBbgfq,https://api.spotify.com/v1/tracks/7IgHTB9VMPwziPobbBbgfq,https://api.spotify.com/v1/audio-analysis/7IgHTB9VMPwziPobbBbgfq,226680,4
0.491,0.514,7,-10.88,1,0.0355,0.0309,0.00058,0.478,0.555,97.005,audio_features,1pZcZCFoz8uJvLH2Hg3iEd,spotify:track:1pZcZCFoz8uJvLH2Hg3iEd,https://api.spotify.com/v1/tracks/1pZcZCFoz8uJvLH2Hg3iEd,https://api.spotify.com/v1/audio-analysis/1pZcZCFoz8uJvLH2Hg3iEd,191360,4
0.314,0.797,0,-9.026,1,0.038,0.0057,5.59e-05,0.0718,0.569,145.393,audio_features,2fXKyAyPrEa24c6PJyqznF,spotify:track:2fXKyAyPrEa24c6PJyqznF,https://api.spotify.com/v1/tracks/2fXKyAyPrEa24c6PJyqznF,https://api.spotify.com/v1/audio-analysis/2fXKyAyPrEa24c6PJyqznF,351627,4
0.512,0.864,8,-8.14,1,0.0533,0.00129,0.0592,0.0857,0.183,129.917,audio_features,0NWnWSkFT6p01JDgmQxbTT,spotify:track:0NWnWSkFT6p01JDgmQxbTT,https://api.spotify.com/v1/tracks/0NWnWSkFT6p01JDgmQxbTT,https://api.spotify.com/v1/audio-analysis/0NWnWSkFT6p01JDgmQxbTT,355240,4
0.565,0.902,7,-7.579,0,0.0725,0.0132,0.0,0.0561,0.544,133.11,audio_features,2aC8wwfrM0YeTAzzk8hxqC,spotify:track:2aC8wwfrM0YeTAzzk8hxqC,https://api.spotify.com/v1/tracks/2aC8wwfrM0YeTAzzk8hxqC,https://api.spotify.com/v1/audio-analysis/2aC8wwfrM0YeTAzzk8hxqC,273573,4
0.366,0.688,9,-9.059,0,0.0339,0.00418,9.69e-06,0.102,0.304,94.589,audio_features,1GhXBQUNGCPKku01faaMQi,spotify:track:1GhXBQUNGCPKku01faaMQi,https://api.spotify.com/v1/tracks/1GhXBQUNGCPKku01faaMQi,https://api.spotify.com/v1/audio-analysis/1GhXBQUNGCPKku01faaMQi,210293,4
0.537,0.675,7,-8.332,1,0.0309,0.0226,0.0188,0.355,0.384,120.543,audio_features,05FgZdqxXg40X0WG8MmWMA,spotify:track:05FgZdqxXg40X0WG8MmWMA,https://api.spotify.com/v1/tracks/05FgZdqxXg40X0WG8MmWMA,https://api.spotify.com/v1/audio-analysis/05FgZdqxXg40X0WG8MmWMA,198573,4
0.373,0.768,0,-9.39,1,0.0637,0.272,3.14e-06,0.361,0.527,91.785,audio_features,6OiWR0dBoVnd0NpD0kCijF,spotify:track:6OiWR0dBoVnd0NpD0kCijF,https://api.spotify.com/v1/tracks/6OiWR0dBoVnd0NpD0kCijF,https://api.spotify.com/v1/audio-analysis/6OiWR0dBoVnd0NpD0kCijF,227827,4
