danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.528,0.309,0,-7.398,1,0.0329,0.924,2.1e-06,0.282,0.307,133.83,audio_features,6N1K5OVVCopBjGViHs2IvP,spotify:track:6N1K5OVVCopBjGViHs2IvP,https://api.spotify.com/v1/tracks/6N1K5OVVCopBjGViHs2IvP,https://api.spotify.com/v1/audio-analysis/6N1K5OVVCopBjGViHs2IvP,185422,4
0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-06,0.117,0.651,160.036,audio_features,0IuVhCflrQPMGRrOyoY5RW,spotify:track:0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/tracks/0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/audio-analysis/0IuVhCflrQPMGRrOyoY5RW,206772,4
0.572,0.63,4,-7.689,1,0.349,0.158,0.0,0.151,0.439,86.906,audio_features,7nd7WBRh2mq2gZLzsQYgO6,spotify:track:7nd7WBRh2mq2gZLzsQYgO6,https://api.spotify.com/v1/tracks/7nd7WBRh2mq2gZLzsQYgO6,https://api.spotify.com/v1/audio-analysis/7nd7WBRh2mq2gZLzsQYgO6,205759,4
0.612,0.872,1,-4.938,1,0.197,0.0484,0.0,0.0862,0.587,90.883,audio_features,0MrI5860scv6Zhv8eJlLjY,spotify:track:0MrI5860scv6Zhv8eJlLjY,https://api.spotify.com/v1/tracks/0MrI5860scv6Zhv8eJlLjY,https://api.spotify.com/v1/audio-analysis/0MrI5860scv6Zhv8eJlLjY,237253,4
0.885,0.608,1,-5.372,1,0.31,0.0111,0.0,0.078,0.256,140.025,audio_features,0HnaYLg5xFoG539bCbQEMf,spotify:track:0HnaYLg5xFoG539bCbQEMf,https://api.spotify.com/v1/tracks/0HnaYLg5xFoG539bCbQEMf,https://api.spotify.com/v1/audio-analysis/0HnaYLg5xFoG539bCbQEMf,191786,4
0.343,0.19,10,-21.982,0,0.0853,0.923,0.859,0.129,0.0792,76.146,audio_features,1kXKHIV7bdjnPRTykhbsRj,spotify:track:1kXKHIV7bdjnPRTykhbsRj,https://api.spotify.com/v1/tracks/1kXKHIV7bdjnPRTykhbsRj,https://api.spotify.com/v1/audio-analysis/1kXKHIV7bdjnPRTykhbsRj,50724,4
0.77,0.559,8,-7.895,1,0.31,0.0268,0.0,0.0829,0.19,152.964,audio_features,38EMs44DpiWdDEk246yt8T,spotify:track:38EMs44DpiWdDEk246yt8T,https://api.spotify.com/v1/tracks/38EMs44DpiWdDEk246yt8T,https://api.spotify.com/v1/audio-analysis/38EMs44DpiWdDEk246yt8T,276278,4
0.737,0.643,1,-6.675,0,0.318,0.461,1.72e-06,0.203,0.473,92.955,audio_features,7vyTbu85iohUtoHcbrVaNW,spotify:track:7vyTbu85iohUtoHcbrVaNW,https://api.spotify.com/v1/tracks/7vyTbu85iohUtoHcbrVaNW,https://api.spotify.com/v1/audio-analysis/7vyTbu85iohUtoHcbrVaNW,244485,4
0.809,0.605,5,-5.871,0,0.211,0.069,0.0,0.0688,0.564,124.1,audio_features,67RNSpjKQqeuwUwaeHnAD0,spotify:track:67RNSpjKQqeuwUwaeHnAD0,https://api.spotify.com/v1/tracks/67RNSpjKQqeuwUwaeHnAD0,https://api.spotify.com/v1/audio-analysis/67RNSpjKQqeuwUwaeHnAD0,157807,4
0.768,0.683,1,-5.752,1,0.428,0.0129,0.0,0.0643,0.335,86.124,audio_features,5X8oSrRZNODNpngjOQu2SY,spotify:track:5X8oSrRZNODNpngjOQu2SY,https://api.spotify.com/v1/tracks/5X8oSrRZNODNpngjOQu2SY,https://api.spotify.com/v1/audio-analysis/5X8oSrRZNODNpngjOQu2SY,128429,4
0.502,0.636,5,-5.569,0,0.378,0.196,0.0,0.229,0.616,75.634,audio_features,7iWsS8TedT8qRIGuMoVAC3,spotify:track:7iWsS8TedT8qRIGuMoVAC3,https://api.spotify.com/v1/tracks/7iWsS8TedT8qRIGuMoVAC3,https://api.spotify.com/v1/audio-analysis/7iWsS8TedT8qRIGuMoVAC3,209383,4
0.856,0.669,6,-5.863,0,0.319,0.0289,0.0,0.106,0.718,100.059,audio_features,0BFgqdglqu7eflMDThlkgs,spotify:track:0BFgqdglqu7eflMDThlkgs,https://api.spotify.com/v1/tracks/0BFgqdglqu7eflMDThlkgs,https://api.spotify.com/v1/audio-analysis/0BFgqdglqu7eflMDThlkgs,166875,4
0.885,0.665,9,-6.448,1,0.279,0.00942,0.0,0.674,0.753,101.912,audio_features,22uQ9rCpg8X9nJg5zahFE3,spotify:track:22uQ9rCpg8X9nJg5zahFE3,https://api.spotify.com/v1/tracks/22uQ9rCpg8X9nJg5zahFE3,https://api.spotify.com/v1/audio-analysis/22uQ9rCpg8X9nJg5zahFE3,166539,4
