danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.733,0.808,7,-8.44,1,0.0772,0.0954,0.107,0.368,0.888,132.278,audio_features,07fFRfFUXKn3oaVfTKr4hs,spotify:track:07fFRfFUXKn3oaVfTKr4hs,https://api.spotify.com/v1/tracks/07fFRfFUXKn3oaVfTKr4hs,https://api.spotify.com/v1/audio-analysis/07fFRfFUXKn3oaVfTKr4hs,517199,4
0.7,0.725,4,-11.433,0,0.0492,0.0439,0.851,0.125,0.129,116.824,audio_features,0vryyKyxCFXT0gg670yNEw,spotify:track:0vryyKyxCFXT0gg670yNEw,https://api.spotify.com/v1/tracks/0vryyKyxCFXT0gg670yNEw,https://api.spotify.com/v1/audio-analysis/0vryyKyxCFXT0gg670yNEw,403706,4
0.56,0.854,10,-7.816,0,0.0436,0.503,0.711,0.124,0.271,128.746,audio_features,5UkhqxsDdchwUfhIOCYpt1,spotify:track:5UkhqxsDdchwUfhIOCYpt1,https://api.spotify.com/v1/tracks/5UkhqxsDdchwUfhIOCYpt1,https://api.spotify.com/v1/audio-analysis/5UkhqxsDdchwUfhIOCYpt1,587107,4
0.796,0.526,1,-13.176,1,0.0857,0.0182,0.687,0.0974,0.473,130.159,audio_features,3frnCVXTeupKdUUJtniIzt,spotify:track:3frnCVXTeupKdUUJtniIzt,https://api.spotify.com/v1/tracks/3frnCVXTeupKdUUJtniIzt,https://api.spotify.com/v1/audio-analysis/3frnCVXTeupKdUUJtniIzt,49947,4
0.791,0.949,11,-9.189,0,0.0633,2.46e-05,0.9,0.0309,0.825,134.096,audio_features,0hXZUhr7FrKaDHVIokMZfH,spotify:track:0hXZUhr7FrKaDHVIokMZfH,https://api.spotify.com/v1/tracks/0hXZUhr7FrKaDHVIokMZfH,https://api.spotify.com/v1/audio-analysis/0hXZUhr7FrKaDHVIokMZfH,266053,4
0.694,0.495,8,-12.845,0,0.0627,0.358,0.902,0.0492,0.0364,130.229,audio_features,5UrFMWDf1p78f2NCY18H28,spotify:track:5UrFMWDf1p78f2NCY18H28,https://api.spotify.com/v1/tracks/5UrFMWDf1p78f2NCY18H28,https://api.spotify.com/v1/audio-analysis/5UrFMWDf1p78f2NCY18H28,91067,4
0.763,0.973,8,-8.928,0,0.0696,0.0751,0.884,0.0972,0.707,128.986,audio_features,3BcFcJUfnBh3nmwvg6ra3g,spotify:track:3BcFcJUfnBh3nmwvg6ra3g,https://api.spotify.com/v1/tracks/3BcFcJUfnBh3nmwvg6ra3g,https://api.spotify.com/v1/audio-analysis/3BcFcJUfnBh3nmwvg6ra3g,432587,4
0.778,0.932,2,-9.185,1,0.0859,0.000658,0.873,0.0472,0.439,135.259,audio_features,5SzPgr0QwHjjeY7U1aNqBm,spotify:track:5SzPgr0QwHjjeY7U1aNqBm,https://api.spotify.com/v1/tracks/5SzPgr0QwHjjeY7U1aNqBm,https://api.spotify.com/v1/audio-analysis/5SzPgr0QwHjjeY7U1aNqBm,57747,4
0.711,0.937,2,-7.809,1,0.0587,0.000287,0.945,0.121,0.966,127.059,audio_features,2zGwA60byxEWlt4FeVxwet,spotify:track:2zGwA60byxEWlt4FeVxwet,https://api.spotify.com/v1/tracks/2zGwA60byxEWlt4FeVxwet,https://api.spotify.com/v1/audio-analysis/2zGwA60byxEWlt4FeVxwet,397613,4
0.757,0.959,6,-7.834,1,0.206,4.88e-05,0.898,0.0446,0.0495,135.007,audio_features,1q0kr0k8RsIN2JBzDoT8o0,spotify:track:1q0kr0k8RsIN2JBzDoT8o0,https://api.spotify.com/v1/tracks/1q0kr0k8RsIN2JBzDoT8o0,https://api.spotify.com/v1/audio-analysis/1q0kr0k8RsIN2JBzDoT8o0,67200,4
