danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.381,0.678,0,-13.532,1,0.427,0.0565,0.0,0.232,0.134,72.949,audio_features,0GQQzmMNA7JE4tOdcSFh1C,spotify:track:0GQQzmMNA7JE4tOdcSFh1C,https://api.spotify.com/v1/tracks/0GQQzmMNA7JE4tOdcSFh1C,https://api.spotify.com/v1/audio-analysis/0GQQzmMNA7JE4tOdcSFh1C,41053,5
0.939,0.486,7,-3.488,1,0.207,0.172,0.0,0.264,0.517,97.582,audio_features,1iQ5E4z6CJ38dIzvMI9Wdo,spotify:track:1iQ5E4z6CJ38dIzvMI9Wdo,https://api.spotify.com/v1/tracks/1iQ5E4z6CJ38dIzvMI9Wdo,https://api.spotify.com/v1/audio-analysis/1iQ5E4z6CJ38dIzvMI9Wdo,206547,4
0.876,0.573,0,-3.764,1,0.431,0.294,0.0,0.121,0.756,92.236,audio_features,4FI0rdztOAYJZMupujL5Gp,spotify:track:4FI0rdztOAYJZMupujL5Gp,https://api.spotify.com/v1/tracks/4FI0rdztOAYJZMupujL5Gp,https://api.spotify.com/v1/audio-analysis/4FI0rdztOAYJZMupujL5Gp,205453,4
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,audio_features,503OTo2dSqe7qk76rgsbep,spotify:track:503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep,https://api.spotify.com/v1/audio-analysis/503OTo2dSqe7qk76rgsbep,270587,4
0.827,0.81,4,-1.257,0,0.223,0.57,1.28e-05,0.2,0.524,88.69,audio_features,2BMRUAA1oTc7e9JPlr6xbZ,spotify:track:2BMRUAA1oTc7e9JPlr6xbZ,https://api.spotify.com/v1/tracks/2BMRUAA1oTc7e9JPlr6xbZ,https://api.spotify.com/v1/audio-analysis/2BMRUAA1oTc7e9JPlr6xbZ,238307,4
0.765,0.88,1,-4.361,1,0.116,0.176,1e-05,0.139,0.929,168.96,audio_features,0Ed7MeXx64f6OcIuoTRCg1,spotify:track:0Ed7MeXx64f6OcIuoTRCg1,https://api.spotify.com/v1/tracks/0Ed7MeXx64f6OcIuoTRCg1,https://api.spotify.com/v1/audio-analysis/0Ed7MeXx64f6OcIuoTRCg1,215200,4
0.772,0.821,11,-0.14,0,0.25,0.223,0.0,0.148,0.77,91.921,audio_features,1SWVDBtw6h3tm9OehOkDhv,spotify:track:1SWVDBtw6h3tm9OehOkDhv,https://api.spotify.com/v1/tracks/1SWVDBtw6h3tm9OehOkDhv,https://api.spotify.com/v1/audio-analysis/1SWVDBtw6h3tm9OehOkDhv,244200,4
0.813,0.796,2,-8.545,0,0.308,0.203,0.0,0.257,0.871,81.328,audio_features,0WWem437MQdylQuXxzE80H,spotify:track:0WWem437MQdylQuXxzE80H,https://api.spotify.com/v1/tracks/0WWem437MQdylQuXxzE80H,https://api.spotify.com/v1/audio-analysis/0WWem437MQdylQuXxzE80H,50653,4
0.865,0.797,1,-2.44,0,0.18,0.066,3.24e-05,0.141,0.877,86.375,audio_features,1WvuZsXHaH2qNAtvrQY6SX,spotify:track:1WvuZsXHaH2qNAtvrQY6SX,https://api.spotify.com/v1/tracks/1WvuZsXHaH2qNAtvrQY6SX,https://api.spotify.com/v1/audio-analysis/1WvuZsXHaH2qNAtvrQY6SX,160973,4
0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,audio_features,7iXF2W9vKmDoGAhlHdpyIa,spotify:track:7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/tracks/7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/audio-analysis/7iXF2W9vKmDoGAhlHdpyIa,222293,4
0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,audio_features,4LwU4Vp6od3Sb08CsP99GC,spotify:track:4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507,4
0.905,0.85,4,-2.795,0,0.331,0.055,0.0,0.0903,0.498,99.375,audio_features,0EZMXJMWf0tLKRWwCiA6Sx,spotify:track:0EZMXJMWf0tLKRWwCiA6Sx,https://api.spotify.com/v1/tracks/0EZMXJMWf0tLKRWwCiA6Sx,https://api.spotify.com/v1/audio-analysis/0EZMXJMWf0tLKRWwCiA6Sx,147427,4
0.695,0.717,11,-1.454,0,0.395,0.359,0.0,0.277,0.61,75.888,audio_features,5XkeTGKcCkGF8l6fA9YpsS,spotify:track:5XkeTGKcCkGF8l6fA9YpsS,https://api.spotify.com/v1/tracks/5XkeTGKcCkGF8l6fA9YpsS,https://api.spotify.com/v1/audio-analysis/5XkeTGKcCkGF8l6fA9YpsS,253560,1
0.538,0.85,5,-9.413,0,0.854,0.675,0.0,0.36,0.459,87.816,audio_features,4PX9Ga99IMqlbgKucTxupc,spotify:track:4PX9Ga99IMqlbgKucTxupc,https://api.spotify.com/v1/tracks/4PX9Ga99IMqlbgKucTxupc,https://api.spotify.com/v1/audio-analysis/4PX9Ga99IMqlbgKucTxupc,60893,1
0.781,0.898,11,-1.157,0,0.274,0.0234,2.79e-05,0.503,0.838,88.152,audio_features,0zkE78jc1kjLXrTYd9ZxpO,spotify:track:0zkE78jc1kjLXrTYd9ZxpO,https://api.spotify.com/v1/tracks/0zkE78jc1kjLXrTYd9ZxpO,https://api.spotify.com/v1/audio-analysis/0zkE78jc1kjLXrTYd9ZxpO,148293,4
0.66,0.868,1,-3.229,1,0.502,0.458,0.0,0.453,0.602,168.791,audio_features,0J2u6TAolef5gZEVy1HErU,spotify:track:0J2u6TAolef5gZEVy1HErU,https://api.spotify.com/v1/tracks/0J2u6TAolef5gZEVy1HErU,https://api.spotify.com/v1/audio-analysis/0J2u6TAolef5gZEVy1HErU,92147,3
0.818,0.473,5,-2.733,1,0.397,0.125,0.0,0.0741,0.717,88.824,audio_features,4VZPYvMTByQytb6F3MKP4w,spotify:track:4VZPYvMTByQytb6F3MKP4w,https://api.spotify.com/v1/tracks/4VZPYvMTByQytb6F3MKP4w,https://api.spotify.com/v1/audio-analysis/4VZPYvMTByQytb6F3MKP4w,265213,4
0.485,0.701,1,-7.341,0,0.218,0.263,0.0,0.632,0.77,79.72,audio_features,6ALtdfVnklY8xp9bUBKVEP,spotify:track:6ALtdfVnklY8xp9bUBKVEP,https://api.spotify.com/v1/tracks/6ALtdfVnklY8xp9bUBKVEP,https://api.spotify.com/v1/audio-analysis/6ALtdfVnklY8xp9bUBKVEP,92680,4
