danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.676,0.784,5,-6.599,1,0.0334,0.212,0.00288,0.258,0.937,119.812,audio_features,6eFgjBTF91pOZTQ8t7xBHv,spotify:track:6eFgjBTF91pOZTQ8t7xBHv,https://api.spotify.com/v1/tracks/6eFgjBTF91pOZTQ8t7xBHv,https://api.spotify.com/v1/audio-analysis/6eFgjBTF91pOZTQ8t7xBHv,144000,4
0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,audio_features,1kPBT8S2wJFNAyBMnGVZgL,spotify:track:1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/tracks/1kPBT8S2wJFNAyBMnGVZgL,https://api.spotify.com/v1/audio-analysis/1kPBT8S2wJFNAyBMnGVZgL,156653,3
0.503,0.894,9,-5.54,1,0.12,0.558,8.35e-05,0.816,0.814,152.632,audio_features,7zRCm7ru2bfdpJltnlm6eI,spotify:track:7zRCm7ru2bfdpJltnlm6eI,https://api.spotify.com/v1/tracks/7zRCm7ru2bfdpJltnlm6eI,https://api.spotify.com/v1/audio-analysis/7zRCm7ru2bfdpJltnlm6eI,128160,4
0.38,0.548,8,-6.466,1,0.0372,0.695,0.0118,0.371,0.571,165.1,audio_features,1P5Tj780y4gKysIQVTIXzV,spotify:track:1P5Tj780y4gKysIQVTIXzV,https://api.spotify.com/v1/tracks/1P5Tj780y4gKysIQVTIXzV,https://api.spotify.com/v1/audio-analysis/1P5Tj780y4gKysIQVTIXzV,162507,3
0.451,0.444,0,-6.788,1,0.0393,0.577,4.7e-05,0.148,0.626,163.373,audio_features,717j3We3dcA2LGQv1wARE7,spotify:track:717j3We3dcA2LGQv1wARE7,https://api.spotify.com/v1/tracks/717j3We3dcA2LGQv1wARE7,https://api.spotify.com/v1/audio-analysis/717j3We3dcA2LGQv1wARE7,155187,3
0.601,0.591,2,-7.066,1,0.0367,0.456,0.000109,0.217,0.629,116.237,audio_features,6NHPTrW2SdGU5mcgyuomUH,spotify:track:6NHPTrW2SdGU5mcgyuomUH,https://api.spotify.com/v1/tracks/6NHPTrW2SdGU5mcgyuomUH,https://api.spotify.com/v1/audio-analysis/6NHPTrW2SdGU5mcgyuomUH,161640,4
0.694,0.726,1,-6.335,0,0.0446,0.383,5.59e-05,0.0897,0.853,111.483,audio_features,19tqWReLPd4VXEetDVArLT,spotify:track:19tqWReLPd4VXEetDVArLT,https://api.spotify.com/v1/tracks/19tqWReLPd4VXEetDVArLT,https://api.spotify.com/v1/audio-analysis/19tqWReLPd4VXEetDVArLT,150933,4
0.526,0.473,7,-7.673,1,0.0309,0.688,0.0,0.172,0.698,103.382,audio_features,0FRaTm2v2ylbAUDHBzTsfW,spotify:track:0FRaTm2v2ylbAUDHBzTsfW,https://api.spotify.com/v1/tracks/0FRaTm2v2ylbAUDHBzTsfW,https://api.spotify.com/v1/audio-analysis/0FRaTm2v2ylbAUDHBzTsfW,143227,3
0.684,0.693,7,-6.897,1,0.0298,0.32,6.66e-06,0.195,0.882,108.495,audio_features,5sqA8LMcuObIcCn8xWyFSp,spotify:track:5sqA8LMcuObIcCn8xWyFSp,https://api.spotify.com/v1/tracks/5sqA8LMcuObIcCn8xWyFSp,https://api.spotify.com/v1/audio-analysis/5sqA8LMcuObIcCn8xWyFSp,143693,4
0.464,0.484,10,-5.893,1,0.0285,0.675,0.000317,0.0903,0.348,80.812,audio_features,0QqlWusQ3clb3ZYxZdfb1c,spotify:track:0QqlWusQ3clb3ZYxZdfb1c,https://api.spotify.com/v1/tracks/0QqlWusQ3clb3ZYxZdfb1c,https://api.spotify.com/v1/audio-analysis/0QqlWusQ3clb3ZYxZdfb1c,148107,3
0.624,0.487,8,-6.872,0,0.0284,0.746,0.0,0.598,0.429,81.825,audio_features,6rgMZHoQKSkLLtj54Vv9KY,spotify:track:6rgMZHoQKSkLLtj54Vv9KY,https://api.spotify.com/v1/tracks/6rgMZHoQKSkLLtj54Vv9KY,https://api.spotify.com/v1/audio-analysis/6rgMZHoQKSkLLtj54Vv9KY,157347,3
0.69,0.588,7,-7.164,1,0.0632,0.638,0.0,0.0232,0.864,115.752,audio_features,5JU928QYZ8pB9VHuWzbx69,spotify:track:5JU928QYZ8pB9VHuWzbx69,https://api.spotify.com/v1/tracks/5JU928QYZ8pB9VHuWzbx69,https://api.spotify.com/v1/audio-analysis/5JU928QYZ8pB9VHuWzbx69,128147,4
0.173,0.0933,10,-20.036,1,0.0417,0.468,0.775,0.122,0.0363,144.358,audio_features,74zLuMblZGPBZm3CHgjrC5,spotify:track:74zLuMblZGPBZm3CHgjrC5,https://api.spotify.com/v1/tracks/74zLuMblZGPBZm3CHgjrC5,https://api.spotify.com/v1/audio-analysis/74zLuMblZGPBZm3CHgjrC5,61087,4
0.725,0.73,11,-6.736,0,0.0441,0.0202,0.00184,0.667,0.709,130.908,audio_features,52JMuYbqES4401sbcCUiuC,spotify:track:52JMuYbqES4401sbcCUiuC,https://api.spotify.com/v1/tracks/52JMuYbqES4401sbcCUiuC,https://api.spotify.com/v1/audio-analysis/52JMuYbqES4401sbcCUiuC,117709,4
0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,audio_features,1qDrWA6lyx8cLECdZE7TV7,spotify:track:1qDrWA6lyx8cLECdZE7TV7,https://api.spotify.com/v1/tracks/1qDrWA6lyx8cLECdZE7TV7,https://api.spotify.com/v1/audio-analysis/1qDrWA6lyx8cLECdZE7TV7,244885,4
0.597,0.862,5,-6.097,1,0.0382,0.193,0.0196,0.133,0.634,138.912,audio_features,5EjtHY6GPESVSqDrqBWWXY,spotify:track:5EjtHY6GPESVSqDrqBWWXY,https://api.spotify.com/v1/tracks/5EjtHY6GPESVSqDrqBWWXY,https://api.spotify.com/v1/audio-analysis/5EjtHY6GPESVSqDrqBWWXY,191262,4
0.58,0.894,10,-6.27,0,0.0737,0.0962,0.229,0.297,0.622,186.241,audio_features,7tF0g57CG25Ew3GX7wa67l,spotify:track:7tF0g57CG25Ew3GX7wa67l,https://api.spotify.com/v1/tracks/7tF0g57CG25Ew3GX7wa67l,https://api.spotify.com/v1/audio-analysis/7tF0g57CG25Ew3GX7wa67l,313186,3
0.661,0.858,9,-2.705,1,0.035,0.206,0.0,0.394,0.759,130.008,audio_features,1B0oQtoVocvVhiL8Td140Y,spotify:track:1B0oQtoVocvVhiL8Td140Y,https://api.spotify.com/v1/tracks/1B0oQtoVocvVhiL8Td140Y,https://api.spotify.com/v1/audio-analysis/1B0oQtoVocvVhiL8Td140Y,198477,4
