danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.481,0.195,9,-13.689,0,0.029,0.32,0.000111,0.0931,0.193,95.458,audio_features,1ivpUOTK6dsOG91j6bP9RR,spotify:track:1ivpUOTK6dsOG91j6bP9RR,https://api.spotify.com/v1/tracks/1ivpUOTK6dsOG91j6bP9RR,https://api.spotify.com/v1/audio-analysis/1ivpUOTK6dsOG91j6bP9RR,406373,4
0.712,0.654,8,-8.039,0,0.0667,0.0932,0.071,0.131,0.55,93.959,audio_features,616zusHts9mIswHJcCDVPv,spotify:track:616zusHts9mIswHJcCDVPv,https://api.spotify.com/v1/tracks/616zusHts9mIswHJcCDVPv,https://api.spotify.com/v1/audio-analysis/616zusHts9mIswHJcCDVPv,333387,4
0.432,0.175,0,-12.877,1,0.0296,0.798,0.0405,0.0974,0.0699,104.19,audio_features,5CKxhyUbKJCGfBkxgssvNZ,spotify:track:5CKxhyUbKJCGfBkxgssvNZ,https://api.spotify.com/v1/tracks/5CKxhyUbKJCGfBkxgssvNZ,https://api.spotify.com/v1/audio-analysis/5CKxhyUbKJCGfBkxgssvNZ,283547,3
0.736,0.711,3,-7.623,0,0.0503,0.0182,0.000798,0.158,0.709,123.165,audio_features,0xGKuYwIum3qUbJ2NgnwY8,spotify:track:0xGKuYwIum3qUbJ2NgnwY8,https://api.spotify.com/v1/tracks/0xGKuYwIum3qUbJ2NgnwY8,https://api.spotify.com/v1/audio-analysis/0xGKuYwIum3qUbJ2NgnwY8,316493,4
0.54,0.0945,4,-14.574,1,0.0314,0.855,0.0,0.195,0.202,103.533,audio_features,04aKChClEUxFBCdOG1rNCC,spotify:track:04aKChClEUxFBCdOG1rNCC,https://api.spotify.com/v1/tracks/04aKChClEUxFBCdOG1rNCC,https://api.spotify.com/v1/audio-analysis/04aKChClEUxFBCdOG1rNCC,232933,3
0.511,0.574,5,-7.016,1,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,audio_features,3nvuPQTw2zuFAVuLsC9IYQ,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,https://api.spotify.com/v1/tracks/3nvuPQTw2zuFAVuLsC9IYQ,https://api.spotify.com/v1/audio-analysis/3nvuPQTw2zuFAVuLsC9IYQ,280040,4
0.692,0.729,0,-11.895,1,0.0285,0.0135,0.00196,0.168,0.966,122.933,audio_features,4RuRJ2cfwOuU3yDG8tJcyk,spotify:track:4RuRJ2cfwOuU3yDG8tJcyk,https://api.spotify.com/v1/tracks/4RuRJ2cfwOuU3yDG8tJcyk,https://api.spotify.com/v1/audio-analysis/4RuRJ2cfwOuU3yDG8tJcyk,251960,4
0.743,0.331,0,-14.102,1,0.0275,0.0687,0.0104,0.0395,0.387,110.749,audio_features,289gA04ezTbomaHRvLK2eL,spotify:track:289gA04ezTbomaHRvLK2eL,https://api.spotify.com/v1/tracks/289gA04ezTbomaHRvLK2eL,https://api.spotify.com/v1/audio-analysis/289gA04ezTbomaHRvLK2eL,302627,4
0.337,0.169,3,-12.592,1,0.035,0.252,4.19e-06,0.132,0.299,82.438,audio_features,1SQJoU0N3uVIcoJy9PjJFB,spotify:track:1SQJoU0N3uVIcoJy9PjJFB,https://api.spotify.com/v1/tracks/1SQJoU0N3uVIcoJy9PjJFB,https://api.spotify.com/v1/audio-analysis/1SQJoU0N3uVIcoJy9PjJFB,278880,4
0.261,0.0885,4,-18.917,0,0.0371,0.819,0.00995,0.294,0.0996,119.288,audio_features,5X5jPi6QtH3kki6qyvv27G,spotify:track:5X5jPi6QtH3kki6qyvv27G,https://api.spotify.com/v1/tracks/5X5jPi6QtH3kki6qyvv27G,https://api.spotify.com/v1/audio-analysis/5X5jPi6QtH3kki6qyvv27G,345200,3
