danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,audio_features,4CeeEOM32jQcH3eN9Q2dGj,spotify:track:4CeeEOM32jQcH3eN9Q2dGj,https://api.spotify.com/v1/tracks/4CeeEOM32jQcH3eN9Q2dGj,https://api.spotify.com/v1/audio-analysis/4CeeEOM32jQcH3eN9Q2dGj,301920,4
0.436,0.876,10,-4.902,0,0.0647,3.33e-05,0.000104,0.205,0.512,157.044,audio_features,2mvffzYUJ9Ld9xhsF5DUjU,spotify:track:2mvffzYUJ9Ld9xhsF5DUjU,https://api.spotify.com/v1/tracks/2mvffzYUJ9Ld9xhsF5DUjU,https://api.spotify.com/v1/audio-analysis/2mvffzYUJ9Ld9xhsF5DUjU,255080,4
0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,audio_features,2RsAajgo0g7bMCHxwH3Sk0,spotify:track:2RsAajgo0g7bMCHxwH3Sk0,https://api.spotify.com/v1/tracks/2RsAajgo0g7bMCHxwH3Sk0,https://api.spotify.com/v1/audio-analysis/2RsAajgo0g7bMCHxwH3Sk0,218920,4
0.262,0.969,4,-4.675,1,0.0894,3.69e-06,0.00213,0.133,0.263,158.433,audio_features,3PyPpABRA2bTGhNwPd66H6,spotify:track:3PyPpABRA2bTGhNwPd66H6,https://api.spotify.com/v1/tracks/3PyPpABRA2bTGhNwPd66H6,https://api.spotify.com/v1/audio-analysis/3PyPpABRA2bTGhNwPd66H6,184040,4
0.678,0.656,7,-6.41,1,0.0381,0.00174,0.0,0.0631,0.485,123.207,audio_features,5vHLwhxxlGzmClMcxRRFPr,spotify:track:5vHLwhxxlGzmClMcxRRFPr,https://api.spotify.com/v1/tracks/5vHLwhxxlGzmClMcxRRFPr,https://api.spotify.com/v1/audio-analysis/5vHLwhxxlGzmClMcxRRFPr,257053,4
0.83,0.382,2,-11.231,0,0.0566,0.884,0.301,0.11,0.54,121.12,audio_features,2SJ38LDlkNjwWSUq98r4Q5,spotify:track:2SJ38LDlkNjwWSUq98r4Q5,https://api.spotify.com/v1/tracks/2SJ38LDlkNjwWSUq98r4Q5,https://api.spotify.com/v1/audio-analysis/2SJ38LDlkNjwWSUq98r4Q5,173853,4
0.285,0.979,2,-4.428,1,0.175,0.000144,0.0,0.334,0.108,182.7,audio_features,6oZYLz0vZy8HhqwioRYtTp,spotify:track:6oZYLz0vZy8HhqwioRYtTp,https://api.spotify.com/v1/tracks/6oZYLz0vZy8HhqwioRYtTp,https://api.spotify.com/v1/audio-analysis/6oZYLz0vZy8HhqwioRYtTp,142947,4
0.325,0.929,11,-5.625,0,0.0695,0.000129,2.22e-06,0.184,0.198,133.358,audio_features,0bTLGlCqwZXwJGWGE2Dywg,spotify:track:0bTLGlCqwZXwJGWGE2Dywg,https://api.spotify.com/v1/tracks/0bTLGlCqwZXwJGWGE2Dywg,https://api.spotify.com/v1/audio-analysis/0bTLGlCqwZXwJGWGE2Dywg,223880,4
0.341,0.964,11,-5.327,0,0.107,1.26e-05,0.000103,0.151,0.459,152.192,audio_features,1o5jmMhhk2UZ9YP1X5fXfj,spotify:track:1o5jmMhhk2UZ9YP1X5fXfj,https://api.spotify.com/v1/tracks/1o5jmMhhk2UZ9YP1X5fXfj,https://api.spotify.com/v1/audio-analysis/1o5jmMhhk2UZ9YP1X5fXfj,156427,4
0.367,0.981,11,-5.1,0,0.128,5.39e-06,0.0461,0.0822,0.205,165.21,audio_features,0w7k0ZhHzkfEBsDmwp49xA,spotify:track:0w7k0ZhHzkfEBsDmwp49xA,https://api.spotify.com/v1/tracks/0w7k0ZhHzkfEBsDmwp49xA,https://api.spotify.com/v1/audio-analysis/0w7k0ZhHzkfEBsDmwp49xA,211440,4
