danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.877,0.772,8,-9.383,1,0.0336,0.0619,0.00431,0.0542,0.97,134.151,audio_features,3zMMuOFRtOiOl78wfmMzqb,spotify:track:3zMMuOFRtOiOl78wfmMzqb,https://api.spotify.com/v1/tracks/3zMMuOFRtOiOl78wfmMzqb,https://api.spotify.com/v1/audio-analysis/3zMMuOFRtOiOl78wfmMzqb,221293,4
0.837,0.778,1,-9.507,1,0.055,0.0165,0.38,0.149,0.866,118.963,audio_features,7rtJFcQKa4GPgN1Jh44BLm,spotify:track:7rtJFcQKa4GPgN1Jh44BLm,https://api.spotify.com/v1/tracks/7rtJFcQKa4GPgN1Jh44BLm,https://api.spotify.com/v1/audio-analysis/7rtJFcQKa4GPgN1Jh44BLm,316613,4
0.63,0.398,2,-11.725,1,0.0258,0.441,0.0,0.161,0.458,141.447,audio_features,7GHqm7d3FdgSHiqUqgELKv,spotify:track:7GHqm7d3FdgSHiqUqgELKv,https://api.spotify.com/v1/tracks/7GHqm7d3FdgSHiqUqgELKv,https://api.spotify.com/v1/audio-analysis/7GHqm7d3FdgSHiqUqgELKv,272560,3
0.732,0.805,1,-10.12,0,0.0272,0.0174,0.331,0.0937,0.963,124.484,audio_features,20laUongnKFo72KN5e8iCY,spotify:track:20laUongnKFo72KN5e8iCY,https://api.spotify.com/v1/tracks/20laUongnKFo72KN5e8iCY,https://api.spotify.com/v1/audio-analysis/20laUongnKFo72KN5e8iCY,332080,4
0.77,0.775,9,-9.571,0,0.0495,0.0227,0.00262,0.297,0.802,116.935,audio_features,6g0cpYD7gmMHKrqYhPZ6Qq,spotify:track:6g0cpYD7gmMHKrqYhPZ6Qq,https://api.spotify.com/v1/tracks/6g0cpYD7gmMHKrqYhPZ6Qq,https://api.spotify.com/v1/audio-analysis/6g0cpYD7gmMHKrqYhPZ6Qq,296107,4
0.694,0.465,3,-12.315,1,0.0354,0.52,5.17e-05,0.0524,0.673,86.203,audio_features,7r3MPXs2bgilL3OIkIuECm,spotify:track:7r3MPXs2bgilL3OIkIuECm,https://api.spotify.com/v1/tracks/7r3MPXs2bgilL3OIkIuECm,https://api.spotify.com/v1/audio-analysis/7r3MPXs2bgilL3OIkIuECm,314627,4
0.776,0.87,4,-8.957,1,0.0468,0.188,0.0117,0.222,0.791,128.624,audio_features,3PytreIEOZhPXIfIjcUqUc,spotify:track:3PytreIEOZhPXIfIjcUqUc,https://api.spotify.com/v1/tracks/3PytreIEOZhPXIfIjcUqUc,https://api.spotify.com/v1/audio-analysis/3PytreIEOZhPXIfIjcUqUc,238853,4
0.889,0.622,5,-10.709,1,0.0478,0.0256,0.000195,0.114,0.939,121.002,audio_features,0cn7Z2uyzdIfyXxOkYAkyt,spotify:track:0cn7Z2uyzdIfyXxOkYAkyt,https://api.spotify.com/v1/tracks/0cn7Z2uyzdIfyXxOkYAkyt,https://api.spotify.com/v1/audio-analysis/0cn7Z2uyzdIfyXxOkYAkyt,194693,4
0.777,0.736,0,-10.082,1,0.037,0.00755,0.0136,0.302,0.835,116.375,audio_features,5f22DmcDGpsaG5RbUzVRow,spotify:track:5f22DmcDGpsaG5RbUzVRow,https://api.spotify.com/v1/tracks/5f22DmcDGpsaG5RbUzVRow,https://api.spotify.com/v1/audio-analysis/5f22DmcDGpsaG5RbUzVRow,481813,4
0.834,0.724,11,-8.254,1,0.0697,0.0146,0.0705,0.0653,0.827,119.072,audio_features,6XXotfkwww3q9CPjuUQ2Cn,spotify:track:6XXotfkwww3q9CPjuUQ2Cn,https://api.spotify.com/v1/tracks/6XXotfkwww3q9CPjuUQ2Cn,https://api.spotify.com/v1/audio-analysis/6XXotfkwww3q9CPjuUQ2Cn,460893,4
0.796,0.437,5,-12.008,0,0.0455,0.00049,0.00667,0.0726,0.71,120.124,audio_features,78ic5nDu0dq23gvONpcq2o,spotify:track:78ic5nDu0dq23gvONpcq2o,https://api.spotify.com/v1/tracks/78ic5nDu0dq23gvONpcq2o,https://api.spotify.com/v1/audio-analysis/78ic5nDu0dq23gvONpcq2o,509067,4
0.741,0.667,9,-9.146,0,0.0602,0.0112,0.0,0.206,0.798,116.625,audio_features,1SXG43q6cbXbziakX6UNpb,spotify:track:1SXG43q6cbXbziakX6UNpb,https://api.spotify.com/v1/tracks/1SXG43q6cbXbziakX6UNpb,https://api.spotify.com/v1/audio-analysis/1SXG43q6cbXbziakX6UNpb,473213,4
0.736,0.57,0,-9.838,1,0.0612,0.0131,1.05e-05,0.216,0.641,117.19,audio_features,7wxgCzA1DuInfX8DeLZkjQ,spotify:track:7wxgCzA1DuInfX8DeLZkjQ,https://api.spotify.com/v1/tracks/7wxgCzA1DuInfX8DeLZkjQ,https://api.spotify.com/v1/audio-analysis/7wxgCzA1DuInfX8DeLZkjQ,632173,4
0.581,0.622,10,-14.878,1,0.0354,0.0471,0.0162,0.0915,0.257,127.814,audio_features,7CgRXXie9XIxVSkpKi40ID,spotify:track:7CgRXXie9XIxVSkpKi40ID,https://api.spotify.com/v1/tracks/7CgRXXie9XIxVSkpKi40ID,https://api.spotify.com/v1/audio-analysis/7CgRXXie9XIxVSkpKi40ID,280981,4
0.677,0.852,5,-10.856,1,0.045,0.225,3.95e-05,0.0595,0.93,91.691,audio_features,3tyTt5pEWblt96j1HsXiV5,spotify:track:3tyTt5pEWblt96j1HsXiV5,https://api.spotify.com/v1/tracks/3tyTt5pEWblt96j1HsXiV5,https://api.spotify.com/v1/audio-analysis/3tyTt5pEWblt96j1HsXiV5,390862,4
0.389,0.203,5,-17.68,0,0.0345,0.918,1.35e-06,0.103,0.159,122.32,audio_features,1IiN25dDcmKq6ZHq2JxaQv,spotify:track:1IiN25dDcmKq6ZHq2JxaQv,https://api.spotify.com/v1/tracks/1IiN25dDcmKq6ZHq2JxaQv,https://api.spotify.com/v1/audio-analysis/1IiN25dDcmKq6ZHq2JxaQv,306551,3
