danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.515,0.674,5,-5.25,1,0.0253,0.318,0.0,0.0865,0.371,91.985,audio_features,3d3n9XvxajBXWP1h6adV6a,spotify:track:3d3n9XvxajBXWP1h6adV6a,https://api.spotify.com/v1/tracks/3d3n9XvxajBXWP1h6adV6a,https://api.spotify.com/v1/audio-analysis/3d3n9XvxajBXWP1h6adV6a,211067,4
0.6,0.883,11,-3.767,1,0.0663,0.0239,0.00344,0.0875,0.361,97.843,audio_features,7dmc5hYruMriVSJZVQXNiT,spotify:track:7dmc5hYruMriVSJZVQXNiT,https://api.spotify.com/v1/tracks/7dmc5hYruMriVSJZVQXNiT,https://api.spotify.com/v1/audio-analysis/7dmc5hYruMriVSJZVQXNiT,189396,4
0.668,0.678,9,-4.65,0,0.0491,0.17,0.0,0.0498,0.321,107.991,audio_features,4UPZpRotT2V63Ev0vMRSOM,spotify:track:4UPZpRotT2V63Ev0vMRSOM,https://api.spotify.com/v1/tracks/4UPZpRotT2V63Ev0vMRSOM,https://api.spotify.com/v1/audio-analysis/4UPZpRotT2V63Ev0vMRSOM,201885,4
0.604,0.68,6,-5.612,0,0.0278,1.5e-05,0.0338,0.0854,0.492,132.076,audio_features,6HoYz6oC2y3OWfeJIOooM7,spotify:track:6HoYz6oC2y3OWfeJIOooM7,https://api.spotify.com/v1/tracks/6HoYz6oC2y3OWfeJIOooM7,https://api.spotify.com/v1/audio-analysis/6HoYz6oC2y3OWfeJIOooM7,217517,4
0.67,0.68,11,-5.657,0,0.267,0.11,0.0,0.306,0.611,119.022,audio_features,63hsC2SThBPalMWwShDq2Q,spotify:track:63hsC2SThBPalMWwShDq2Q,https://api.spotify.com/v1/tracks/63hsC2SThBPalMWwShDq2Q,https://api.spotify.com/v1/audio-analysis/63hsC2SThBPalMWwShDq2Q,107359,4
0.422,0.55,2,-6.685,1,0.039,0.0428,0.000635,0.0917,0.133,125.972,audio_features,10aPU1k9AtL5HOTMa7mbCC,spotify:track:10aPU1k9AtL5HOTMa7mbCC,https://api.spotify.com/v1/tracks/10aPU1k9AtL5HOTMa7mbCC,https://api.spotify.com/v1/audio-analysis/10aPU1k9AtL5HOTMa7mbCC,156825,4
0.81,0.693,6,-4.962,0,0.168,0.0721,0.0,0.116,0.768,122.016,audio_features,0RqMEwCFvSmzt3UGBzFacK,spotify:track:0RqMEwCFvSmzt3UGBzFacK,https://api.spotify.com/v1/tracks/0RqMEwCFvSmzt3UGBzFacK,https://api.spotify.com/v1/audio-analysis/0RqMEwCFvSmzt3UGBzFacK,203115,4
0.814,0.851,2,-6.202,1,0.0797,0.0206,7.15e-05,0.0313,0.842,130.016,audio_features,3nUcCMjX6up5Ik95sTpNU0,spotify:track:3nUcCMjX6up5Ik95sTpNU0,https://api.spotify.com/v1/tracks/3nUcCMjX6up5Ik95sTpNU0,https://api.spotify.com/v1/audio-analysis/3nUcCMjX6up5Ik95sTpNU0,210631,4
0.506,0.371,0,-6.511,0,0.0351,0.182,4.53e-06,0.149,0.227,77.857,audio_features,1OQztPI2L8Nwjb5ueTrFCd,spotify:track:1OQztPI2L8Nwjb5ueTrFCd,https://api.spotify.com/v1/tracks/1OQztPI2L8Nwjb5ueTrFCd,https://api.spotify.com/v1/audio-analysis/1OQztPI2L8Nwjb5ueTrFCd,219912,4
0.827,0.592,8,-7.742,1,0.196,0.129,0.00196,0.132,0.447,116.98,audio_features,2PKhtb0xCcYnFz1h8ii1wF,spotify:track:2PKhtb0xCcYnFz1h8ii1wF,https://api.spotify.com/v1/tracks/2PKhtb0xCcYnFz1h8ii1wF,https://api.spotify.com/v1/audio-analysis/2PKhtb0xCcYnFz1h8ii1wF,177522,4
0.44,0.676,6,-7.57,1,0.0582,0.152,0.0201,0.108,0.429,125.013,audio_features,2VeLdiYiILcCOEV0izfzEW,spotify:track:2VeLdiYiILcCOEV0izfzEW,https://api.spotify.com/v1/tracks/2VeLdiYiILcCOEV0izfzEW,https://api.spotify.com/v1/audio-analysis/2VeLdiYiILcCOEV0izfzEW,206438,4
0.552,0.662,6,-6.225,0,0.0548,9.18e-05,0.0,0.143,0.572,79.973,audio_features,16nCYYc1lCxCyvaR1lgo0i,spotify:track:16nCYYc1lCxCyvaR1lgo0i,https://api.spotify.com/v1/tracks/16nCYYc1lCxCyvaR1lgo0i,https://api.spotify.com/v1/audio-analysis/16nCYYc1lCxCyvaR1lgo0i,148732,4
0.673,0.703,11,-5.128,0,0.0405,0.071,0.0,0.0792,0.42,133.017,audio_features,0OXzyIutbMk24FfWmZqrzw,spotify:track:0OXzyIutbMk24FfWmZqrzw,https://api.spotify.com/v1/tracks/0OXzyIutbMk24FfWmZqrzw,https://api.spotify.com/v1/audio-analysis/0OXzyIutbMk24FfWmZqrzw,129426,4
0.723,0.804,7,-5.156,1,0.0753,0.00373,5.36e-05,0.289,0.553,129.979,audio_features,68GivR8VOfoNadF5qynqxa,spotify:track:68GivR8VOfoNadF5qynqxa,https://api.spotify.com/v1/tracks/68GivR8VOfoNadF5qynqxa,https://api.spotify.com/v1/audio-analysis/68GivR8VOfoNadF5qynqxa,94138,4
0.551,0.553,9,-8.226,1,0.052,0.0969,0.0,0.0885,0.0632,101.042,audio_features,2dsADtLSSLcfsSDn7sCdak,spotify:track:2dsADtLSSLcfsSDn7sCdak,https://api.spotify.com/v1/tracks/2dsADtLSSLcfsSDn7sCdak,https://api.spotify.com/v1/audio-analysis/2dsADtLSSLcfsSDn7sCdak,181356,4
0.825,0.889,8,-4.514,1,0.173,0.0375,0.00036,0.312,0.881,118.022,audio_features,02kiSpaHtIrkNCPjGndAI1,spotify:track:02kiSpaHtIrkNCPjGndAI1,https://api.spotify.com/v1/tracks/02kiSpaHtIrkNCPjGndAI1,https://api.spotify.com/v1/audio-analysis/02kiSpaHtIrkNCPjGndAI1,128492,4
0.486,0.898,8,-4.788,1,0.0838,0.0161,7.66e-06,0.0896,0.308,133.985,audio_features,48O5UiUC5CHYb7qnFLaHv0,spotify:track:48O5UiUC5CHYb7qnFLaHv0,https://api.spotify.com/v1/tracks/48O5UiUC5CHYb7qnFLaHv0,https://api.spotify.com/v1/audio-analysis/48O5UiUC5CHYb7qnFLaHv0,156080,4
0.613,0.487,7,-8.781,1,0.0935,0.412,1.02e-05,0.286,0.699,143.332,audio_features,5haXbSJqjjM0TCJ5XkfEaC,spotify:track:5haXbSJqjjM0TCJ5XkfEaC,https://api.spotify.com/v1/tracks/5haXbSJqjjM0TCJ5XkfEaC,https://api.spotify.com/v1/audio-analysis/5haXbSJqjjM0TCJ5XkfEaC,165800,4
0.217,0.411,1,-11.438,0,0.0405,0.333,0.0,0.364,0.363,184.561,audio_features,5HveO08yOVzUGTs48bYzU9,spotify:track:5HveO08yOVzUGTs48bYzU9,https://api.spotify.com/v1/tracks/5HveO08yOVzUGTs48bYzU9,https://api.spotify.com/v1/audio-analysis/5HveO08yOVzUGTs48bYzU9,210467,3
