danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.64,0.646,9,-7.572,0,0.0497,0.00364,0.165,0.0912,0.415,124.992,audio_features,70VjMtwhm3Q2HBQeJnPfmh,spotify:track:70VjMtwhm3Q2HBQeJnPfmh,https://api.spotify.com/v1/tracks/70VjMtwhm3Q2HBQeJnPfmh,https://api.spotify.com/v1/audio-analysis/70VjMtwhm3Q2HBQeJnPfmh,336880,4
0.738,0.852,7,-6.13,1,0.0766,0.00153,0.0895,0.178,0.834,119.735,audio_features,27cXevtj5VflsCUAZwr9eI,spotify:track:27cXevtj5VflsCUAZwr9eI,https://api.spotify.com/v1/tracks/27cXevtj5VflsCUAZwr9eI,https://api.spotify.com/v1/audio-analysis/27cXevtj5VflsCUAZwr9eI,225813,4
0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.998,audio_features,27QvYgBk0CHOVHthWnkuWt,spotify:track:27QvYgBk0CHOVHthWnkuWt,https://api.spotify.com/v1/tracks/27QvYgBk0CHOVHthWnkuWt,https://api.spotify.com/v1/audio-analysis/27QvYgBk0CHOVHthWnkuWt,316813,4
0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,audio_features,1oHClQEgDmmbcEx12Kc5nZ,spotify:track:1oHClQEgDmmbcEx12Kc5nZ,https://api.spotify.com/v1/tracks/1oHClQEgDmmbcEx12Kc5nZ,https://api.spotify.com/v1/audio-analysis/1oHClQEgDmmbcEx12Kc5nZ,189693,4
0.854,0.796,11,-5.567,0,0.0399,0.0542,0.00184,0.151,0.946,115.625,audio_features,4k6ktr10Hczmh55NY3LfJy,spotify:track:4k6ktr10Hczmh55NY3LfJy,https://api.spotify.com/v1/tracks/4k6ktr10Hczmh55NY3LfJy,https://api.spotify.com/v1/audio-analysis/4k6ktr10Hczmh55NY3LfJy,368280,4
0.869,0.842,9,-4.274,0,0.0397,0.015,0.000114,0.026,0.576,120.168,audio_features,3OUdxaqm9EWiMPQrOtGFaF,spotify:track:3OUdxaqm9EWiMPQrOtGFaF,https://api.spotify.com/v1/tracks/3OUdxaqm9EWiMPQrOtGFaF,https://api.spotify.com/v1/audio-analysis/3OUdxaqm9EWiMPQrOtGFaF,250960,4
0.775,0.8,3,-3.338,0,0.036,0.365,0.000216,0.0976,0.96,119.725,audio_features,1iaIEmZHrjGzWUmJ9BaFr6,spotify:track:1iaIEmZHrjGzWUmJ9BaFr6,https://api.spotify.com/v1/tracks/1iaIEmZHrjGzWUmJ9BaFr6,https://api.spotify.com/v1/audio-analysis/1iaIEmZHrjGzWUmJ9BaFr6,188280,3
0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467,audio_features,2m0M7YqCy4lXfedh18qd8N,spotify:track:2m0M7YqCy4lXfedh18qd8N,https://api.spotify.com/v1/tracks/2m0M7YqCy4lXfedh18qd8N,https://api.spotify.com/v1/audio-analysis/2m0M7YqCy4lXfedh18qd8N,285093,4
0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,audio_features,1z3ugFmUKoCzGsI6jdY4Ci,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/tracks/1z3ugFmUKoCzGsI6jdY4Ci,https://api.spotify.com/v1/audio-analysis/1z3ugFmUKoCzGsI6jdY4Ci,342680,4
0.554,0.932,3,-6.194,1,0.0314,0.000497,0.455,0.0614,0.703,127.209,audio_features,0vVchT7htyhheP8anAnLMR,spotify:track:0vVchT7htyhheP8anAnLMR,https://api.spotify.com/v1/tracks/0vVchT7htyhheP8anAnLMR,https://api.spotify.com/v1/audio-analysis/0vVchT7htyhheP8anAnLMR,273827,4
0.6,0.852,0,-7.511,0,0.0325,0.00101,0.151,0.125,0.43,132.983,audio_features,6TrLJzbFF1ynWWBipAlf0g,spotify:track:6TrLJzbFF1ynWWBipAlf0g,https://api.spotify.com/v1/tracks/6TrLJzbFF1ynWWBipAlf0g,https://api.spotify.com/v1/audio-analysis/6TrLJzbFF1ynWWBipAlf0g,238747,4
0.667,0.93,7,-4.585,1,0.0608,0.0108,0.0,0.176,0.893,115.57,audio_features,6ioBgySxoeQKALvAeLEmId,spotify:track:6ioBgySxoeQKALvAeLEmId,https://api.spotify.com/v1/tracks/6ioBgySxoeQKALvAeLEmId,https://api.spotify.com/v1/audio-analysis/6ioBgySxoeQKALvAeLEmId,239093,4
0.656,0.899,5,-5.039,1,0.0565,0.0261,0.0,0.0936,0.865,113.239,audio_features,3kme5Qos8h04yrKxsgur79,spotify:track:3kme5Qos8h04yrKxsgur79,https://api.spotify.com/v1/tracks/3kme5Qos8h04yrKxsgur79,https://api.spotify.com/v1/audio-analysis/3kme5Qos8h04yrKxsgur79,229280,4
0.807,0.764,2,-5.186,1,0.0312,0.082,3.87e-05,0.115,0.371,119.867,audio_features,4FMNpPI7mkhdeFCCk6fZiE,spotify:track:4FMNpPI7mkhdeFCCk6fZiE,https://api.spotify.com/v1/tracks/4FMNpPI7mkhdeFCCk6fZiE,https://api.spotify.com/v1/audio-analysis/4FMNpPI7mkhdeFCCk6fZiE,238360,4
0.769,0.703,1,-5.705,1,0.027,0.0581,2.23e-06,0.114,0.453,100.094,audio_features,0yv6BYFfviMImtUPwzEXQp,spotify:track:0yv6BYFfviMImtUPwzEXQp,https://api.spotify.com/v1/tracks/0yv6BYFfviMImtUPwzEXQp,https://api.spotify.com/v1/audio-analysis/0yv6BYFfviMImtUPwzEXQp,268413,4
0.63,0.821,11,-6.726,0,0.0467,0.000632,0.479,0.0963,0.271,102.022,audio_features,1amRq1hFKK1vFCj2KNDfJV,spotify:track:1amRq1hFKK1vFCj2KNDfJV,https://api.spotify.com/v1/tracks/1amRq1hFKK1vFCj2KNDfJV,https://api.spotify.com/v1/audio-analysis/1amRq1hFKK1vFCj2KNDfJV,270173,4
0.705,0.821,1,-7.085,1,0.128,0.00244,0.684,0.0572,0.456,99.642,audio_features,6BWRvw630R8z2vNMok6quI,spotify:track:6BWRvw630R8z2vNMok6quI,https://api.spotify.com/v1/tracks/6BWRvw630R8z2vNMok6quI,https://api.spotify.com/v1/audio-analysis/6BWRvw630R8z2vNMok6quI,294267,4
0.736,0.847,10,-4.637,0,0.0549,0.0189,0.105,0.0951,0.738,123.952,audio_features,5VcSCItOla8P0lXOOZS5KS,spotify:track:5VcSCItOla8P0lXOOZS5KS,https://api.spotify.com/v1/tracks/5VcSCItOla8P0lXOOZS5KS,https://api.spotify.com/v1/audio-analysis/5VcSCItOla8P0lXOOZS5KS,220280,4
0.634,0.896,0,-3.073,0,0.0318,0.0298,0.0036,0.1,0.827,136.098,audio_features,4B2r9HXgUqRcPwUG3BYPlc,spotify:track:4B2r9HXgUqRcPwUG3BYPlc,https://api.spotify.com/v1/tracks/4B2r9HXgUqRcPwUG3BYPlc,https://api.spotify.com/v1/audio-analysis/4B2r9HXgUqRcPwUG3BYPlc,242240,4
0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,audio_features,22sLuJYcvZOSoLLRYev1s5,spotify:track:22sLuJYcvZOSoLLRYev1s5,https://api.spotify.com/v1/tracks/22sLuJYcvZOSoLLRYev1s5,https://api.spotify.com/v1/audio-analysis/22sLuJYcvZOSoLLRYev1s5,240280,4
0.708,0.832,1,-4.736,0,0.0362,0.392,1.33e-06,0.0561,0.968,99.953,audio_features,2Iib2MV3ECFJAourgP9dlY,spotify:track:2Iib2MV3ECFJAourgP9dlY,https://api.spotify.com/v1/tracks/2Iib2MV3ECFJAourgP9dlY,https://api.spotify.com/v1/audio-analysis/2Iib2MV3ECFJAourgP9dlY,242947,4
0.796,0.908,5,-3.523,0,0.0326,0.553,0.0,0.04,0.962,121.976,audio_features,0Oa9Qtd0FuhcmLi3sWTF9F,spotify:track:0Oa9Qtd0FuhcmLi3sWTF9F,https://api.spotify.com/v1/tracks/0Oa9Qtd0FuhcmLi3sWTF9F,https://api.spotify.com/v1/audio-analysis/0Oa9Qtd0FuhcmLi3sWTF9F,269573,4
0.766,0.872,7,-4.096,1,0.0421,0.117,0.000545,0.314,0.919,118.465,audio_features,7nRwpTzjrFFNFpdHT76NOz,spotify:track:7nRwpTzjrFFNFpdHT76NOz,https://api.spotify.com/v1/tracks/7nRwpTzjrFFNFpdHT76NOz,https://api.spotify.com/v1/audio-analysis/7nRwpTzjrFFNFpdHT76NOz,218960,4
0.83,0.827,9,-4.099,1,0.122,0.0424,0.000193,0.262,0.989,138.442,audio_features,6aZQdGCkAWbts2znQLsA4L,spotify:track:6aZQdGCkAWbts2znQLsA4L,https://api.spotify.com/v1/tracks/6aZQdGCkAWbts2znQLsA4L,https://api.spotify.com/v1/audio-analysis/6aZQdGCkAWbts2znQLsA4L,222880,4
0.662,0.719,9,-6.606,1,0.0298,0.107,0.0,0.102,0.511,95.001,audio_features,6B4oVElDIKRNcNUary0WG7,spotify:track:6B4oVElDIKRNcNUary0WG7,https://api.spotify.com/v1/tracks/6B4oVElDIKRNcNUary0WG7,https://api.spotify.com/v1/audio-analysis/6B4oVElDIKRNcNUary0WG7,224320,4
0.612,0.857,9,-6.464,0,0.0383,0.25,0.0883,0.0916,0.812,103.833,audio_features,16cb7NuPz7j0BrQGXKo3zd,spotify:track:16cb7NuPz7j0BrQGXKo3zd,https://api.spotify.com/v1/tracks/16cb7NuPz7j0BrQGXKo3zd,https://api.spotify.com/v1/audio-analysis/16cb7NuPz7j0BrQGXKo3zd,238773,4
0.591,0.736,1,-7.722,1,0.0336,0.511,0.00304,0.179,0.29,108.011,audio_features,0YT8MKXuaRdhOnDG9Jm1Dv,spotify:track:0YT8MKXuaRdhOnDG9Jm1Dv,https://api.spotify.com/v1/tracks/0YT8MKXuaRdhOnDG9Jm1Dv,https://api.spotify.com/v1/audio-analysis/0YT8MKXuaRdhOnDG9Jm1Dv,378840,4
0.753,0.705,0,-5.428,1,0.0368,0.0291,0.0,0.065,0.883,116.016,audio_features,3YTXrxW9cTo2FhcbTs8pmM,spotify:track:3YTXrxW9cTo2FhcbTs8pmM,https://api.spotify.com/v1/tracks/3YTXrxW9cTo2FhcbTs8pmM,https://api.spotify.com/v1/audio-analysis/3YTXrxW9cTo2FhcbTs8pmM,223413,4
0.549,0.408,8,-7.698,1,0.024,0.341,0.0,0.0764,0.319,80.133,audio_features,7izFzcBTx3DVXFeFYDeZKB,spotify:track:7izFzcBTx3DVXFeFYDeZKB,https://api.spotify.com/v1/tracks/7izFzcBTx3DVXFeFYDeZKB,https://api.spotify.com/v1/audio-analysis/7izFzcBTx3DVXFeFYDeZKB,320467,4
