danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.426,0.584,1,-5.293,1,0.296,0.0383,0.0,0.192,0.272,193.438,audio_features,557un1HgwYMuqfWGSTmnxw,spotify:track:557un1HgwYMuqfWGSTmnxw,https://api.spotify.com/v1/tracks/557un1HgwYMuqfWGSTmnxw,https://api.spotify.com/v1/audio-analysis/557un1HgwYMuqfWGSTmnxw,192587,4
0.869,0.546,6,-6.755,0,0.327,0.0512,0.0113,0.0541,0.855,146.118,audio_features,6GQuF9vzJAVs7fYN9ftBdP,spotify:track:6GQuF9vzJAVs7fYN9ftBdP,https://api.spotify.com/v1/tracks/6GQuF9vzJAVs7fYN9ftBdP,https://api.spotify.com/v1/audio-analysis/6GQuF9vzJAVs7fYN9ftBdP,200320,4
0.474,0.391,1,-7.781,1,0.263,0.145,0.0,0.201,0.526,78.798,audio_features,5iaVupGhrGVtwBvmGxxYih,spotify:track:5iaVupGhrGVtwBvmGxxYih,https://api.spotify.com/v1/tracks/5iaVupGhrGVtwBvmGxxYih,https://api.spotify.com/v1/audio-analysis/5iaVupGhrGVtwBvmGxxYih,235680,4
0.422,0.712,11,-5.907,0,0.1,0.273,0.0,0.051,0.471,78.454,audio_features,2CvOqDpQIMw69cCzWqr5yr,spotify:track:2CvOqDpQIMw69cCzWqr5yr,https://api.spotify.com/v1/tracks/2CvOqDpQIMw69cCzWqr5yr,https://api.spotify.com/v1/audio-analysis/2CvOqDpQIMw69cCzWqr5yr,261160,4
0.63,0.504,6,-6.152,1,0.0334,0.0953,0.0,0.308,0.487,89.946,audio_features,1oQZk2bKBLgP1cbuFKvjkq,spotify:track:1oQZk2bKBLgP1cbuFKvjkq,https://api.spotify.com/v1/tracks/1oQZk2bKBLgP1cbuFKvjkq,https://api.spotify.com/v1/audio-analysis/1oQZk2bKBLgP1cbuFKvjkq,249867,4
0.57,0.423,1,-8.995,1,0.0267,0.206,0.0,0.293,0.11,95.026,audio_features,5bpdqm75L1udf8tHR5LCfq,spotify:track:5bpdqm75L1udf8tHR5LCfq,https://api.spotify.com/v1/tracks/5bpdqm75L1udf8tHR5LCfq,https://api.spotify.com/v1/audio-analysis/5bpdqm75L1udf8tHR5LCfq,270760,4
0.693,0.822,1,-6.01,1,0.102,0.0995,1.73e-05,0.061,0.765,121.969,audio_features,2wNGoon7FlKnVEyYS1ZRBQ,spotify:track:2wNGoon7FlKnVEyYS1ZRBQ,https://api.spotify.com/v1/tracks/2wNGoon7FlKnVEyYS1ZRBQ,https://api.spotify.com/v1/audio-analysis/2wNGoon7FlKnVEyYS1ZRBQ,207480,4
0.453,0.425,5,-7.198,1,0.0325,0.495,0.0,0.254,0.144,83.413,audio_features,7zP67rufQgoODWFI45jntD,spotify:track:7zP67rufQgoODWFI45jntD,https://api.spotify.com/v1/tracks/7zP67rufQgoODWFI45jntD,https://api.spotify.com/v1/audio-analysis/7zP67rufQgoODWFI45jntD,278400,4
0.54,0.576,1,-6.679,1,0.0483,0.0577,0.0,0.114,0.203,86.959,audio_features,1leG3qAx1fYT1R4CXxxSm4,spotify:track:1leG3qAx1fYT1R4CXxxSm4,https://api.spotify.com/v1/tracks/1leG3qAx1fYT1R4CXxxSm4,https://api.spotify.com/v1/audio-analysis/1leG3qAx1fYT1R4CXxxSm4,223587,4
0.548,0.604,2,-7.449,1,0.0308,0.00926,2.04e-05,0.128,0.109,115.025,audio_features,7HF0jtuqtQ17b9mCWCKiDR,spotify:track:7HF0jtuqtQ17b9mCWCKiDR,https://api.spotify.com/v1/tracks/7HF0jtuqtQ17b9mCWCKiDR,https://api.spotify.com/v1/audio-analysis/7HF0jtuqtQ17b9mCWCKiDR,221080,4
0.331,0.793,6,-5.196,1,0.148,0.197,2.93e-06,0.164,0.435,97.526,audio_features,3IYsVHWRTHia5lS1LFOIVg,spotify:track:3IYsVHWRTHia5lS1LFOIVg,https://api.spotify.com/v1/tracks/3IYsVHWRTHia5lS1LFOIVg,https://api.spotify.com/v1/audio-analysis/3IYsVHWRTHia5lS1LFOIVg,255733,3
0.614,0.754,1,-5.953,1,0.0717,0.123,4.09e-06,0.0906,0.545,135.734,audio_features,0O4FbfvKNgmIvM9hE4CitH,spotify:track:0O4FbfvKNgmIvM9hE4CitH,https://api.spotify.com/v1/tracks/0O4FbfvKNgmIvM9hE4CitH,https://api.spotify.com/v1/audio-analysis/0O4FbfvKNgmIvM9hE4CitH,217667,4
0.596,0.767,8,-8.96,1,0.146,0.00255,0.0267,0.437,0.566,155.881,audio_features,6M9A67YCLVkJ0WxMBbp4Ov,spotify:track:6M9A67YCLVkJ0WxMBbp4Ov,https://api.spotify.com/v1/tracks/6M9A67YCLVkJ0WxMBbp4Ov,https://api.spotify.com/v1/audio-analysis/6M9A67YCLVkJ0WxMBbp4Ov,215173,4
0.711,0.439,1,-5.156,1,0.138,0.114,0.0,0.0573,0.326,78.074,audio_features,7M4F4e8lI8Dkod0IEtBx7x,spotify:track:7M4F4e8lI8Dkod0IEtBx7x,https://api.spotify.com/v1/tracks/7M4F4e8lI8Dkod0IEtBx7x,https://api.spotify.com/v1/audio-analysis/7M4F4e8lI8Dkod0IEtBx7x,283520,4
0.697,0.738,6,-4.583,1,0.0808,0.0453,1.1e-06,0.0485,0.722,136.901,audio_features,6UyOsmNg7H1YfR1NYuVvBu,spotify:track:6UyOsmNg7H1YfR1NYuVvBu,https://api.spotify.com/v1/tracks/6UyOsmNg7H1YfR1NYuVvBu,https://api.spotify.com/v1/audio-analysis/6UyOsmNg7H1YfR1NYuVvBu,217507,4
0.565,0.442,2,-7.738,1,0.0309,0.428,0.0,0.109,0.0717,135.99,audio_features,1gTT2Y987ndPot2Oygq6hn,spotify:track:1gTT2Y987ndPot2Oygq6hn,https://api.spotify.com/v1/tracks/1gTT2Y987ndPot2Oygq6hn,https://api.spotify.com/v1/audio-analysis/1gTT2Y987ndPot2Oygq6hn,224387,4
0.55,0.472,10,-9.829,1,0.0334,0.632,0.0,0.0788,0.161,116.966,audio_features,6MhQMEASvqkJydrmJiMHtJ,spotify:track:6MhQMEASvqkJydrmJiMHtJ,https://api.spotify.com/v1/tracks/6MhQMEASvqkJydrmJiMHtJ,https://api.spotify.com/v1/audio-analysis/6MhQMEASvqkJydrmJiMHtJ,274573,4
0.403,0.161,7,-14.466,1,0.0321,0.713,0.0,0.109,0.249,109.888,audio_features,46QBQSUuGJUBLGhc9KachJ,spotify:track:46QBQSUuGJUBLGhc9KachJ,https://api.spotify.com/v1/tracks/46QBQSUuGJUBLGhc9KachJ,https://api.spotify.com/v1/audio-analysis/46QBQSUuGJUBLGhc9KachJ,187573,4
0.489,0.332,5,-10.689,1,0.0277,0.108,0.0,0.307,0.226,78.294,audio_features,5Ia87DeORNfrZDEppvp9rP,spotify:track:5Ia87DeORNfrZDEppvp9rP,https://api.spotify.com/v1/tracks/5Ia87DeORNfrZDEppvp9rP,https://api.spotify.com/v1/audio-analysis/5Ia87DeORNfrZDEppvp9rP,267827,4
0.264,0.414,0,-9.563,1,0.0299,0.783,0.0,0.122,0.192,76.38,audio_features,6DwN81QZmeuwwH4cGssrjl,spotify:track:6DwN81QZmeuwwH4cGssrjl,https://api.spotify.com/v1/tracks/6DwN81QZmeuwwH4cGssrjl,https://api.spotify.com/v1/audio-analysis/6DwN81QZmeuwwH4cGssrjl,221467,4
0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,audio_features,49FYlytm3dAAraYgpoJZux,spotify:track:49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/tracks/49FYlytm3dAAraYgpoJZux,https://api.spotify.com/v1/audio-analysis/49FYlytm3dAAraYgpoJZux,275987,4
0.791,0.88,1,-5.398,1,0.06,0.0142,0.119,0.033,0.641,119.939,audio_features,6QV8q0qVAyHjlnqQ39YIe1,spotify:track:6QV8q0qVAyHjlnqQ39YIe1,https://api.spotify.com/v1/tracks/6QV8q0qVAyHjlnqQ39YIe1,https://api.spotify.com/v1/audio-analysis/6QV8q0qVAyHjlnqQ39YIe1,195040,4
0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,audio_features,0ByMNEPAPpOR5H69DVrTNy,spotify:track:0ByMNEPAPpOR5H69DVrTNy,https://api.spotify.com/v1/tracks/0ByMNEPAPpOR5H69DVrTNy,https://api.spotify.com/v1/audio-analysis/0ByMNEPAPpOR5H69DVrTNy,267080,4
0.801,0.674,8,-4.185,0,0.0311,0.000282,0.000139,0.0914,0.875,125.009,audio_features,46aZJc0z1HHHSFxaIRxYSP,spotify:track:46aZJc0z1HHHSFxaIRxYSP,https://api.spotify.com/v1/tracks/46aZJc0z1HHHSFxaIRxYSP,https://api.spotify.com/v1/audio-analysis/46aZJc0z1HHHSFxaIRxYSP,200573,4
0.735,0.826,1,-4.902,1,0.0349,0.00101,0.129,0.197,0.74,132.964,audio_features,4Tn2llBm1g0UlWctmgPL8Z,spotify:track:4Tn2llBm1g0UlWctmgPL8Z,https://api.spotify.com/v1/tracks/4Tn2llBm1g0UlWctmgPL8Z,https://api.spotify.com/v1/audio-analysis/4Tn2llBm1g0UlWctmgPL8Z,212280,4
0.637,0.73,5,-5.38,0,0.0874,0.323,0.0,0.0981,0.732,93.867,audio_features,7iu0WYLdo4yksKf3seaxzI,spotify:track:7iu0WYLdo4yksKf3seaxzI,https://api.spotify.com/v1/tracks/7iu0WYLdo4yksKf3seaxzI,https://api.spotify.com/v1/audio-analysis/7iu0WYLdo4yksKf3seaxzI,218947,4
0.575,0.588,1,-6.659,1,0.0515,0.0867,0.0,0.344,0.401,156.797,audio_features,1X0PGm7eJoC6LmXpczYeaN,spotify:track:1X0PGm7eJoC6LmXpczYeaN,https://api.spotify.com/v1/tracks/1X0PGm7eJoC6LmXpczYeaN,https://api.spotify.com/v1/audio-analysis/1X0PGm7eJoC6LmXpczYeaN,250667,4
0.653,0.909,8,-5.059,1,0.196,0.142,0.0,0.0365,0.72,85.318,audio_features,4jfHNGbzF5EGAD3iET0lsd,spotify:track:4jfHNGbzF5EGAD3iET0lsd,https://api.spotify.com/v1/tracks/4jfHNGbzF5EGAD3iET0lsd,https://api.spotify.com/v1/audio-analysis/4jfHNGbzF5EGAD3iET0lsd,165133,4
0.704,0.894,8,-5.731,1,0.165,0.103,0.000221,0.075,0.723,175.842,audio_features,1pKEXuXVJ9PCJj2BNrG4kX,spotify:track:1pKEXuXVJ9PCJj2BNrG4kX,https://api.spotify.com/v1/tracks/1pKEXuXVJ9PCJj2BNrG4kX,https://api.spotify.com/v1/audio-analysis/1pKEXuXVJ9PCJj2BNrG4kX,221027,4
0.583,0.792,1,-5.894,1,0.0533,0.00321,4.92e-05,0.315,0.397,80.055,audio_features,5X3ahLXhOw16BR09GjYPUT,spotify:track:5X3ahLXhOw16BR09GjYPUT,https://api.spotify.com/v1/tracks/5X3ahLXhOw16BR09GjYPUT,https://api.spotify.com/v1/audio-analysis/5X3ahLXhOw16BR09GjYPUT,294720,4
0.255,0.656,11,-5.783,1,0.0769,0.144,0.0,0.365,0.276,178.356,audio_features,5hfB5nQatLPlqyKmVEpEVI,spotify:track:5hfB5nQatLPlqyKmVEpEVI,https://api.spotify.com/v1/tracks/5hfB5nQatLPlqyKmVEpEVI,https://api.spotify.com/v1/audio-analysis/5hfB5nQatLPlqyKmVEpEVI,245493,3
0.708,0.553,5,-6.319,0,0.0262,0.0335,0.0,0.101,0.589,94.977,audio_features,6g1B0hd6rlT3xP3mERUnz8,spotify:track:6g1B0hd6rlT3xP3mERUnz8,https://api.spotify.com/v1/tracks/6g1B0hd6rlT3xP3mERUnz8,https://api.spotify.com/v1/audio-analysis/6g1B0hd6rlT3xP3mERUnz8,213213,4
