danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.309,0.93,11,-6.399,1,0.125,0.0192,0.0022,0.106,0.376,195.815,audio_features,0QeI79sp1vS8L3JgpEO7mD,spotify:track:0QeI79sp1vS8L3JgpEO7mD,https://api.spotify.com/v1/tracks/0QeI79sp1vS8L3JgpEO7mD,https://api.spotify.com/v1/audio-analysis/0QeI79sp1vS8L3JgpEO7mD,280000,4
0.707,0.814,2,-10.677,1,0.0288,0.0859,0.00281,0.234,0.697,121.92,audio_features,765k9tDIFOnoOfkO2cgitB,spotify:track:765k9tDIFOnoOfkO2cgitB,https://api.spotify.com/v1/tracks/765k9tDIFOnoOfkO2cgitB,https://api.spotify.com/v1/audio-analysis/765k9tDIFOnoOfkO2cgitB,234133,4
0.548,0.414,5,-12.074,1,0.0355,0.0923,0.0049,0.0809,0.514,143.407,audio_features,1BNtFSws7fjbn9aVBPA79j,spotify:track:1BNtFSws7fjbn9aVBPA79j,https://api.spotify.com/v1/tracks/1BNtFSws7fjbn9aVBPA79j,https://api.spotify.com/v1/audio-analysis/1BNtFSws7fjbn9aVBPA79j,313960,4
0.715,0.579,1,-13.122,0,0.0515,0.0709,0.227,0.146,0.703,132.671,audio_features,3rNCkAhv9cASYco3kC9q3D,spotify:track:3rNCkAhv9cASYco3kC9q3D,https://api.spotify.com/v1/tracks/3rNCkAhv9cASYco3kC9q3D,https://api.spotify.com/v1/audio-analysis/3rNCkAhv9cASYco3kC9q3D,239507,4
0.355,0.707,11,-10.634,0,0.134,0.383,1.74e-06,0.958,0.414,78.433,audio_features,0khi86hc79RfsRC0rrkkA2,spotify:track:0khi86hc79RfsRC0rrkkA2,https://api.spotify.com/v1/tracks/0khi86hc79RfsRC0rrkkA2,https://api.spotify.com/v1/audio-analysis/0khi86hc79RfsRC0rrkkA2,254493,4
0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,audio_features,51H2y6YrNNXcy3dfc3qSbA,spotify:track:51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/tracks/51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/audio-analysis/51H2y6YrNNXcy3dfc3qSbA,352906,4
0.731,0.75,2,-10.457,1,0.0321,0.0862,0.000388,0.202,0.639,135.406,audio_features,6fBwVe6udYdnRqwqo06if8,spotify:track:6fBwVe6udYdnRqwqo06if8,https://api.spotify.com/v1/tracks/6fBwVe6udYdnRqwqo06if8,https://api.spotify.com/v1/audio-analysis/6fBwVe6udYdnRqwqo06if8,178987,4
0.751,0.776,2,-9.901,1,0.074,0.0135,0.000928,0.698,0.66,137.931,audio_features,2soBvUQBf5rbMj9HIyhzzK,spotify:track:2soBvUQBf5rbMj9HIyhzzK,https://api.spotify.com/v1/tracks/2soBvUQBf5rbMj9HIyhzzK,https://api.spotify.com/v1/audio-analysis/2soBvUQBf5rbMj9HIyhzzK,264400,4
0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,audio_features,54X78diSLoUDI3joC2bjMz,spotify:track:54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/tracks/54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/audio-analysis/54X78diSLoUDI3joC2bjMz,520787,4
0.846,0.922,6,-4.206,0,0.0438,0.0219,0.355,0.0623,0.899,122.195,audio_features,2kulOHR2XY6YDZCWXb38hn,spotify:track:2kulOHR2XY6YDZCWXb38hn,https://api.spotify.com/v1/tracks/2kulOHR2XY6YDZCWXb38hn,https://api.spotify.com/v1/audio-analysis/2kulOHR2XY6YDZCWXb38hn,362373,4
0.829,0.663,11,-4.61,0,0.0794,0.167,1.68e-05,0.109,0.668,109.652,audio_features,3bMveJpCPytU79V5A61Bb7,spotify:track:3bMveJpCPytU79V5A61Bb7,https://api.spotify.com/v1/tracks/3bMveJpCPytU79V5A61Bb7,https://api.spotify.com/v1/audio-analysis/3bMveJpCPytU79V5A61Bb7,260187,4
0.671,0.636,9,-6.673,1,0.0558,0.269,4.09e-06,0.18,0.651,81.477,audio_features,1diEQsD8PJC9hXB5Gpfgtn,spotify:track:1diEQsD8PJC9hXB5Gpfgtn,https://api.spotify.com/v1/tracks/1diEQsD8PJC9hXB5Gpfgtn,https://api.spotify.com/v1/audio-analysis/1diEQsD8PJC9hXB5Gpfgtn,222040,4
0.773,0.859,11,-4.913,1,0.0747,0.0855,0.00018,0.914,0.813,118.458,audio_features,3S2R0EVwBSAVMd5UMgKTL0,spotify:track:3S2R0EVwBSAVMd5UMgKTL0,https://api.spotify.com/v1/tracks/3S2R0EVwBSAVMd5UMgKTL0,https://api.spotify.com/v1/audio-analysis/3S2R0EVwBSAVMd5UMgKTL0,357267,4
0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,audio_features,1OOtq8tRnDM8kG2gqUPjAj,spotify:track:1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/tracks/1OOtq8tRnDM8kG2gqUPjAj,https://api.spotify.com/v1/audio-analysis/1OOtq8tRnDM8kG2gqUPjAj,258040,4
0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
