danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.309,0.93,11,-6.399,1,0.125,0.0192,0.0022,0.106,0.376,195.815,audio_features,0QeI79sp1vS8L3JgpEO7mD,spotify:track:0QeI79sp1vS8L3JgpEO7mD,https://api.spotify.com/v1/tracks/0QeI79sp1vS8L3JgpEO7mD,https://api.spotify.com/v1/audio-analysis/0QeI79sp1vS8L3JgpEO7mD,280000,4
0.707,0.814,2,-10.677,1,0.0288,0.0859,0.00281,0.234,0.697,121.92,audio_features,765k9tDIFOnoOfkO2cgitB,spotify:track:765k9tDIFOnoOfkO2cgitB,https://api.spotify.com/v1/tracks/765k9tDIFOnoOfkO2cgitB,https://api.spotify.com/v1/audio-analysis/765k9tDIFOnoOfkO2cgitB,234133,4
0.548,0.414,5,-12.074,1,0.0355,0.0923,0.0049,0.0809,0.514,143.407,audio_features,1BNtFSws7fjbn9aVBPA79j,spotify:track:1BNtFSws7fjbn9aVBPA79j,https://api.spotify.com/v1/tracks/1BNtFSws7fjbn9aVBPA79j,https://api.spotify.com/v1/audio-analysis/1BNtFSws7fjbn9aVBPA79j,313960,4
0.715,0.579,1,-13.122,0,0.0515,0.0709,0.227,0.146,0.703,132.671,audio_features,3rNCkAhv9cASYco3kC9q3D,spotify:track:3rNCkAhv9cASYco3kC9q3D,https://api.spotify.com/v1/tracks/3rNCkAhv9cASYco3kC9q3D,https://api.spotify.com/v1/audio-analysis/3rNCkAhv9cASYco3kC9q3D,239507,4
0.355,0.707,11,-10.634,0,0.134,0.383,1.74e-06,0.958,0.414,78.433,audio_features,0khi86hc79RfsRC0rrkkA2,spotify:track:0khi86hc79RfsRC0rrkkA2,https://api.spotify.com/v1/tracks/0khi86hc79RfsRC0rrkkA2,https://api.spotify.com/v1/audio-analysis/0khi86hc79RfsRC0rrkkA2,254493,4
0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,audio_features,51H2y6YrNNXcy3dfc3qSbA,spotify:track:51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/tracks/51H2y6YrNNXcy3dfc3qSbA,https://api.spotify.com/v1/audio-analysis/51H2y6YrNNXcy3dfc3qSbA,352906,4
0.731,0.75,2,-10.457,1,0.0321,0.0862,0.000388,0.202,0.639,135.406,audio_features,6fBwVe6udYdnRqwqo06if8,spotify:track:6fBwVe6udYdnRqwqo06if8,https://api.spotify.com/v1/tracks/6fBwVe6udYdnRqwqo06if8,https://api.spotify.com/v1/audio-analysis/6fBwVe6udYdnRqwqo06if8,178987,4
0.751,0.776,2,-9.901,1,0.074,0.0135,0.000928,0.698,0.66,137.931,audio_features,2soBvUQBf5rbMj9HIyhzzK,spotify:track:2soBvUQBf5rbMj9HIyhzzK,https://api.spotify.com/v1/tracks/2soBvUQBf5rbMj9HIyhzzK,https://api.spotify.com/v1/audio-analysis/2soBvUQBf5rbMj9HIyhzzK,264400,4
0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,audio_features,54X78diSLoUDI3joC2bjMz,spotify:track:54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/tracks/54X78diSLoUDI3joC2bjMz,https://api.spotify.com/v1/audio-analysis/54X78diSLoUDI3joC2bjMz,520787,4
0.506,0.813,4,-5.78,1,0.0392,0.377,0.0298,0.276,0.844,108.214,audio_features,7c29IdDhQ6M9Eo3yFNGd1G,spotify:track:7c29IdDhQ6M9Eo3yFNGd1G,https://api.spotify.com/v1/tracks/7c29IdDhQ6M9Eo3yFNGd1G,https://api.spotify.com/v1/audio-analysis/7c29IdDhQ6M9Eo3yFNGd1G,159253,4
0.511,0.769,4,-7.032,1,0.042,0.181,0.0,0.0921,0.818,129.657,audio_features,2G2YzndIA6jeWFPBXhUjh5,spotify:track:2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/tracks/2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/audio-analysis/2G2YzndIA6jeWFPBXhUjh5,160907,4
0.545,0.802,3,-8.275,1,0.0358,0.208,3.7e-05,0.086,0.854,115.692,audio_features,4V6ZLk1IHdG00qu3B4m8Y9,spotify:track:4V6ZLk1IHdG00qu3B4m8Y9,https://api.spotify.com/v1/tracks/4V6ZLk1IHdG00qu3B4m8Y9,https://api.spotify.com/v1/audio-analysis/4V6ZLk1IHdG00qu3B4m8Y9,171480,4
0.49,0.729,2,-9.046,1,0.0481,0.403,0.00259,0.124,0.546,105.273,audio_features,3gBkaIy0nE5mDiYeC5iL97,spotify:track:3gBkaIy0nE5mDiYeC5iL97,https://api.spotify.com/v1/tracks/3gBkaIy0nE5mDiYeC5iL97,https://api.spotify.com/v1/audio-analysis/3gBkaIy0nE5mDiYeC5iL97,184347,4
0.173,0.58,2,-6.919,1,0.0468,0.764,0.000196,0.137,0.315,173.521,audio_features,0s2rcQxNOk0z2YCLVdGeWG,spotify:track:0s2rcQxNOk0z2YCLVdGeWG,https://api.spotify.com/v1/tracks/0s2rcQxNOk0z2YCLVdGeWG,https://api.spotify.com/v1/audio-analysis/0s2rcQxNOk0z2YCLVdGeWG,155507,3
