id,k9_cluster
2dOTkLZFbpNXrhc24CnTFd,5
6PGoSes0D9eUDeeAafB2As,3
6Se3x9ANMLv0dCDsjGmEjh,3
1KqV8d7A86fiFWDTxWRXUI,8
68wIBE5dVVX8RyfZCJnAj5,3
07TnWCHrFkvF61GzJuLVt0,2
75ZvA4QfFiZvzhj2xkaWAh,5
76Y0gxtTxN0FyDCYh5qYQj,6
0PXp9QxBfSKGGpWUNaws2X,7
49zD0wr2S3d0lZPib0K4e1,5
4SYUUlkScpNR1QvPscXf8t,5
1ysAvOdJgUjc6CqOQxepaz,3
3a1lNhkSLSkpJE4MSHpDu9,3
0LpiKjWMfZTkPPHonlM8nB,3
0H8XeaJunhvpBdBFIYi6Sh,2
6eT7xZZlB2mwyzJ2sUKG6w,3
5dI1yHSqgmilFEqpGbqxHh,3
32lItqlMi4LBhb4k0BaSaC,2
7BKUWh5sdtdS17crohRe4L,2
1bxEpNR75Hq3T2oF9AZjt8,6
6gBFPUFcJLzWGx4lenP6h2,3
0yhMmqax6HRAZxI7udEask,2
7wdzLe2Gsx1RGqbvYZHASz,5
4iYRa2btalAzPZoSYfROqF,6
6IZvVAP7VPPnsGX6bvgkqg,5
6SwRhMLwNqEi6alNPVG00n,5
2LTlO3NuNVN70lp2ZbVswF,6
1EaKU4dMbesXXd3BrLCtYG,6
6HZILIRieu8S0iqY8kIKhj,6
5p3NP9mQblDsVJLdfNZJ3I,3
7KXjTSCq5nL1LoYtL7XAwS,5
0y9uTzK9cNKSAEHnpeRG8C,6
1HoyBOU4jgZkB9F0atzgsm,6
7cGFbx7MP0H23iHZTZpqMM,3
3Sz9VwghywEClUXq8vzt2b,5
52OInUlQusYhJ6L3zMVLpM,3
4eiOk988Prwe5MQnnQtglt,6
6YOgXjBp1fLqnZfKLCNYhd,6
6OK2jHQub9ZMGD1blTvprV,2
5Z3GHaZ6ec9bsiI5BenrbY,3
4ZT9EKb1iN9Cd5omcHcfoZ,5
4E5rL7YL0hVUPqeMSpjEF2,7
0aOf8m2Y7eGsV17WsuH8Xj,5
1WIfWj5skn5UUZTs4cEFBe,6
03D2t5wn77cpCxH8p99ZvA,5
5mCPDVBb16L4XQwDdbRUpz,3
343YBumqHu19cGoGARUTsd,6
3wrP2GVxWH8VpHPOsKhYgz,5
2FWquqPNxte8iqZ3ATQG0p,6
6fOqEAXCwboCO4BdzbZG1K,5
3LnOF5n1GOs01siYZXzS3p,5
1Rvl8qsKJurfFTyWLBI9ib,5
2vzn8usBcuNL93DnTjEK0z,3
3lYvepDz6yYj29z7e4r5z0,5
2xbI8Vmyv3TkpTdywpPyNw,5
0VgkVdmE4gld66l8iyGjgx,6
