id,title,artists,pp_artist,k9_cluster
2dOTkLZFbpNXrhc24CnTFd,Titanium (feat. Sia),"['David Guetta', 'Sia']",David Guetta / Sia,5
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,"['Kendrick Lamar', 'Zacari']",Kendrick Lamar / Zacari,3
6Se3x9ANMLv0dCDsjGmEjh,do re mi,['blackbear'],blackbear,3
1KqV8d7A86fiFWDTxWRXUI,"Concerning Hobbits (From ""The Lord of the Rings: The Fellowship of the Ring"")",['The City of Prague Philharmonic Orchestra'],The City of Prague Philharmonic Orchestra,8
68wIBE5dVVX8RyfZCJnAj5,Don't Dream It's Over,['Crowded House'],Crowded House,3
07TnWCHrFkvF61GzJuLVt0,Hard to Say I'm Sorry / Get Away - 2006 Remaster,['Chicago'],Chicago,2
75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,['Post Malone'],Post Malone,5
76Y0gxtTxN0FyDCYh5qYQj,Get Right Witcha,['Migos'],Migos,6
0PXp9QxBfSKGGpWUNaws2X,Drama (feat. Drake),"['Roy Woods', 'Drake']",Roy Woods / Drake,7
49zD0wr2S3d0lZPib0K4e1,F*ck Up Some Commas,['Future'],Future,5
4SYUUlkScpNR1QvPscXf8t,Too Young,['Post Malone'],Post Malone,5
1ysAvOdJgUjc6CqOQxepaz,Money Made Me Do It,"['Post Malone', '2 Chainz']",Post Malone / 2 Chainz,3
3a1lNhkSLSkpJE4MSHpDu9,Congratulations,"['Post Malone', 'Quavo']",Post Malone / Quavo,3
0LpiKjWMfZTkPPHonlM8nB,"Yours Truly, Austin Post",['Post Malone'],Post Malone,3
0H8XeaJunhvpBdBFIYi6Sh,Deja Vu,"['Post Malone', 'Justin Bieber']",Post Malone / Justin Bieber,2
6eT7xZZlB2mwyzJ2sUKG6w,White Iverson,['Post Malone'],Post Malone,3
5dI1yHSqgmilFEqpGbqxHh,Leave,['Post Malone'],Post Malone,3
32lItqlMi4LBhb4k0BaSaC,Candy Paint,['Post Malone'],Post Malone,2
7BKUWh5sdtdS17crohRe4L,Black SpiderMan,"['Logic', 'Damian Lemar Hudson']",Logic / Damian Lemar Hudson,2
1bxEpNR75Hq3T2oF9AZjt8,u,['Kendrick Lamar'],Kendrick Lamar,6
6gBFPUFcJLzWGx4lenP6h2,goosebumps,['Travis Scott'],Travis Scott,3
