id,title,artists,pp_artist,k9_cluster
3uI6zLuHy7BkPTM6zpBLuw,My Morning Is Summer,['The Julie Ruin'],The Julie Ruin,4
4kdKKsPHWsyNrvFsZrcg52,Meet the Woo,['Pop Smoke'],Pop Smoke,6
0fIffclhgJC5h8AdMMVvkp,Welcome To The Party,['Pop Smoke'],Pop Smoke,2
2ZRdQMMKtmPLdYp9aP5cK5,Hawk Em,['Pop Smoke'],Pop Smoke,6
5T9aZRhY5uYeovAQtATLyK,Better Have Your Gun,['Pop Smoke'],Pop Smoke,6
2T1GbU75iGVtOhNUbZuNqk,Scenario,['Pop Smoke'],Pop Smoke,6
79s5XnCN4TJKTVMSmOx8Ep,Dior,['Pop Smoke'],Pop Smoke,6
51HgBYRV0YivvvQMyptpYH,Feeling,['Pop Smoke'],Pop Smoke,6
24b6djSbUFQtXAdyb3FMbr,PTSD,['Pop Smoke'],Pop Smoke,6
7wttMlE6un70hfwymwniYl,Brother Man,['Pop Smoke'],Pop Smoke,3
1yTQ39my3MoNROlFw3RDNy,Say You'll Be There,['Spice Girls'],Spice Girls,3
36AWdhZIGLUTkWpJDhe7va,2 Become 1,['Spice Girls'],Spice Girls,3
61PwiYyJhF1HLi0OXomzQE,Love Thing,['Spice Girls'],Spice Girls,3
5SAGopoaraFmLS08bNjLxB,Last Time Lover,['Spice Girls'],Spice Girls,4
3dNv3OuX6ol9si6PZ9KSAh,Mama,['Spice Girls'],Spice Girls,3
1jI1aLmm5HTwiMtvsbwDJw,Who Do You Think You Are,['Spice Girls'],Spice Girls,1
6qL8tweXFMqztcMwNB4r7y,Something Kinda Funny,['Spice Girls'],Spice Girls,5
2QMa85sq03n0NhDAjQe5eQ,Naked,['Spice Girls'],Spice Girls,5
6bh25NILjNfJnIvGRT2emC,If U Can't Dance,['Spice Girls'],Spice Girls,5
7KQZDqY3F09BDBC867WchW,Intro - Hand It Down,"['JAY-Z', 'Memphis Bleek']",JAY-Z / Memphis Bleek,6
6iFV28FVLNTCjMBGj7YKLl,If I Should Die,"['JAY-Z', 'Da Ranjahz']",JAY-Z / Da Ranjahz,6
15KhTtSEw7jdk2MFU0KZhY,Ride Or Die,['JAY-Z'],JAY-Z,6
5MnXRG5LzgSzdpIkg5nagT,"Nigga What, Nigga Who (Originator 99)","['JAY-Z', 'Big Jaz']",JAY-Z / Big Jaz,6
1FkgoPdajl8gwC1hlyvHtC,"Money, Cash, Hoes","['JAY-Z', 'DMX']",JAY-Z / DMX,6
4icIWz2jQbEbeIYVWDfTZa,A Week Ago,"['JAY-Z', 'Too $hort']",JAY-Z / Too $hort,6
0VSzfPaylp8k38VTP4dzSv,Coming Of Age (Da Sequel),"['JAY-Z', 'Memphis Bleek']",JAY-Z / Memphis Bleek,6
4LGMSdeKOUoy5Wf75Je0Hl,Can I Get A...,"['JAY-Z', 'Amil', 'Ja Rule']",JAY-Z / Amil / Ja Rule,6
7FxFW29yyTJHv8zTtF75ec,Paper Chase,"['JAY-Z', 'Foxy Brown']",JAY-Z / Foxy Brown,6
7nf4IieIo1lCydDgwW0WaD,Reservoir Dogs,"['JAY-Z', 'The LOX', 'Sauce Money', 'Beanie Sigel']",JAY-Z / The LOX / Sauce Money / Beanie Sigel,6
7wt6sMZ7RVmb4fiFXePS3K,It's Like That,"['JAY-Z', 'Kid Capri']",JAY-Z / Kid Capri,6
1SKhE8yTMuGrTLte0os673,It's Alright,"['Memphis Bleek', 'JAY-Z']",Memphis Bleek / JAY-Z,6
3dT126FgdirenOn5aDXHBE,Money Ain't A Thang,"['JAY-Z', 'Jermaine Dupri']",JAY-Z / Jermaine Dupri,5
1FNvrp5K02oThumS6gllzp,Block Rockin' Beats,['The Chemical Brothers'],The Chemical Brothers,5
3pa1twfh1McWMyKH3Z5Tvb,Dig Your Own Hole,['The Chemical Brothers'],The Chemical Brothers,4
5U0ejkfocrFIdZVRsBZoor,Elektrobank,['The Chemical Brothers'],The Chemical Brothers,4
6ELzFMGAvADzJMiArbpfjp,Piku,['The Chemical Brothers'],The Chemical Brothers,4
5JBGbFdBtLcCCygw8rtjli,Setting Sun,['The Chemical Brothers'],The Chemical Brothers,2
4g0eywnFu6aeIlUdhxm6PN,It Doesn't Matter,['The Chemical Brothers'],The Chemical Brothers,4
5sDN7cWflaU1xHDlrCugA2,Don't Stop The Rock,['The Chemical Brothers'],The Chemical Brothers,2
78TGVE5MzCnVPDji7FW920,Get Up On It Like This,['The Chemical Brothers'],The Chemical Brothers,4
1DjJZd1CYDSUU1ieQMyrVX,Lost In The K Hole,['The Chemical Brothers'],The Chemical Brothers,1
3oSEK4SrwRNkdkAXigagSb,Where Do I Begin,['The Chemical Brothers'],The Chemical Brothers,4
0HSb1M8JyOxD8OiGriSzWL,The Private Psychedelic Reel,['The Chemical Brothers'],The Chemical Brothers,4
6rRIRMEhVclbTleCJQsrPm,All I Really Want - 2015 Remaster,['Alanis Morissette'],Alanis Morissette,5
71MfSDt9aSa43hcFQNYW8w,Perfect - 2015 Remaster,['Alanis Morissette'],Alanis Morissette,7
2lE7oRoKssULAtbWViL385,Hand in My Pocket - 2015 Remaster,['Alanis Morissette'],Alanis Morissette,3
5YFIbauvzRGfW7xktVjR0I,Right Through You - 2015 Remaster,['Alanis Morissette'],Alanis Morissette,3
2n1qxz4A57hRSSaLIVcVlH,Forgiven - 2015 Remaster,['Alanis Morissette'],Alanis Morissette,2
