id,k6_cluster,k10_cluster,title,artists,pp_artist
2dOTkLZFbpNXrhc24CnTFd,4,7,Titanium (feat. Sia),"['David Guetta', 'Sia']",David Guetta / Sia
6PGoSes0D9eUDeeAafB2As,2,6,LOVE. FEAT. ZACARI.,"['Kendrick Lamar', 'Zacari']",Kendrick Lamar / Zacari
6Se3x9ANMLv0dCDsjGmEjh,2,8,do re mi,['blackbear'],blackbear
1KqV8d7A86fiFWDTxWRXUI,3,4,"Concerning Hobbits (From ""The Lord of the Rings: The Fellowship of the Ring"")",['The City of Prague Philharmonic Orchestra'],The City of Prague Philharmonic Orchestra
68wIBE5dVVX8RyfZCJnAj5,2,6,Don't Dream It's Over,['Crowded House'],Crowded House
07TnWCHrFkvF61GzJuLVt0,2,9,Hard to Say I'm Sorry / Get Away - 2006 Remaster,['Chicago'],Chicago
75ZvA4QfFiZvzhj2xkaWAh,4,7,I Fall Apart,['Post Malone'],Post Malone
76Y0gxtTxN0FyDCYh5qYQj,0,5,Get Right Witcha,['Migos'],Migos
0PXp9QxBfSKGGpWUNaws2X,5,0,Drama (feat. Drake),"['Roy Woods', 'Drake']",Roy Woods / Drake
49zD0wr2S3d0lZPib0K4e1,0,7,F*ck Up Some Commas,['Future'],Future
4SYUUlkScpNR1QvPscXf8t,4,7,Too Young,['Post Malone'],Post Malone
1ysAvOdJgUjc6CqOQxepaz,5,6,Money Made Me Do It,"['Post Malone', '2 Chainz']",Post Malone / 2 Chainz
3a1lNhkSLSkpJE4MSHpDu9,2,6,Congratulations,"['Post Malone', 'Quavo']",Post Malone / Quavo
0LpiKjWMfZTkPPHonlM8nB,2,6,"Yours Truly, Austin Post",['Post Malone'],Post Malone
0H8XeaJunhvpBdBFIYi6Sh,2,9,Deja Vu,"['Post Malone', 'Justin Bieber']",Post Malone / Justin Bieber
6eT7xZZlB2mwyzJ2sUKG6w,2,6,White Iverson,['Post Malone'],Post Malone
5dI1yHSqgmilFEqpGbqxHh,2,6,Leave,['Post Malone'],Post Malone
32lItqlMi4LBhb4k0BaSaC,2,9,Candy Paint,['Post Malone'],Post Malone
7BKUWh5sdtdS17crohRe4L,2,9,Black SpiderMan,"['Logic', 'Damian Lemar Hudson']",Logic / Damian Lemar Hudson
1bxEpNR75Hq3T2oF9AZjt8,0,5,u,['Kendrick Lamar'],Kendrick Lamar
6gBFPUFcJLzWGx4lenP6h2,2,6,goosebumps,['Travis Scott'],Travis Scott
0yhMmqax6HRAZxI7udEask,2,9,"Bitch, Don’t Kill My Vibe",['Kendrick Lamar'],Kendrick Lamar
7wdzLe2Gsx1RGqbvYZHASz,4,7,i,['Kendrick Lamar'],Kendrick Lamar
4iYRa2btalAzPZoSYfROqF,0,5,XXX. FEAT. U2.,"['Kendrick Lamar', 'U2']",Kendrick Lamar / U2
6IZvVAP7VPPnsGX6bvgkqg,4,7,PRIDE.,['Kendrick Lamar'],Kendrick Lamar
6SwRhMLwNqEi6alNPVG00n,4,7,LOYALTY. FEAT. RIHANNA.,"['Kendrick Lamar', 'Rihanna']",Kendrick Lamar / Rihanna
2LTlO3NuNVN70lp2ZbVswF,0,5,FEEL.,['Kendrick Lamar'],Kendrick Lamar
1EaKU4dMbesXXd3BrLCtYG,0,5,ELEMENT.,['Kendrick Lamar'],Kendrick Lamar
6HZILIRieu8S0iqY8kIKhj,0,5,DNA.,['Kendrick Lamar'],Kendrick Lamar
5p3NP9mQblDsVJLdfNZJ3I,2,6,GOD.,['Kendrick Lamar'],Kendrick Lamar
7KXjTSCq5nL1LoYtL7XAwS,4,7,HUMBLE.,['Kendrick Lamar'],Kendrick Lamar
0y9uTzK9cNKSAEHnpeRG8C,0,5,DUCKWORTH.,['Kendrick Lamar'],Kendrick Lamar
1HoyBOU4jgZkB9F0atzgsm,0,5,Victory,['Joey Bada$$'],Joey Bada$$
7cGFbx7MP0H23iHZTZpqMM,2,6,Everybody,['Logic'],Logic
3Sz9VwghywEClUXq8vzt2b,4,7,Patty Cake,['Kodak Black'],Kodak Black
52OInUlQusYhJ6L3zMVLpM,2,6,Twenty 8,['Kodak Black'],Kodak Black
4eiOk988Prwe5MQnnQtglt,0,5,Up in Here,['Kodak Black'],Kodak Black
6YOgXjBp1fLqnZfKLCNYhd,0,5,Day for Day,['Kodak Black'],Kodak Black
6OK2jHQub9ZMGD1blTvprV,2,9,Conscience (feat. Future),"['Kodak Black', 'Future']",Kodak Black / Future
5Z3GHaZ6ec9bsiI5BenrbY,2,6,Young Dumb & Broke,['Khalid'],Khalid
4ZT9EKb1iN9Cd5omcHcfoZ,4,7,We Want Some P--sy,['2 LIVE CREW'],2 LIVE CREW
4E5rL7YL0hVUPqeMSpjEF2,5,0,Yesterday - Remastered 2015,['The Beatles'],The Beatles
0aOf8m2Y7eGsV17WsuH8Xj,4,7,YESTERDAY,['Block B'],Block B
1WIfWj5skn5UUZTs4cEFBe,0,5,Location,['Khalid'],Khalid
03D2t5wn77cpCxH8p99ZvA,4,7,BODY,['MINO'],MINO
5mCPDVBb16L4XQwDdbRUpz,5,6,Passionfruit,['Drake'],Drake
343YBumqHu19cGoGARUTsd,0,5,Fake Love,['Drake'],Drake
3wrP2GVxWH8VpHPOsKhYgz,4,7,Zero,['Chris Brown'],Chris Brown
2FWquqPNxte8iqZ3ATQG0p,0,5,All I Wanna Do (K) (Feat. Hoody & Loco),"['Jay Park', 'Hoody', 'Loco']",Jay Park / Hoody / Loco
6fOqEAXCwboCO4BdzbZG1K,4,7,La La Latch (Sam Smith/Disclosure/Naughty Boy Mashup),['Pentatonix'],Pentatonix
3LnOF5n1GOs01siYZXzS3p,4,7,Drowning (feat. Kodak Black),"['A Boogie Wit da Hoodie', 'Kodak Black']",A Boogie Wit da Hoodie / Kodak Black
1Rvl8qsKJurfFTyWLBI9ib,4,7,"Baby, I Love Your Way","['Big Mountain', 'Tom Lord-Alge']",Big Mountain / Tom Lord-Alge
2vzn8usBcuNL93DnTjEK0z,2,6,LOSER,['BIGBANG'],BIGBANG
3lYvepDz6yYj29z7e4r5z0,4,7,FXXK IT,['BIGBANG'],BIGBANG
2xbI8Vmyv3TkpTdywpPyNw,4,7,Selfish,['PnB Rock'],PnB Rock
0VgkVdmE4gld66l8iyGjgx,0,5,Mask Off,['Future'],Future
5BtyHl1eRqip2PkHhFYzHG,4,7,Westside,['The Kooks'],The Kooks
0Fi9tYRYSsMPzNVYdgHY7Q,3,4,Love Me - Original,['Yiruma'],Yiruma
51nXIaBdcQiWnXkjjJkvhO,3,4,May Be,['Yiruma'],Yiruma
5DNlONEPizmjDnZ4Zr2zCg,3,4,Kiss The Rain,['Yiruma'],Yiruma
6YPMRaVq2y2Q3dGCYnBJpi,3,4,River Flows in You,['Massimo Viazzo'],Massimo Viazzo
612VcBshQcy4mpB2utGc3H,5,2,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],Eric Clapton
4vVTI94F9uJ8lHNDWKv0i2,2,6,Eenie Meenie,"['Sean Kingston', 'Justin Bieber']",Sean Kingston / Justin Bieber
4zP7ADsgJgHGY6VzxbNp1z,2,6,Year 3000,['Jonas Brothers'],Jonas Brothers
448hNuS6TH90bjpIHIJqH3,0,5,Push It,['O.T. Genasis'],O.T. Genasis
1T8PwF3JhIiWwBhun23RNe,2,6,Impossible,['Shontelle'],Shontelle
2NlTOhsAamXOaZciOXbITb,4,7,Cold (feat. Future),"['Maroon 5', 'Future']",Maroon 5 / Future
60xaS8mYBKUW4VQQ666N0T,2,6,All Night (feat. Knox Fortune),"['Chance the Rapper', 'Knox Fortune']",Chance the Rapper / Knox Fortune
3eze1OsZ1rqeXkKStNfTmi,5,8,Juke Jam (feat. Justin Bieber & Towkio),"['Chance the Rapper', 'Justin Bieber', 'Towkio']",Chance the Rapper / Justin Bieber / Towkio
0WCbhE2evMrIwRM0DlMy9k,0,5,Mixtape (feat. Young Thug & Lil Yachty),"['Chance the Rapper', 'Young Thug', 'Lil Yachty']",Chance the Rapper / Young Thug / Lil Yachty
2depzNvnAgMFKYnm3moXIc,0,5,Kno The Meaning,['Future'],Future
2UDumaw7osnyjH7RZ2DLpB,4,7,I Am Machine,['Three Days Grace'],Three Days Grace
3HE50TVRquwXe9yv2HFoNL,4,9,Never Too Late,['Three Days Grace'],Three Days Grace
1Q2fYlSdwuutWj3QplhY9q,2,9,Riot,['Three Days Grace'],Three Days Grace
6rUp7v3l8yC4TKxAAR5Bmx,4,7,I Hate Everything About You,['Three Days Grace'],Three Days Grace
