,id,k6_cluster,k10_cluster
0,2dOTkLZFbpNXrhc24CnTFd,4,7
1,6PGoSes0D9eUDeeAafB2As,2,6
2,6Se3x9ANMLv0dCDsjGmEjh,2,8
3,1KqV8d7A86fiFWDTxWRXUI,3,4
4,68wIBE5dVVX8RyfZCJnAj5,2,6
5,07TnWCHrFkvF61GzJuLVt0,2,9
6,75ZvA4QfFiZvzhj2xkaWAh,4,7
7,76Y0gxtTxN0FyDCYh5qYQj,0,5
8,0PXp9QxBfSKGGpWUNaws2X,5,0
9,49zD0wr2S3d0lZPib0K4e1,0,7
10,4SYUUlkScpNR1QvPscXf8t,4,7
11,1ysAvOdJgUjc6CqOQxepaz,5,6
12,3a1lNhkSLSkpJE4MSHpDu9,2,6
13,0LpiKjWMfZTkPPHonlM8nB,2,6
14,0H8XeaJunhvpBdBFIYi6Sh,2,9
15,6eT7xZZlB2mwyzJ2sUKG6w,2,6
16,5dI1yHSqgmilFEqpGbqxHh,2,6
17,32lItqlMi4LBhb4k0BaSaC,2,9
18,7BKUWh5sdtdS17crohRe4L,2,9
19,1bxEpNR75Hq3T2oF9AZjt8,0,5
20,6gBFPUFcJLzWGx4lenP6h2,2,6
21,0yhMmqax6HRAZxI7udEask,2,9
22,7wdzLe2Gsx1RGqbvYZHASz,4,7
23,4iYRa2btalAzPZoSYfROqF,0,5
24,6IZvVAP7VPPnsGX6bvgkqg,4,7
25,6SwRhMLwNqEi6alNPVG00n,4,7
26,2LTlO3NuNVN70lp2ZbVswF,0,5
27,1EaKU4dMbesXXd3BrLCtYG,0,5
28,6HZILIRieu8S0iqY8kIKhj,0,5
29,5p3NP9mQblDsVJLdfNZJ3I,2,6
30,7KXjTSCq5nL1LoYtL7XAwS,4,7
31,0y9uTzK9cNKSAEHnpeRG8C,0,5
32,1HoyBOU4jgZkB9F0atzgsm,0,5
33,7cGFbx7MP0H23iHZTZpqMM,2,6
34,3Sz9VwghywEClUXq8vzt2b,4,7
35,52OInUlQusYhJ6L3zMVLpM,2,6
36,4eiOk988Prwe5MQnnQtglt,0,5
37,6YOgXjBp1fLqnZfKLCNYhd,0,5
38,6OK2jHQub9ZMGD1blTvprV,2,9
39,5Z3GHaZ6ec9bsiI5BenrbY,2,6
40,4ZT9EKb1iN9Cd5omcHcfoZ,4,7
41,4E5rL7YL0hVUPqeMSpjEF2,5,0
42,0aOf8m2Y7eGsV17WsuH8Xj,4,7
43,1WIfWj5skn5UUZTs4cEFBe,0,5
44,03D2t5wn77cpCxH8p99ZvA,4,7
45,5mCPDVBb16L4XQwDdbRUpz,5,6
46,343YBumqHu19cGoGARUTsd,0,5
47,3wrP2GVxWH8VpHPOsKhYgz,4,7
48,2FWquqPNxte8iqZ3ATQG0p,0,5
49,6fOqEAXCwboCO4BdzbZG1K,4,7
50,3LnOF5n1GOs01siYZXzS3p,4,7
51,1Rvl8qsKJurfFTyWLBI9ib,4,7
52,2vzn8usBcuNL93DnTjEK0z,2,6
53,3lYvepDz6yYj29z7e4r5z0,4,7
54,2xbI8Vmyv3TkpTdywpPyNw,4,7
55,0VgkVdmE4gld66l8iyGjgx,0,5
56,5BtyHl1eRqip2PkHhFYzHG,4,7
57,0Fi9tYRYSsMPzNVYdgHY7Q,3,4
58,51nXIaBdcQiWnXkjjJkvhO,3,4
59,5DNlONEPizmjDnZ4Zr2zCg,3,4
60,6YPMRaVq2y2Q3dGCYnBJpi,3,4
61,612VcBshQcy4mpB2utGc3H,5,2
62,4vVTI94F9uJ8lHNDWKv0i2,2,6
63,4zP7ADsgJgHGY6VzxbNp1z,2,6
64,448hNuS6TH90bjpIHIJqH3,0,5
65,1T8PwF3JhIiWwBhun23RNe,2,6
66,2NlTOhsAamXOaZciOXbITb,4,7
67,60xaS8mYBKUW4VQQ666N0T,2,6
68,3eze1OsZ1rqeXkKStNfTmi,5,8
69,0WCbhE2evMrIwRM0DlMy9k,0,5
70,2depzNvnAgMFKYnm3moXIc,0,5
71,2UDumaw7osnyjH7RZ2DLpB,4,7
72,3HE50TVRquwXe9yv2HFoNL,4,9
73,1Q2fYlSdwuutWj3QplhY9q,2,9
74,6rUp7v3l8yC4TKxAAR5Bmx,4,7
75,5Mbz3t8k16WjlDkmXBxmlf,0,5
76,4bdJHQp90ymjEIkkYhcENB,2,6
77,79ptYtWnpAnsQutzg2xSFk,2,6
78,6Xi897JXNLSoIaoYZwgTLc,4,7
79,0OFMDmL9dfbuNa31cMYdHW,4,7
80,4Z2mXXSzuCDEHZtFGmy0X5,2,6
81,7tSeCwxEuv5kQWbA3yBHMy,4,9
82,5EWPGh7jbTNO2wakv8LjUI,2,9
83,7AWlVWstGjmTmFZACsVkJL,2,6
84,5tFep7dXGd7vEJ668wTPux,0,5
85,5UShsJdqJLZkl5JNj1ITlP,2,2
86,2PtBhfoPZ6VYtXkrE5FrCH,2,6
87,0Zx8khUcEfCFK2AEoIhC92,2,6
88,51NBMjiv4t1nUiLC9Bim3G,2,6
89,5eYVjWYsfGUqpkzM9uef7Q,5,0
90,5mqjkbTgyEzxTQOArWTOs6,2,6
91,6jq6rcOikCZAmjliAgAmfT,2,9
92,27zK2lkAiqFw7y113I94H5,2,6
93,15vzANxN8G9wWfwAJLLMCg,2,6
94,1VdZ0vKfR5jneCmWIUAMxK,5,0
95,7qiZfU4dY1lWllzX7mPBI3,4,7
96,6PCUP3dWmTjcTtXY02oFdT,2,9
97,6mb6lVLNrcUgLnEN8QnDJd,5,0
98,1h6kgem1ai8vUgO1rZOwfB,2,6
99,01Lr5YepbgjXAWR9iOEyH1,4,7
100,2oHM9KAdFdFvDCaE4V6RST,2,6
101,2rJvc7nSYWBKAuNUMx1Cr2,4,7
102,7Kbf1qDeDqshPsG2eSonFy,5,0
103,788NX6uCNEVuZW8x5BkQqM,0,6
104,34oWbFBfGEElvgO0a5c9V4,4,7
105,5v7kaZNsnyByrSJOfO8gKq,5,0
106,72FNf7DAlWLmuHiLTBcNHY,2,6
107,57bgtoPSgt236HzfBOd8kj,2,9
108,08mG3Y1vljYA6bvDt4Wqkj,2,9
109,0Z5ok0QLLttAKsujOZYOXf,4,7
110,6O5TrlFWTYvznd9fMC0VvU,2,9
111,6U4VqEHy4n5VeiH4pQPL24,0,5
112,6xbraxG0bSBOuAr5IUXmtM,0,5
113,6I6NX6tjGsxFAsIfGzY9lJ,0,5
114,3MWlVSkoLS1e66nlZ2tuWJ,5,0
115,5hTpBe8h35rJ67eAWHQsJx,0,5
116,7KxhSJOYiqCDclXDBNlFSZ,4,7
117,7EiZI6JVHllARrX9PUvAdX,5,0
118,3V8sM5OOG6YfDuDLa2IIYJ,4,7
119,563SfWAHJs4FBZMkRN0IFN,4,7
120,4PdJSsESm34djLfBde9Pr2,0,2
121,19a3JfW8BQwqHWUMbcqSx8,2,9
122,6s3GEN8wK0OMzzzZbXj0fu,4,7
123,1wIQtB3UQ1TfjNMZZqO6eh,0,6
124,0eneujAc4PxkdjP25Gsue1,0,5
125,40yJGQyEaBbIkXpwMFkXip,5,0
126,5oyUurs28XRagLa8lgm6V3,4,7
127,4IeStM4M9uQ1X0s4LdSLuC,5,0
128,25BSBxpCtoDbOpVd7cpqbw,5,0
129,6iGPBcdGv5gVGFZiKAGID5,5,8
130,2qbw3lSGERDdUawZ736wmN,1,8
131,5MKSl2ZHsImt0wOfBAs87U,1,1
132,6Ik9aiuaoEYxsEKGdQaEJB,0,5
133,0wXuerDYiBnERgIpbb3JBR,2,6
134,3YxunxpAExKBEvhuf7wQOK,2,6
135,3rBOkpPCniY6AxOIavGGsg,5,0
136,0SunFlwqT44E0BU0yrgM7u,2,6
137,31tf1qEai5o5f4r66Kd0pU,5,8
138,3baESV24ilV6meyqLUh0WU,2,2
139,43jBqV3j3Xi1g6wO0bhIMd,4,7
140,52qH79XktzCUPkN0dlRbUs,2,6
141,28kwfhqP0K1f6ll0lpHg45,2,6
142,2DRMuw0U0QbkVQxWxdJV3M,4,7
143,2s0Dn2mtvp94wUkyaB8nJc,4,7
144,0hNduWmlWmEmuwEFcYvRu1,1,1
