id,title,artists,pp_artist
52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,"['Carolina Gaitán - La Gaita', 'Mauro Castillo', 'Adassa', 'Rhenzy Feliz', 'Diane Guerrero', 'Stephanie Beatriz', 'Encanto - Cast']",Carolina Gaitán - La Gaita / Mauro Castillo / Adassa / Rhenzy Feliz / Diane Guerrero / Stephanie Beatriz / Encanto - Cast
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,['Adele'],Adele
02MWAaffLxlfxAUY7c5dvx,Heat Waves,['Glass Animals'],Glass Animals
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",The Kid LAROI / Justin Bieber
4A8cWXxKfIL3lAyUDzXbCF,Super Gremlin,['Kodak Black'],Kodak Black
4fouWK6XVHhzl78KzQ1UjL,abcdefu,['GAYLE'],GAYLE
50nfwKoDiSYg8zOCREWAm5,Shivers,['Ed Sheeran'],Ed Sheeran
760jhRscwGbIIe1m1IIQpU,Surface Pressure,['Jessica Darrow'],Jessica Darrow
3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),"['Gunna', 'Future', 'Young Thug']",Gunna / Future / Young Thug
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,['Doja Cat'],Doja Cat
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",Elton John / Dua Lipa / PNAU
6I3mqTwhRpn34SLVafSH7G,Ghost,['Justin Bieber'],Justin Bieber
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,['Ed Sheeran'],Ed Sheeran
27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),"['Lil Nas X', 'Jack Harlow']",Lil Nas X / Jack Harlow
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,['Lil Nas X'],Lil Nas X
4iN16F8JtVxG2UTzp3avGl,Smokin Out The Window,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",Bruno Mars / Anderson .Paak / Silk Sonic
39LLxExYz6ewLAcYrzQQyP,Levitating,['Dua Lipa'],Dua Lipa
3xRH6FPVtheDyNla3T1FE7,Hrs and Hrs,['Muni Long'],Muni Long
5QO79kh1waicV47BqGRL3g,Save Your Tears,['The Weeknd'],The Weeknd
4b1yxSdlumA8N4fEk4UOZp,The Family Madrigal,"['Stephanie Beatriz', 'Olga Merediz', 'Encanto - Cast']",Stephanie Beatriz / Olga Merediz / Encanto - Cast
3Kkjo3cT83cw09VJyrLNwX,Oh My God,['Adele'],Adele
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),"['Post Malone', 'The Weeknd']",Post Malone / The Weeknd
4ZtFanR9U6ndgddUvNcjcG,good 4 u,['Olivia Rodrigo'],Olivia Rodrigo
69AIpwGNLxr4qS1X5ynx60,Buy Dirt,"['Jordan Davis', 'Luke Bryan']",Jordan Davis / Luke Bryan
48USW4aYqrylYWJmFPbC8A,Better Days,['Dermot Kennedy'],Dermot Kennedy
5dXWFMwD7I7zXsInONVl0H,I Hate U,['SZA'],SZA
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),"['Drake', '21 Savage', 'Project Pat']",Drake / 21 Savage / Project Pat
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,['Chris Stapleton'],Chris Stapleton
3ZozFqJJlDBNIm4xqxn2ZD,Fancy Like,['Walker Hayes'],Walker Hayes
2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),['CKay'],CKay
3XoYqtiWHhsk59frZupImG,What Else Can I Do?,"['Diane Guerrero', 'Stephanie Beatriz']",Diane Guerrero / Stephanie Beatriz
3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,['Lauren Spencer-Smith'],Lauren Spencer-Smith
5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),"['WizKid', 'Tems']",WizKid / Tems
6Zu3aw7FfjAF9WA0fA81Oq,Big Energy,['Latto'],Latto
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",Doja Cat / SZA
0k4d5YPDr1r7FX77VdqWez,You Right,"['Doja Cat', 'The Weeknd']",Doja Cat / The Weeknd
6Uj1ctrBOjOas8xZXGqKk4,Woman,['Doja Cat'],Doja Cat
5rohUzwEoRsUvAA1Bf3DLo,Dos Oruguitas,['Sebastian Yatra'],Sebastian Yatra
0uRrG2jRR5tuifsYIJHEao,Sand In My Boots,['Morgan Wallen'],Morgan Wallen
1nH2PkJL1XoUq8oE6tBZoU,Sacrifice,['The Weeknd'],The Weeknd
07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,"['THE ANXIETY', 'WILLOW', 'Tyler Cole']",THE ANXIETY / WILLOW / Tyler Cole
5f3MXmTmstozFg0BH1yPUk,If I Didn't Love You,"['Jason Aldean', 'Carrie Underwood']",Jason Aldean / Carrie Underwood
1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,"['Imagine Dragons', 'JID', 'Arcane', 'League of Legends']",Imagine Dragons / JID / Arcane / League of Legends
7DhvNzyMM8jJWcfykG3psB,Thinking 'Bout You (feat. MacKenzie Porter),"['Dustin Lynch', 'MacKenzie Porter']",Dustin Lynch / MacKenzie Porter
4k3lPl8YTKuY8c1HelVnm3,'Til You Can't,['Cody Johnson'],Cody Johnson
3J5jotqUAjU479WhAiNkpU,Freedom Was A Highway,"['Jimmie Allen', 'Brad Paisley']",Jimmie Allen / Brad Paisley
4FdPnT2cFrpWCmWZd7GXc3,One Mississippi,['Kane Brown'],Kane Brown
5Ykc3Wr4L4wef5QDdaaxM7,To Be Loved By You,['Parker McCollum'],Parker McCollum
1BSMpVGWs3v5BZKnAQziAc,Light Switch,['Charlie Puth'],Charlie Puth
3oRW9ZGPRbLRMneQ5lwflt,Waiting On A Miracle,['Stephanie Beatriz'],Stephanie Beatriz
6KgtcmCF9Ky68XC7ezxl3s,Rumors (feat. Cardi B),"['Lizzo', 'Cardi B']",Lizzo / Cardi B
0lEjxUUlKqjqXrVlIHFduD,P power (feat. Drake),"['Gunna', 'Drake']",Gunna / Drake
20FZrLl9zSbO9b3DhaqO6M,23,"['Mike WiLL Made-It', 'Miley Cyrus', 'Wiz Khalifa', 'Juicy J']",Mike WiLL Made-It / Miley Cyrus / Wiz Khalifa / Juicy J
3DZ8dbKg4OTSSqGARvecYd,Broadway Girls (feat. Morgan Wallen),"['Lil Durk', 'Morgan Wallen']",Lil Durk / Morgan Wallen
1yRke3PmsyFrYlFZOAkABk,half of my hometown (feat. Kenny Chesney),"['Kelsea Ballerini', 'Kenny Chesney']",Kelsea Ballerini / Kenny Chesney
0I5HyoL70WcM3Kgbsn64t3,"Aashiqui Aa Gayi (From ""Radhe Shyam"")",['Arijit Singh'],Arijit Singh
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,['AC/DC'],AC/DC
1dIWPXMX4kRHj6Dt2DStUQ,Chosen (feat. Ty Dolla $ign),"['Blxst', 'Tyga', 'Ty Dolla $ign']",Blxst / Tyga / Ty Dolla $ign
