id,title,artists,pp_artist,k7_cluster_label
5GAB1X0AJq2EZjxXP9zMFt,"Archie, Marry Me",['Alvvays'],Alvvays,4
5xo8RrjJ9CVNrtRg2S3B1R,Motion Sickness,['Phoebe Bridgers'],Phoebe Bridgers,1
7KdF7Zac5eC9jutk9Qret4,The Wire,['HAIM'],HAIM,6
5ftdTvmQjjsL23t7jxADfI,Brazil,['Declan McKenna'],Declan McKenna,6
3NRql0A1Ef4RCvT473iqgD,Hell N Back,['Bakar'],Bakar,5
7hP3tO4G8r2KnUvdosudEU,Positive Force,['Delicate Steve'],Delicate Steve,1
3nClCcBmn9NnrRQkQTkx1J,"Eat, Sleep, Wake (Nothing But You)",['Bombay Bicycle Club'],Bombay Bicycle Club,2
1LomCMl5wD3MPVlC6smUHe,Don’t Delete The Kisses,['Wolf Alice'],Wolf Alice,2
5Y42u37PlyQXegnuI1Hpo1,Funeral Singers,"['Sylvan Esso', 'Collections Of Colonies Of Bees']",Sylvan Esso / Collections Of Colonies Of Bees,1
4O3ob7NxMcZLgJ8ucIahPS,Summer Girl - Bonus Track,['HAIM'],HAIM,5
522YBf6WqBwJVAe7oHLymu,Seasons (Waiting on You),['Future Islands'],Future Islands,4
6SZgDG2pMgk1iZXYT1ZGPI,Victoria Falls,['Flyte'],Flyte,6
6b6XeGBvvFEde9uSUTzDpo,Avant Gardener,['Courtney Barnett'],Courtney Barnett,4
1kpV69gQV5aixc3deHdzOr,Château Lobby #4 (In C for Two Virgins),['Father John Misty'],Father John Misty,4
7LYVDh003mW2jl5D1UBPhR,Valleys (My Love),['Whitney'],Whitney,1
6X3FZtz4cKU2MKSQlGG9ZG,Bags,['Clairo'],Clairo,6
5WbfFTuIldjL9x7W6y5l7R,Kingston,['Faye Webster'],Faye Webster,1
5wCVLW9qMtIY9IkBeyYnh6,When Am I Gonna Lose You,['Local Natives'],Local Natives,4
3AyuigFWbuirWHvidbMz8O,Should Have Known Better,['Sufjan Stevens'],Sufjan Stevens,1
2PIcAQiSOayFwJrfWc72Qc,Bros,['Wolf Alice'],Wolf Alice,4
6Om7oNXeYziH2tnKTNyWg3,Before Sunrise,['Gengahr'],Gengahr,4
