id,title,artists,pp_artist
5GAB1X0AJq2EZjxXP9zMFt,"Archie, Marry Me",['Alvvays'],Alvvays
5xo8RrjJ9CVNrtRg2S3B1R,Motion Sickness,['Phoebe Bridgers'],Phoebe Bridgers
7KdF7Zac5eC9jutk9Qret4,The Wire,['HAIM'],HAIM
5ftdTvmQjjsL23t7jxADfI,Brazil,['Declan McKenna'],Declan McKenna
3NRql0A1Ef4RCvT473iqgD,Hell N Back,['Bakar'],Bakar
7hP3tO4G8r2KnUvdosudEU,Positive Force,['Delicate Steve'],Delicate Steve
3nClCcBmn9NnrRQkQTkx1J,"Eat, Sleep, Wake (Nothing But You)",['Bombay Bicycle Club'],Bombay Bicycle Club
1LomCMl5wD3MPVlC6smUHe,Don’t Delete The Kisses,['Wolf Alice'],Wolf Alice
5Y42u37PlyQXegnuI1Hpo1,Funeral Singers,"['Sylvan Esso', 'Collections Of Colonies Of Bees']",Sylvan Esso / Collections Of Colonies Of Bees
4O3ob7NxMcZLgJ8ucIahPS,Summer Girl - Bonus Track,['HAIM'],HAIM
522YBf6WqBwJVAe7oHLymu,Seasons (Waiting on You),['Future Islands'],Future Islands
6SZgDG2pMgk1iZXYT1ZGPI,Victoria Falls,['Flyte'],Flyte
6b6XeGBvvFEde9uSUTzDpo,Avant Gardener,['Courtney Barnett'],Courtney Barnett
1kpV69gQV5aixc3deHdzOr,Château Lobby #4 (In C for Two Virgins),['Father John Misty'],Father John Misty
7LYVDh003mW2jl5D1UBPhR,Valleys (My Love),['Whitney'],Whitney
6X3FZtz4cKU2MKSQlGG9ZG,Bags,['Clairo'],Clairo
5WbfFTuIldjL9x7W6y5l7R,Kingston,['Faye Webster'],Faye Webster
5wCVLW9qMtIY9IkBeyYnh6,When Am I Gonna Lose You,['Local Natives'],Local Natives
3AyuigFWbuirWHvidbMz8O,Should Have Known Better,['Sufjan Stevens'],Sufjan Stevens
2PIcAQiSOayFwJrfWc72Qc,Bros,['Wolf Alice'],Wolf Alice
6Om7oNXeYziH2tnKTNyWg3,Before Sunrise,['Gengahr'],Gengahr
6vYRwtuNmaQJg7SlcrMdPs,Your Light,['The Big Moon'],The Big Moon
7HKW2F9UqwMVPdByorotm1,Inside Out,['Spoon'],Spoon
62aOYUWnWQtWvWLAvvWBZi,Masterpiece,['Big Thief'],Big Thief
7j24QT8Ic9jezjH0s4Lg5B,Dark Days,['Local Natives'],Local Natives
3j1lR8feIfHfXrlHkGeNRf,She's a Witch,['Gengahr'],Gengahr
0LtOwyZoSNZKJWHqjzADpW,Feels Like We Only Go Backwards,['Tame Impala'],Tame Impala
5jZoYp0P8ML7AxkS3tQz3j,Seventeen,['Sharon Van Etten'],Sharon Van Etten
0rUIff1QHd5zlOBtlHVqd9,Red Eyes,['The War On Drugs'],The War On Drugs
1LPGwuFgIzbJoShfDdw7MY,Youth,['Glass Animals'],Glass Animals
5C5Fle0gDOcUchmj4RgVH5,Shelter,['Broken Bells'],Broken Bells
53PkA8aXiwH4ppa0V0iO7o,oh baby,['LCD Soundsystem'],LCD Soundsystem
73M2Vb5MfZh8iGKudkMtlw,Always Like This,['Bombay Bicycle Club'],Bombay Bicycle Club
28vrTDD6sZFswb8wDPP8CY,"I Love You, Honeybear",['Father John Misty'],Father John Misty
6bgf38cX2VkbrYVPjEv4Yq,Depreston,['Courtney Barnett'],Courtney Barnett
5VdaMUzoQetwxQwtWAd022,Salad Days,['Mac DeMarco'],Mac DeMarco
2T7Q6J4dcz2gwOPzqwogsT,Baby Blu,['Nilüfer Yanya'],Nilüfer Yanya
66tkDkPsznE5zIHNt4QkXB,Tieduprightnow,['Parcels'],Parcels
