,id,k6_cluster,k10_cluster
5000,1AdXchAT6hBUm5d6y4nKjI,4,7
5001,2Yp9qysxGcSZocXOiv3hYs,0,5
5002,3WyRgi8CzQnhzO0xw79tTS,0,5
5003,0rrVn0KMlLHtAklzUrrfoj,0,5
5004,79R3qLqdbwUSYWX4cEOpbJ,2,6
5005,2LLkJ46RvmYlkqduRgK1Nn,4,7
5006,3RZMzCvYsmJ0u2ioKTOsmJ,2,6
5007,2GiJYvgVaD2HtM8GqD9EgQ,4,7
5008,5GorFaKkP2mLREQvhSblIg,2,6
5009,5mymaL5wREERekNoPojzyG,5,6
5010,5SDcksP8En1l6RtTY1wzHc,5,0
5011,1cUyNauQChHpZm4RIe2Yuy,2,6
5012,5dSFlPDHjAuYU1apyrRgqV,2,6
5013,2JsKO2ygw4ft6QEy4U4RO4,5,8
5014,0YAQnYt2oB8OdoaeqnHyTI,0,5
5015,6tBQhXFoGLs3lxi0oA2EDK,5,0
5016,1IruBrVHO0XS9SfXGoYBXn,2,6
5017,1x1BKrrpq7CfOZPBeUsx16,5,0
5018,5sAJF2AlFywwnl2qhD4iUV,3,4
5019,1enx9LPZrXxaVVBxas5rRm,2,6
5020,2QjxTQAOtgiTJSO83VjJcv,3,4
5021,4Grli0SlPSpMKAJDeZURG2,5,8
5022,2AKTIuiQolHu0taGNIzxpZ,0,2
5023,5MmDbUVKsC7GyFx03PYqUY,0,6
5024,6BZ6pl5bczDc3cMF1kBaOy,2,6
5025,2kzRSiyignH8yzPTrWvyPo,2,6
5026,0Ool0clJiGDNADN6eaZDJ8,0,5
5027,5ftdTvmQjjsL23t7jxADfI,2,6
5028,1jZhF1p0fLaVZHAyfjkumE,2,6
5029,5czZkLGepjburbkbEaCfm4,2,6
5030,2MnEG4htbbdfoUsyzxZ4BM,2,6
5031,3zksbXteOCeSusJ5Xltr3t,3,8
5032,5wBLDkxVvclanSitx5jq8e,4,9
5033,7gevvAspxft2qQmcvJjNBH,2,6
5034,69uJi5QsBtqlYkGURTBli8,5,0
5035,2rxQMGVafnNaRaXlRMWPde,5,0
5036,6FCfj69zzQHnrx4fTukhfo,2,6
5037,6cMswWRv4lAU3mh5lclgCc,4,7
5038,5aChZc5uCUTB3UTfOZv1Wn,2,6
5039,1DUSuNhF8P5vUGNPpQiZa5,4,7
5040,1BCdVkPVwgdKRHMXEjJU32,0,5
5041,5icOoE6VgqFKohjWWNp0Ac,4,7
