,id,k6_cluster,k10_cluster
20024,2AfUjMwDO13IQbEQ3kCvO1,3,4
20025,1R4By36dcTsai8sjC4b3Jw,4,9
20026,2lt3EukzzxNHaVoz22FUqf,3,4
20027,1KPS1MHPrq9uPklJX8Q4XW,4,7
20028,4WAfKgCgcl915GbpdH8ptD,1,1
20029,1X8jc3FHCa6rhciLl0sp45,4,7
20030,0oVj4tzNaAN7WV6ZVcXdas,2,6
20031,1mXUqkCpIIKUls5TJtDUHT,0,8
20032,7ePYV9wwzP81LwXqcqqeMJ,4,7
20033,7Mu8VjpUfFqZJ5OKC1nNpQ,5,8
20034,43ri1ntzxjZgXh6KxQGDE1,4,7
20035,6udFBv3qe6LOh2LfgVmbcY,3,4
20036,03FOLqqUOGRcYR7LnWVM25,1,1
20037,7kbgARiW7NDJRWdtGBy2hK,3,8
20038,4xX7OsX8XTGWJgRxNNIaFT,2,6
20039,3jVtllWS5CFFWLQng8sKsr,2,6
20040,3RKYUjYedS0SrMw1nkt4Gf,4,7
20041,18kS89XLmy7TXpaLaH4OYO,0,5
20042,4ymByZAPRqTlyJASAoJ921,0,5
20043,6wOFwXcpXvjC2f6UOGLKp6,4,7
20044,4T4qq8dTBnN3mPCnp3y2oE,2,6
20045,1CCitjT63LKZY5XQFd1bte,3,4
20046,3HvjdMXIlooglCXI3SrJGT,4,7
20047,3HMM1UF3rSnpnq33wp3Lh1,3,4
20048,5M2LFOy2TvzBVU5KCd6N8v,2,9
20049,2wCRJwiL1WSrW0Dwfco7Nj,3,8
20050,4Y8q64VnhD0vFYy9g2WFpi,4,7
20051,7hflY8LpoAi4bUF7hBOWSX,3,4
20052,7o1D7BNNWa4WAYIJNl0SLQ,4,9
20053,7bzGIvAl75rZB20O9t5a5Z,4,8
20054,3oOvErhSBCs0Bd6VgekYR9,3,4
20055,0B2RttXEiyXsMeQ7mMP3EI,2,6
20056,04mo8aGpEs0V2XYP8rtA5E,5,8
20057,5uTfpIHtRxtLTJo0gSqff8,0,5
20058,1ZAng3CBSfq4KLQF7oEFtB,1,1
20059,1xN7BpTAWnZkuSLOtRP6Qc,4,7
20060,1EWsVHU4FNAdtN4R8FETag,4,7
20061,31NZmnpQihkWw7il2vXfOu,4,7
20062,0WF4bfTAgTTnh6RaEKf1lK,4,2
20063,4LIU44C0gLBeSJdrKi82ae,4,7
20064,4pDqq2SLcpQZn9TXkiiyeR,4,9
20065,6L35DYriF8W9Bu5HuqLkys,2,6
